date,score,active
2020-01-06,0.0,0
2020-01-13,0.0,0
2020-01-20,0.0,0
2020-01-27,0.0,0
2020-02-03,0.0,0
2020-02-10,0.0,0
2020-02-17,0.0,0
2020-02-24,1.74,0
2020-03-02,0.0,0
2020-03-09,0.0,0
2020-03-16,0.0,0
2020-03-23,0.0,0
2020-03-30,0.0,0
2020-04-06,0.0,0
2020-04-13,0.0,0
2020-04-20,0.0,0
2020-04-27,0.0,0
2020-05-04,0.0,0
2020-05-11,0.0,0
2020-05-18,2.32,0
2020-05-25,0.0,0
2020-06-01,0.0,0
2020-06-08,0.0,0
2020-06-15,0.0,0
2020-06-22,0.0,0
2020-06-29,0.0,0
2020-07-06,0.0,0
2020-07-13,0.0,0
2020-07-20,0.0,0
2020-07-27,0.0,0
2020-08-03,0.0,0
2021-07-05,0.0,0
2021-07-12,0.0,0
2021-07-19,0.0,0
2021-07-26,0.0,0
2021-08-02,0.0,0
2021-08-09,0.0,0
2021-08-16,0.0,0
2021-08-23,0.0,0
2021-08-30,0.0,0
2021-09-06,0.0,0
2021-09-13,0.0,0
2021-09-20,0.0,0
2021-09-27,0.0,0
2021-10-04,0.0,0
2021-10-11,0.0,0
2021-10-18,0.0,0
2021-10-25,0.0,0
2021-11-01,0.0,0
2021-11-08,0.0,0
2021-11-15,0.0,0
2021-11-22,0.0,0
2021-11-29,2.32,0
2021-12-06,0.0,0
2021-12-13,0.0,0
2021-12-20,0.0,0
2021-12-27,0.0,0
2022-01-03,0.0,0
2022-01-10,0.0,0
2022-01-17,0.0,0
2022-01-24,0.0,0
2022-01-31,0.0,0
2022-02-07,0.0,0
2022-07-04,0.0,0
2022-07-11,2.32,0
2022-07-18,0.0,0
2022-07-25,0.0,0
2022-08-01,0.0,0
2022-08-08,0.0,0
2022-08-15,0.0,0
2022-08-22,0.0,0
2022-08-29,0.0,0
2022-09-05,0.0,0
2022-09-12,0.0,0
2022-09-19,0.0,0
2022-09-26,0.0,0
2022-10-03,0.0,0
2022-10-10,0.0,0
2022-10-17,2.16,0
2022-10-24,0.0,0
2022-10-31,0.0,0
2022-11-07,0.0,0
2022-11-14,0.0,0
2022-11-21,0.0,0
2022-11-28,0.0,0
