date,score,active
2020-07-06,7.0,0
2020-07-13,7.0,0
2020-07-20,10.1,1
2020-07-27,14.77,1
2020-08-03,14.77,1
2020-08-10,10.88,0
2020-08-17,10.88,0
2020-08-24,10.1,0
2020-08-31,7.0,0
2020-09-07,8.55,0
2020-09-14,7.0,0
2020-09-21,6.22,0
2020-09-28,5.44,0
2020-10-05,5.44,0
2020-10-12,7.0,0
2020-10-19,6.22,0
2020-10-26,13.21,1
2020-11-02,10.88,0
2020-11-09,13.21,1
2020-11-16,13.21,1
2020-11-23,21.76,1
2020-11-30,22.54,1
2020-12-07,21.76,1
2020-12-14,13.21,0
2020-12-21,42.75,1
2020-12-28,35.76,1
2021-01-04,55.19,1
2021-01-11,77.73,1
2021-01-18,55.97,0
2021-01-25,39.64,0
2021-02-01,48.97,0
2021-02-08,65.86,1
2021-02-15,67.66,1
2021-02-22,52.33,0
2021-03-01,63.15,1
2021-03-08,32.48,0
2021-03-15,36.09,0
2021-03-22,30.67,0
2021-03-29,31.58,0
2021-04-05,36.99,0
2021-04-12,24.36,0
2021-04-19,49.62,0
2021-04-26,47.82,0
2021-05-03,30.67,0
2021-05-10,28.87,0
2021-05-17,64.96,1
2021-05-24,90.22,1
2021-05-31,39.7,0
2021-06-07,28.87,0
2021-06-14,38.79,0
2021-06-21,31.58,0
2021-06-28,41.5,0
2021-07-05,20.75,0
2021-07-12,17.14,0
2021-07-19,18.95,0
2021-07-26,32.48,0
2021-08-02,21.65,0
2021-08-09,21.04,0
2021-08-16,19.75,0
2021-08-23,20.61,0
2021-08-30,17.61,0
2021-09-06,16.75,0
2021-09-13,31.35,0
2021-09-20,19.75,0
2021-09-27,25.34,0
2021-10-04,17.18,0
2021-10-11,22.76,0
2021-10-18,29.2,0
2021-10-25,36.07,0
2021-11-01,31.78,0
2021-11-08,24.48,0
2021-11-15,27.48,0
2021-11-22,24.48,0
2021-11-29,23.19,0
2021-12-06,41.66,1
2021-12-13,22.76,0
2021-12-20,22.76,0
2021-12-27,18.04,0
2022-01-03,17.61,0
2022-01-10,26.2,0
2022-01-17,21.04,0
2022-01-24,42.94,1
2022-01-31,28.34,0
2022-02-07,22.01,0
2022-02-14,21.47,0
2022-02-21,18.79,0
2022-02-28,32.21,0
2022-03-07,22.01,0
2022-03-14,20.94,0
2022-03-21,15.03,0
2022-03-28,16.64,0
2022-04-04,15.03,0
2022-04-11,16.64,0
2022-04-18,14.49,0
2022-04-25,12.88,0
2022-05-02,13.96,0
2022-05-09,29.52,0
2022-05-16,50.46,1
2022-05-23,20.94,0
2022-05-30,17.18,0
2022-06-06,15.57,0
2022-06-13,53.68,1
2022-06-20,52.61,1
2022-06-27,28.99,0
2022-07-04,24.69,0
2022-07-11,20.4,0
2022-07-18,18.79,0
2022-07-25,20.94,0
2022-08-01,15.03,0
