date,score,active
2020-01-06,8.46,0
2020-01-13,8.99,0
2020-01-20,10.32,1
2020-01-27,13.75,1
2020-02-03,12.96,1
2020-02-10,18.78,1
2020-02-17,14.28,0
2020-02-24,22.75,1
2020-03-02,17.19,0
2020-03-09,15.08,0
2020-03-16,17.72,0
2020-03-23,20.63,1
2020-03-30,19.04,1
2020-04-06,20.9,1
2020-04-13,18.25,1
2020-04-20,22.22,1
2020-04-27,24.86,1
2020-05-04,26.45,1
2020-05-11,22.22,1
2020-05-18,22.48,1
2020-05-25,21.95,1
2020-06-01,20.37,0
2020-06-08,10.58,0
2020-06-15,12.7,0
2020-06-22,15.08,0
2020-06-29,17.72,0
2020-07-06,12.17,0
2020-07-13,11.64,0
2020-07-20,10.58,0
2020-07-27,11.11,0
2020-08-03,19.31,0
2020-08-10,13.25,0
2020-08-17,10.16,0
2020-08-24,11.48,0
2020-08-31,15.68,0
2020-09-07,17.89,0
2020-09-14,14.36,0
2020-09-21,19.88,0
2020-09-28,19.88,0
2020-10-05,19.21,0
2020-10-12,19.44,0
2020-10-19,19.88,0
2020-10-26,21.42,1
2020-11-02,22.09,1
2020-11-09,17.45,0
2020-11-16,20.32,1
2020-11-23,21.86,1
2020-11-30,13.91,0
2020-12-07,15.46,0
2020-12-14,18.33,1
2020-12-21,20.76,1
2020-12-28,7.73,0
2021-01-04,0.0,0
2021-01-11,9.5,0
2021-01-18,11.48,0
2021-01-25,12.15,0
2021-02-01,17.01,0
2021-07-05,8.2,0
2021-07-12,9.79,0
2021-07-19,11.37,0
2021-07-26,11.9,0
2021-08-02,12.96,0
2021-08-09,10.58,0
2021-08-16,8.46,0
2021-08-23,9.26,0
2021-08-30,12.96,0
2021-09-06,11.37,0
2021-09-13,13.23,0
2021-09-20,14.81,0
2021-09-27,13.49,0
2021-10-04,18.25,1
2021-10-11,16.13,0
2021-10-18,25.39,1
2021-10-25,22.48,1
2021-11-01,19.57,0
2021-11-08,26.45,1
2021-11-15,26.45,1
2021-11-22,25.39,1
2021-11-29,13.49,0
2021-12-06,21.69,1
2021-12-13,19.31,0
2021-12-20,19.31,0
2021-12-27,13.23,0
2022-01-03,8.99,0
2022-01-10,12.7,0
2022-01-17,14.55,0
2022-01-24,16.4,0
2022-01-31,19.84,0
2022-02-07,23.66,1
2022-02-14,21.08,0
2022-02-21,29.69,1
2022-02-28,29.69,1
2022-03-07,32.27,1
2022-03-14,25.38,0
2022-03-21,24.95,0
2022-03-28,35.71,1
2022-04-04,37.43,1
2022-04-11,30.98,1
2022-04-18,33.13,1
2022-04-25,33.99,1
2022-05-02,43.02,1
2022-05-09,37.0,1
2022-05-16,30.55,0
2022-05-23,25.81,0
2022-05-30,18.93,0
2022-06-06,21.51,0
2022-06-13,18.5,0
2022-06-20,22.8,0
2022-06-27,18.5,0
2022-07-04,17.21,0
2022-07-11,15.92,0
2022-07-18,19.79,0
2022-07-25,15.49,0
2022-08-01,24.52,0
2022-08-08,14.1,0
2022-08-15,12.49,0
2022-08-22,17.33,0
2022-08-29,20.15,0
2022-09-05,19.34,0
2022-09-12,22.16,0
2022-09-19,20.55,0
2022-09-26,28.61,0
2022-10-03,34.25,0
2022-10-10,30.22,0
2022-10-17,31.84,0
2022-10-24,31.03,0
2022-10-31,39.49,1
2022-11-07,34.66,1
2022-11-14,37.88,1
2022-11-21,32.24,1
2022-11-28,30.63,0
2022-12-05,40.3,1
2022-12-12,34.66,1
2022-12-19,27.4,0
2022-12-26,24.18,0
2023-01-02,7.66,0
2023-01-09,18.54,0
2023-01-16,16.92,0
2023-01-23,24.58,0
2023-01-30,35.86,1
2023-02-06,35.74,1
2023-02-13,35.74,1
2023-02-20,36.57,1
2023-02-27,34.08,1
2023-03-06,40.31,1
2023-03-13,29.92,0
2023-03-20,26.18,0
2023-03-27,29.92,0
2023-04-03,34.49,1
2023-04-10,33.25,1
2023-04-17,37.4,1
2023-04-24,41.56,1
2023-05-01,32.83,0
2023-05-08,36.99,1
2023-05-15,28.26,0
2023-05-22,30.75,0
2023-05-29,19.12,0
2023-06-05,16.21,0
2023-06-12,19.95,0
2023-06-19,19.95,0
2023-06-26,17.04,0
2023-07-03,22.44,0
2023-07-10,19.12,0
2023-07-17,17.45,0
2023-07-24,23.27,0
2023-07-31,19.12,0
2023-08-07,12.05,0
2023-08-14,14.6,0
2023-08-21,17.03,0
2023-08-28,20.44,0
2023-09-04,24.33,0
2023-09-11,23.84,0
2023-09-18,35.04,0
2023-09-25,35.04,1
2023-10-02,38.93,0
2023-10-09,33.58,0
2023-10-16,36.98,1
2023-10-23,39.9,0
2023-10-30,43.31,1
2023-11-06,43.31,1
2023-11-13,48.66,1
2023-11-20,39.9,1
2023-11-27,37.47,0
2023-12-04,46.23,1
2023-12-11,46.23,1
2023-12-18,39.9,1
2023-12-25,21.9,0
2024-01-01,10.71,0
2024-01-08,21.41,0
2024-01-15,21.9,0
2024-01-22,34.06,0
2024-01-29,42.33,1
2024-02-05,36.01,0
2024-02-12,38.92,0
2024-02-19,47.57,1
2024-02-26,41.32,1
2024-03-04,47.09,1
2024-03-11,42.28,1
2024-03-18,32.67,0
2024-03-25,42.76,0
2024-04-01,40.84,1
2024-04-08,39.88,0
2024-04-15,48.05,1
2024-04-22,47.09,1
2024-04-29,45.65,1
2024-05-06,46.61,1
2024-05-13,43.72,1
2024-05-20,32.19,0
2024-05-27,19.22,0
2024-06-03,21.14,0
2024-06-10,25.95,0
2024-06-17,21.14,0
2024-06-24,18.74,0
2024-07-01,19.7,0
2024-07-08,18.26,0
2024-07-15,18.26,0
2024-07-22,15.38,0
2024-07-29,24.5,0
2024-08-05,26.15,0
2024-08-12,16.21,0
2024-08-19,17.26,0
2024-08-26,23.53,0
2024-09-02,20.92,0
2024-09-09,29.81,0
2024-09-16,34.52,0
2024-09-23,35.04,0
2024-09-30,39.22,1
2024-10-07,33.47,0
2024-10-14,32.95,0
2024-10-21,38.7,1
2024-10-28,38.18,0
2024-11-04,46.55,0
2024-11-11,39.75,1
2024-11-18,52.3,1
2024-11-25,36.61,0
2024-12-02,44.98,1
2024-12-09,42.88,1
2024-12-16,43.93,1
2024-12-23,30.33,0
2024-12-30,0.0,0
2025-01-06,15.69,0
2025-01-13,23.53,0
2025-01-20,32.42,0
2025-01-27,32.95,0
2025-02-03,39.75,0
2025-02-10,92.0,1
2025-02-17,48.0,0
2025-02-24,57.0,0
2025-03-03,100.0,1
2025-03-10,49.0,0
2025-03-17,53.0,0
2025-03-24,50.0,0
2025-03-31,50.0,0
2025-04-07,54.0,0
2025-04-14,48.0,0
2025-04-21,44.0,0
2025-04-28,47.0,0
2025-05-05,47.0,0
2025-05-12,39.0,0
2025-05-19,36.0,0
2025-05-26,34.0,0
2025-06-02,21.0,0
2025-06-09,29.0,0
2025-06-16,20.0,0
2025-06-23,24.0,0
2025-06-30,36.0,0
2025-07-07,37.0,0
2025-07-14,23.0,0
2025-07-21,33.0,0
2025-07-28,23.0,0
2025-08-04,46.0,0
2025-08-11,31.5,0
2025-08-18,26.38,0
2025-08-25,24.91,0
2025-09-01,30.77,0
2025-09-08,35.17,0
2025-09-15,34.44,0
2025-09-22,48.36,1
2025-09-29,54.22,0
