date,score,active
2020-01-06,0.0,0
2020-01-13,0.0,0
2020-01-20,0.0,0
2020-01-27,3.0,0
2020-02-03,5.0,0
2020-02-10,4.0,0
2020-02-17,2.0,0
2020-02-24,7.0,0
2020-03-02,19.0,1
2020-03-09,11.0,0
2020-03-16,100.0,1
2020-03-23,40.0,0
2020-03-30,29.0,0
2020-04-06,28.0,0
2020-04-13,24.0,0
2020-04-20,20.0,0
2020-04-27,19.0,0
2020-05-04,18.0,0
2020-05-11,25.0,0
2020-05-18,18.0,0
2020-05-25,16.0,0
2020-06-01,15.0,0
2020-06-08,12.0,0
2020-06-15,11.0,0
2020-06-22,10.0,0
2020-06-29,13.0,0
2020-07-06,17.0,0
2020-07-13,13.0,0
2020-07-20,14.0,0
2020-07-27,14.0,0
2020-08-03,13.0,0
2020-08-10,11.79,0
2020-08-17,12.82,0
2020-08-24,9.72,0
2020-08-31,8.48,0
2020-09-07,7.86,0
2020-09-14,8.06,0
2020-09-21,8.27,0
2020-09-28,7.44,0
2020-10-05,20.68,1
2020-10-12,7.86,0
2020-10-19,7.86,0
2020-10-26,7.44,0
2020-11-02,8.06,0
2020-11-09,6.82,0
2020-11-16,8.27,0
2020-11-23,8.06,0
2020-11-30,7.24,0
2020-12-07,7.86,0
2020-12-14,7.44,0
2020-12-21,8.89,0
2020-12-28,9.1,0
2021-01-04,7.65,0
2021-01-11,7.24,0
2021-01-18,6.41,0
2021-01-25,7.24,0
2021-02-01,8.27,0
2021-02-08,6.53,0
2021-02-15,5.79,0
2021-02-22,6.29,0
2021-03-01,5.87,0
2021-03-08,5.87,0
2021-03-15,7.53,0
2021-03-22,5.62,0
2021-03-29,5.96,0
2021-04-05,5.46,0
2021-04-12,5.79,0
2021-04-19,5.46,0
2021-04-26,5.71,0
2021-05-03,5.29,0
2021-05-10,5.46,0
2021-05-17,5.13,0
2021-05-24,4.55,0
2021-05-31,5.62,0
2021-06-07,5.13,0
2021-06-14,4.14,0
2021-06-21,3.97,0
2021-06-28,3.8,0
2021-07-05,3.56,0
2021-07-12,3.72,0
2021-07-19,3.8,0
2021-07-26,3.72,0
2021-08-02,4.01,0
2021-08-09,4.37,0
2021-08-16,4.96,0
