date,score,active
2020-01-06,8.47,0
2020-01-13,9.58,0
2020-01-20,11.6,1
2020-01-27,10.68,1
2020-02-03,11.6,1
2020-02-10,11.24,1
2020-02-17,11.97,1
2020-02-24,12.71,1
2020-03-02,12.34,1
2020-03-09,12.16,1
2020-03-16,10.31,1
2020-03-23,9.95,0
2020-03-30,12.16,1
2020-04-06,11.79,1
2020-04-13,12.53,1
2020-04-20,12.71,1
2020-04-27,12.34,1
2020-05-04,11.97,1
2020-05-11,12.71,1
2020-05-18,11.42,1
2020-05-25,18.42,1
2020-06-01,8.29,0
2020-06-08,8.47,0
2020-06-15,8.84,0
2020-06-22,8.66,0
2020-06-29,8.84,0
2020-07-06,8.29,0
2020-07-13,8.66,0
2020-07-20,9.21,0
2020-07-27,9.39,0
2020-08-03,9.21,0
2020-08-10,10.15,0
2020-08-17,8.59,0
2020-08-24,8.43,0
2020-08-31,12.81,0
2020-09-07,9.68,0
2020-09-14,10.31,0
2020-09-21,11.56,0
2020-09-28,10.62,0
2020-10-05,11.09,0
2020-10-12,11.25,0
2020-10-19,10.78,0
2020-10-26,11.09,0
2020-11-02,10.0,0
2020-11-09,10.31,0
2020-11-16,10.78,0
2020-11-23,10.93,1
2020-11-30,9.68,0
2020-12-07,11.25,1
2020-12-14,15.62,1
2020-12-21,12.34,0
2020-12-28,9.68,0
2021-01-04,9.22,0
2021-01-11,9.53,0
2021-01-18,15.46,1
2021-01-25,13.12,1
2021-02-01,13.12,1
2021-02-08,13.07,1
2021-02-15,13.57,1
2021-02-22,18.59,1
2021-03-01,18.59,1
2021-03-08,18.09,1
2021-03-15,17.59,1
2021-03-22,14.57,0
2021-03-29,13.07,0
2021-04-05,14.07,0
2021-04-12,14.57,0
2021-04-19,18.09,1
2021-04-26,13.57,0
2021-05-03,18.59,1
2021-05-10,20.6,1
2021-05-17,50.26,1
2021-05-24,20.6,0
2021-05-31,16.58,0
2021-06-07,14.07,0
2021-06-14,30.66,0
2021-06-21,21.61,0
2021-06-28,13.57,0
2021-07-05,11.06,0
2021-07-12,12.56,0
2021-07-19,23.62,0
2021-07-26,14.07,0
2021-08-02,12.06,0
2021-08-09,10.8,0
2021-08-16,15.96,0
2021-08-23,11.27,0
2021-08-30,12.21,0
2021-09-06,11.27,0
2021-09-13,15.49,0
2021-09-20,19.25,0
2021-09-27,13.15,0
2021-10-04,15.96,0
2021-10-11,15.49,0
2021-10-18,26.76,0
2021-10-25,23.95,0
2021-11-01,21.6,0
2021-11-08,18.78,0
2021-11-15,43.66,1
2021-11-22,28.64,0
2021-11-29,20.66,0
2021-12-06,21.6,0
2021-12-13,37.56,1
2021-12-20,30.99,0
2021-12-27,15.49,0
2022-01-03,15.96,0
2022-01-10,22.07,0
2022-01-17,46.95,1
2022-01-24,24.88,0
2022-01-31,29.58,0
2022-02-07,21.13,0
2022-02-14,54.02,1
2022-02-21,28.87,0
2022-02-28,27.94,0
2022-03-07,31.67,0
2022-03-14,51.22,1
2022-03-21,30.73,0
2022-03-28,26.08,0
2022-04-04,27.94,0
2022-04-11,30.73,0
2022-04-18,76.37,1
2022-04-25,28.87,0
2022-05-02,28.87,0
2022-05-09,36.32,0
2022-05-16,78.23,1
2022-05-23,32.6,0
2022-05-30,27.94,0
2022-06-06,28.87,0
2022-06-13,93.13,1
2022-06-20,65.19,0
2022-06-27,30.73,0
2022-07-04,37.25,0
2022-07-11,27.94,0
2022-07-18,85.68,1
2022-07-25,27.01,0
2022-08-01,44.7,0
2022-08-08,100.0,1
2022-08-15,74.0,0
2022-08-22,64.0,0
2022-08-29,33.0,0
2022-09-05,28.0,0
2022-09-12,28.0,0
2022-09-19,79.0,0
2022-09-26,41.0,0
2022-10-03,34.0,0
2022-10-10,46.0,0
2022-10-17,68.0,0
2022-10-24,40.0,0
2022-10-31,36.0,0
2022-11-07,38.0,0
2022-11-14,50.0,0
2022-11-21,31.0,0
2022-11-28,25.0,0
2022-12-05,30.0,0
2022-12-12,29.0,0
2022-12-19,38.0,0
2022-12-26,21.0,0
2023-01-02,18.0,0
2023-01-09,24.0,0
