date,score,active
2020-01-06,5.07,0
2020-01-13,11.26,1
2020-01-20,0.56,0
2020-01-27,0.23,0
2020-02-03,0.11,0
2020-02-10,0.11,0
2020-02-17,0.11,0
2020-02-24,0.11,0
2020-03-02,0.11,0
2020-03-09,0.11,0
2020-03-16,0.34,0
2020-03-23,0.23,0
2020-03-30,0.11,0
2020-04-06,0.11,0
2020-04-13,0.11,0
2020-04-20,0.11,0
2020-04-27,0.11,0
2020-05-04,0.11,0
2020-05-11,0.11,0
2020-05-18,0.11,0
2020-05-25,0.11,0
2020-06-01,0.11,0
2020-06-08,0.11,0
2020-06-15,0.0,0
2020-06-22,0.11,0
2020-06-29,0.23,0
2020-07-06,0.11,0
2020-07-13,0.11,0
2020-07-20,0.11,0
2020-07-27,0.11,0
2020-08-03,0.11,0
2020-08-10,0.11,0
2020-08-17,0.1,0
2020-08-24,0.1,0
2020-08-31,0.08,0
2020-09-07,0.08,0
2020-09-14,0.11,0
2020-09-21,0.14,0
2020-09-28,0.08,0
2020-10-05,0.09,0
2020-10-12,0.1,0
2020-10-19,0.09,0
2020-10-26,0.19,0
2020-11-02,0.08,0
2020-11-09,0.11,0
2020-11-16,0.09,0
2020-11-23,0.2,0
2020-11-30,0.26,0
2020-12-07,0.15,0
2020-12-14,0.09,0
2020-12-21,0.08,0
2020-12-28,0.12,0
2021-01-04,0.22,0
2021-01-11,0.21,0
2021-01-18,0.16,0
2021-01-25,0.12,0
2021-02-01,0.1,0
2021-02-08,0.09,0
2021-02-15,0.08,0
2021-02-22,0.09,0
2021-03-01,0.25,0
2021-03-08,0.14,0
2021-03-15,0.08,0
2021-03-22,0.09,0
2021-03-29,0.08,0
2021-04-05,0.09,0
2021-04-12,0.13,0
2021-04-19,0.11,0
2021-04-26,0.11,0
2021-05-03,0.14,0
2021-05-10,0.1,0
2021-05-17,0.13,0
2021-05-24,0.1,0
2021-05-31,0.08,0
2021-06-07,0.13,0
2021-06-14,0.09,0
2021-06-21,0.14,0
2021-06-28,0.14,0
2021-07-05,0.09,0
2021-07-12,0.07,0
2021-07-19,0.08,0
2021-07-26,0.12,0
2021-08-02,0.38,0
2021-08-09,0.1,0
2021-08-16,0.13,0
2021-08-23,0.11,0
2021-08-30,0.09,0
2021-09-06,0.09,0
2021-09-13,0.1,0
2021-09-20,0.08,0
2021-09-27,0.08,0
2021-10-04,0.07,0
2021-10-11,0.09,0
2021-10-18,0.11,0
2021-10-25,0.06,0
2021-11-01,0.07,0
2021-11-08,0.06,0
2021-11-15,0.09,0
2021-11-22,0.09,0
2021-11-29,0.07,0
2021-12-06,0.08,0
2021-12-13,0.08,0
2021-12-20,0.06,0
2021-12-27,0.07,0
2022-01-03,0.06,0
2022-01-10,0.11,0
2022-01-17,0.09,0
2022-01-24,0.08,0
