date,score,active
2020-01-06,3.36,0
2020-01-13,3.97,0
2020-01-20,2.29,0
2020-01-27,2.29,0
2020-02-03,3.05,0
2020-02-10,2.59,0
2020-02-17,2.29,0
2020-02-24,2.59,0
2020-03-02,3.51,0
2020-03-09,8.09,0
2020-03-16,3.05,0
2020-03-23,2.44,0
2020-03-30,2.29,0
2020-04-06,2.29,0
2020-04-13,2.29,0
2020-04-20,2.14,0
2020-04-27,1.98,0
2020-05-04,1.98,0
2020-05-11,2.44,0
2020-05-18,2.29,0
2020-05-25,15.26,1
2020-06-01,1.83,0
2020-06-08,1.98,0
2020-06-15,1.83,0
2020-06-22,1.98,0
2020-06-29,2.29,0
2020-07-06,1.98,0
2020-07-13,2.29,0
2020-07-20,2.14,0
2020-07-27,1.98,0
2020-08-03,1.95,0
2020-08-10,3.06,0
2020-08-17,4.08,0
2020-08-24,1.95,0
2020-08-31,2.12,0
2020-09-07,1.95,0
2020-09-14,2.29,0
2020-09-21,3.23,0
2020-09-28,8.49,0
2020-10-05,2.46,0
2020-10-12,1.87,0
2020-10-19,1.7,0
2020-10-26,2.38,0
2020-11-02,1.95,0
2020-11-09,1.87,0
2020-11-16,1.87,0
2020-11-23,1.87,0
2020-11-30,2.38,0
2020-12-07,1.78,0
2020-12-14,2.38,0
2020-12-21,1.78,0
2020-12-28,2.12,0
2021-01-04,1.95,0
2021-01-11,1.87,0
2021-01-18,1.78,0
2021-01-25,2.12,0
2021-02-01,2.04,0
2021-02-08,1.89,0
2021-02-15,1.89,0
2021-02-22,2.44,0
2021-03-01,2.16,0
2021-03-08,8.66,0
2021-03-15,2.44,0
2021-03-22,1.89,0
2021-03-29,2.44,0
2021-04-05,2.16,0
2021-04-12,2.16,0
2021-04-19,2.44,0
2021-04-26,2.71,0
2021-05-03,5.14,0
2021-05-10,4.6,0
2021-05-17,27.06,1
2021-05-24,12.99,0
2021-05-31,3.79,0
2021-06-07,3.52,0
2021-06-14,8.12,0
2021-06-21,2.71,0
2021-06-28,2.16,0
2021-07-05,2.16,0
2021-07-12,2.16,0
2021-07-19,2.16,0
2021-07-26,2.44,0
2021-08-02,2.44,0
2021-08-09,2.64,0
2021-08-16,2.33,0
2021-08-23,2.22,0
2021-08-30,2.61,0
2021-09-06,2.36,0
2021-09-13,2.27,0
2021-09-20,2.27,0
2021-09-27,2.19,0
2021-10-04,2.02,0
2021-10-11,1.93,0
2021-10-18,2.47,0
2021-10-25,1.9,0
2021-11-01,1.76,0
2021-11-08,2.1,0
2021-11-15,1.93,0
2021-11-22,1.82,0
2021-11-29,2.22,0
2021-12-06,1.9,0
2021-12-13,2.33,0
2021-12-20,1.96,0
2021-12-27,2.02,0
2022-01-03,2.5,0
2022-01-10,2.47,0
2022-01-17,2.84,0
2022-01-24,2.05,0
2022-01-31,1.99,0
2022-02-07,2.21,0
2022-02-14,6.17,0
2022-02-21,2.13,0
2022-02-28,2.67,0
2022-03-07,2.74,0
2022-03-14,2.36,0
2022-03-21,2.21,0
2022-03-28,2.44,0
2022-04-04,2.13,0
2022-04-11,2.51,0
2022-04-18,2.13,0
2022-04-25,1.98,0
2022-05-02,2.13,0
2022-05-09,2.28,0
2022-05-16,2.36,0
2022-05-23,2.44,0
2022-05-30,2.21,0
2022-06-06,1.9,0
2022-06-13,2.13,0
2022-06-20,1.98,0
2022-06-27,2.21,0
2022-07-04,7.62,0
2022-07-11,2.59,0
2022-07-18,2.51,0
2022-07-25,2.06,0
2022-08-01,1.98,0
2022-08-08,3.57,0
2022-08-15,2.03,0
2022-08-22,2.03,0
2022-08-29,1.87,0
2022-09-05,1.87,0
2022-09-12,1.95,0
2022-09-19,2.19,0
2022-09-26,2.27,0
2022-10-03,2.11,0
2022-10-10,2.11,0
2022-10-17,2.19,0
2022-10-24,2.19,0
2022-10-31,2.11,0
2022-11-07,3.41,0
2022-11-14,8.12,0
2022-11-21,2.43,0
2022-11-28,2.03,0
2022-12-05,2.11,0
2022-12-12,2.11,0
2022-12-19,2.03,0
2022-12-26,1.87,0
2023-01-02,1.95,0
2023-01-09,1.95,0
2023-01-16,2.03,0
2023-01-23,1.95,0
2023-01-30,3.08,0
2023-02-06,2.27,0
