date,score,active
2020-01-06,0.95,0
2020-01-13,1.01,0
2020-01-20,0.81,0
2020-01-27,0.83,0
2020-02-03,0.89,0
2020-02-10,1.45,0
2020-02-17,0.9,0
2020-02-24,0.83,0
2020-03-02,0.87,0
2020-03-09,0.81,0
2020-03-16,0.83,0
2020-03-23,0.64,0
2020-03-30,1.44,0
2020-04-06,1.3,0
2020-04-13,0.96,0
2020-04-20,0.67,0
2020-04-27,0.7,0
2020-05-04,0.73,0
2020-05-11,1.48,0
2020-05-18,0.7,0
2020-05-25,0.83,0
2020-06-01,0.67,0
2020-06-08,0.58,0
2020-06-15,0.61,0
2020-06-22,0.59,0
2020-06-29,0.76,0
2020-07-06,0.92,0
2020-07-13,0.61,0
2020-07-20,0.59,0
2020-07-27,0.59,0
2020-08-03,0.55,0
2020-08-10,0.59,0
2020-08-17,0.59,0
2020-08-24,0.59,0
2020-08-31,0.59,0
2020-09-07,0.59,0
2020-09-14,0.64,0
2020-09-21,0.64,0
2020-09-28,0.72,0
2020-10-05,0.61,0
2020-10-12,2.66,0
2020-10-19,0.99,0
2020-10-26,0.69,0
2020-11-02,1.97,0
2020-11-09,0.85,0
2020-11-16,1.97,0
2020-11-23,1.33,0
2020-11-30,0.61,0
2020-12-07,1.01,0
2020-12-14,0.72,0
2020-12-21,0.61,0
2020-12-28,0.51,0
2021-01-04,0.51,0
2021-01-11,0.67,0
2021-01-18,0.56,0
2021-01-25,0.72,0
2021-02-01,0.61,0
2021-02-08,0.62,0
2021-02-15,0.51,0
2021-02-22,0.54,0
2021-03-01,0.57,0
2021-03-08,0.73,0
2021-03-15,0.84,0
2021-03-22,0.57,0
2021-03-29,0.6,0
2021-04-05,0.57,0
2021-04-12,0.6,0
2021-04-19,0.57,0
2021-04-26,0.54,0
2021-05-03,0.6,0
2021-05-10,0.57,0
2021-05-17,0.81,0
2021-05-24,0.6,0
2021-05-31,0.89,0
2021-06-07,0.95,0
2021-06-14,2.71,0
2021-06-21,1.87,0
2021-06-28,2.49,0
2021-07-05,0.81,0
2021-07-12,0.62,0
2021-07-19,0.65,0
2021-07-26,0.54,0
2021-08-02,0.7,0
2021-08-09,0.55,0
2021-08-16,0.47,0
2021-08-23,0.51,0
2021-08-30,0.57,0
2021-09-06,2.12,0
2021-09-13,0.72,0
2021-09-20,0.64,0
2021-09-27,0.62,0
2021-10-04,0.62,0
2021-10-11,1.55,0
2021-10-18,0.96,0
2021-10-25,0.57,0
2021-11-01,0.59,0
2021-11-08,0.57,0
2021-11-15,1.1,0
2021-11-22,1.55,0
2021-11-29,0.57,0
2021-12-06,0.53,0
2021-12-13,0.64,0
2021-12-20,0.57,0
2021-12-27,0.47,0
2022-01-03,0.51,0
2022-01-10,0.57,0
2022-01-17,0.66,0
2022-01-24,0.59,0
2022-01-31,1.0,0
2022-02-07,1.13,0
2022-02-14,0.61,0
2022-02-21,0.63,0
2022-02-28,0.81,0
2022-03-07,1.2,0
2022-03-14,1.5,0
2022-03-21,0.72,0
2022-03-28,1.96,0
2022-04-04,2.18,0
2022-04-11,0.65,0
2022-04-18,0.65,0
2022-04-25,0.7,0
2022-05-02,0.92,0
2022-05-09,0.78,0
2022-05-16,0.72,0
2022-05-23,0.74,0
2022-05-30,0.63,0
2022-06-06,0.65,0
2022-06-13,0.74,0
2022-06-20,0.65,0
2022-06-27,0.59,0
2022-07-04,0.68,0
2022-07-11,0.87,0
2022-07-18,0.65,0
2022-07-25,0.63,0
2022-08-01,0.57,0
2022-08-08,0.6,0
2022-08-15,0.6,0
2022-08-22,0.65,0
2022-08-29,0.75,0
2022-09-05,0.72,0
2022-09-12,0.75,0
2022-09-19,0.96,0
2022-09-26,1.03,0
2022-10-03,0.82,0
2022-10-10,0.96,0
2022-10-17,0.99,0
2022-10-24,0.98,0
2022-10-31,0.75,0
2022-11-07,0.79,0
2022-11-14,0.74,0
2022-11-21,0.99,0
2022-11-28,0.79,0
2022-12-05,0.79,0
2022-12-12,0.86,0
2022-12-19,0.7,0
2022-12-26,0.72,0
2023-01-02,0.68,0
2023-01-09,0.75,0
2023-01-16,1.71,0
2023-01-23,0.84,0
2023-01-30,0.79,0
2023-02-06,0.93,0
2023-02-13,0.93,0
2023-02-20,0.74,0
2023-02-27,0.84,0
2023-03-06,0.74,0
2023-03-13,3.63,0
2023-03-20,9.3,0
2023-03-27,0.93,0
2023-04-03,0.84,0
2023-04-10,0.74,0
2023-04-17,0.74,0
2023-04-24,0.84,0
2023-05-01,0.74,0
2023-05-08,0.84,0
2023-05-15,0.93,0
2023-05-22,0.74,0
2023-05-29,0.74,0
2023-06-05,0.74,0
2023-06-12,0.65,0
2023-06-19,1.4,0
2023-06-26,0.65,0
2023-07-03,0.65,0
2023-07-10,1.02,0
2023-07-17,0.65,0
2023-07-24,1.21,0
2023-07-31,0.65,0
2023-08-07,0.68,0
2023-08-14,0.78,0
2023-08-21,0.78,0
2023-08-28,0.83,0
2023-09-04,0.78,0
2023-09-11,2.96,0
2023-09-18,1.56,0
2023-09-25,1.56,0
2023-10-02,1.04,0
2023-10-09,1.04,0
2023-10-16,3.79,0
2023-10-23,3.38,0
2023-10-30,0.99,0
2023-11-06,0.88,0
2023-11-13,0.88,0
2023-11-20,3.53,0
2023-11-27,5.2,0
2023-12-04,1.46,0
2023-12-11,1.82,0
2023-12-18,1.04,0
2023-12-25,1.04,0
2024-01-01,0.88,0
2024-01-08,0.78,0
2024-01-15,0.83,0
2024-01-22,0.78,0
2024-01-29,0.99,0
2024-02-05,1.44,0
2024-02-12,1.92,0
2024-02-19,0.96,0
2024-02-26,0.96,0
2024-03-04,0.96,0
2024-03-11,0.96,0
2024-03-18,0.96,0
2024-03-25,2.16,0
2024-04-01,0.96,0
2024-04-08,0.72,0
2024-04-15,0.72,0
2024-04-22,0.96,0
2024-04-29,0.96,0
2024-05-06,0.96,0
2024-05-13,0.96,0
2024-05-20,0.72,0
2024-05-27,0.72,0
2024-06-03,0.96,0
2024-06-10,0.96,0
2024-06-17,0.96,0
2024-06-24,6.73,0
2024-07-01,17.07,1
2024-07-08,16.1,1
2024-07-15,0.96,0
2024-07-22,0.96,0
2024-07-29,24.04,1
2024-08-05,11.3,0
2024-08-12,1.68,0
2024-08-19,1.68,0
2024-08-26,1.44,0
2024-09-02,1.92,0
2024-09-09,3.85,0
2024-09-16,2.88,0
2024-09-23,1.68,0
2024-09-30,1.2,0
2024-10-07,0.96,0
2024-10-14,5.53,0
2024-10-21,2.4,0
2024-10-28,1.2,0
2024-11-04,0.96,0
2024-11-11,0.96,0
2024-11-18,4.81,0
2024-11-25,3.85,0
2024-12-02,0.72,0
2024-12-09,0.96,0
2024-12-16,0.96,0
2024-12-23,0.96,0
2024-12-30,0.72,0
2025-01-06,0.96,0
2025-01-13,3.61,0
2025-01-20,2.88,0
2025-01-27,1.2,0
2025-02-03,1.99,0
2025-02-10,1.44,0
2025-02-17,1.07,0
2025-02-24,0.93,0
2025-03-03,1.07,0
2025-03-10,0.93,0
2025-03-17,1.16,0
2025-03-24,4.63,0
2025-03-31,4.26,0
2025-04-07,1.2,0
2025-04-14,1.02,0
2025-04-21,0.97,0
2025-04-28,0.97,0
2025-05-05,0.88,0
2025-05-12,0.97,0
2025-05-19,1.2,0
2025-05-26,1.11,0
2025-06-02,0.93,0
2025-06-09,3.33,0
2025-06-16,2.87,0
2025-06-23,0.88,0
2025-06-30,0.88,0
2025-07-07,0.97,0
2025-07-14,0.93,0
2025-07-21,1.39,0
2025-07-28,1.3,0
2025-08-04,1.34,0
2025-08-11,1.0,0
2025-08-18,1.0,0
2025-08-25,2.0,0
2025-09-01,1.0,0
2025-09-08,6.0,0
2025-09-15,6.0,0
2025-09-22,1.0,0
2025-09-29,1.0,0
2025-10-06,1.0,0
2025-10-13,4.0,0
2025-10-20,2.0,0
2025-10-27,2.0,0
2025-11-03,2.0,0
2025-11-10,1.0,0
2025-11-17,2.0,0
2025-11-24,2.0,0
2025-12-01,3.0,0
2025-12-08,3.0,0
2025-12-15,3.0,0
2025-12-22,5.0,0
2025-12-29,2.0,0
2026-01-05,100.0,1
2026-01-12,18.0,0
2026-01-19,4.0,0
2026-01-26,2.0,0
2026-02-02,2.0,0
2026-02-09,2.0,0
2026-02-16,2.0,0
2026-02-23,2.0,0
2026-03-02,2.0,0
2026-03-09,2.0,0
2026-03-16,9.0,0
2026-03-23,19.0,0
2026-03-30,2.0,0
2026-04-06,1.0,0
2026-04-13,1.0,0
2026-04-20,1.0,0
2026-04-27,1.0,0
2026-05-04,1.0,0
2026-05-11,1.0,0
