date,score
2020-01-06,0.0
2020-01-13,0.0
2020-01-20,0.0
2020-01-27,0.0
2020-02-03,0.0
2020-02-10,0.0
2020-02-17,0.0
2020-02-24,1.74
2020-03-02,0.0
2020-03-09,0.0
2020-03-16,0.0
2020-03-23,0.0
2020-03-30,0.0
2020-04-06,0.0
2020-04-13,0.0
2020-04-20,0.0
2020-04-27,0.0
2020-05-04,0.0
2020-05-11,0.0
2020-05-18,2.32
2020-05-25,0.0
2020-06-01,0.0
2020-06-08,0.0
2020-06-15,0.0
2020-06-22,0.0
2020-06-29,0.0
2020-07-06,0.0
2020-07-13,0.0
2020-07-20,0.0
2020-07-27,0.0
2020-08-03,0.0
2021-07-05,0.0
2021-07-12,0.0
2021-07-19,0.0
2021-07-26,0.0
2021-08-02,0.0
2021-08-09,0.0
2021-08-16,0.0
2021-08-23,0.0
2021-08-30,0.0
2021-09-06,0.0
2021-09-13,0.0
2021-09-20,0.0
2021-09-27,0.0
2021-10-04,0.0
2021-10-11,0.0
2021-10-18,0.0
2021-10-25,0.0
2021-11-01,0.0
2021-11-08,0.0
2021-11-15,0.0
2021-11-22,0.0
2021-11-29,2.32
2021-12-06,0.0
2021-12-13,0.0
2021-12-20,0.0
2021-12-27,0.0
2022-01-03,0.0
2022-01-10,0.0
2022-01-17,0.0
2022-01-24,0.0
2022-01-31,0.0
2022-02-07,0.0
2022-07-04,0.0
2022-07-11,2.32
2022-07-18,0.0
2022-07-25,0.0
2022-08-01,0.0
2022-08-08,0.0
2022-08-15,0.0
2022-08-22,0.0
2022-08-29,0.0
2022-09-05,0.0
2022-09-12,0.0
2022-09-19,0.0
2022-09-26,0.0
2022-10-03,0.0
2022-10-10,0.0
2022-10-17,2.16
2022-10-24,0.0
2022-10-31,0.0
2022-11-07,0.0
2022-11-14,0.0
2022-11-21,0.0
2022-11-28,0.0
2022-12-05,0.0
2022-12-12,0.0
2022-12-19,1.51
2022-12-26,0.0
2023-01-02,1.44
2023-01-09,1.67
2023-01-16,0.0
2023-01-23,0.0
2023-01-30,0.0
2023-02-06,1.8
2023-02-13,0.0
2023-02-20,2.42
2023-02-27,1.41
2023-03-06,1.67
2023-03-13,1.94
2023-03-20,1.5
2023-03-27,1.63
2023-04-03,2.55
2023-04-10,3.03
2023-04-17,2.77
2023-04-24,2.15
2023-05-01,1.94
2023-05-08,2.24
2023-05-15,2.2
2023-05-22,2.02
2023-05-29,2.55
2023-06-05,4.4
2023-06-12,1.58
2023-06-19,2.11
2023-06-26,2.11
2023-07-03,3.08
2023-07-10,2.64
2023-07-17,2.15
2023-07-24,1.76
2023-07-31,1.76
2023-08-07,1.63
2023-08-14,2.39
2023-08-21,1.75
2023-08-28,0.0
2023-09-04,1.75
2023-09-11,2.04
2023-09-18,2.15
2023-09-25,2.21
2023-10-02,2.27
2023-10-09,2.21
2023-10-16,1.98
2023-10-23,2.04
2023-10-30,3.96
2023-11-06,5.82
2023-11-13,3.14
2023-11-20,3.2
2023-11-27,2.73
2023-12-04,3.37
2023-12-11,2.56
2023-12-18,3.08
2023-12-25,2.56
2024-01-01,0.0
2024-01-08,1.86
2024-01-15,2.21
2024-01-22,2.56
2024-01-29,3.43
2024-02-05,3.78
2024-02-12,4.57
2024-02-19,4.01
2024-02-26,2.86
2024-03-04,2.81
2024-03-11,2.77
2024-03-18,3.92
2024-03-25,3.69
2024-04-01,3.28
2024-04-08,3.18
2024-04-15,2.68
2024-04-22,3.88
2024-04-29,3.64
2024-05-06,3.28
2024-05-13,3.55
2024-05-20,3.41
2024-05-27,4.01
2024-06-03,3.64
2024-06-10,4.61
2024-06-17,4.06
2024-06-24,3.41
2024-07-01,3.23
2024-07-08,3.74
2024-07-15,3.04
2024-07-22,3.0
2024-07-29,2.77
2024-08-05,3.01
2024-08-12,4.36
2024-08-19,3.01
2024-08-26,3.31
2024-09-02,4.81
2024-09-09,3.16
2024-09-16,4.66
2024-09-23,3.76
2024-09-30,6.47
2024-10-07,4.81
2024-10-14,3.61
2024-10-21,4.36
2024-10-28,4.51
2024-11-04,5.72
2024-11-11,4.06
2024-11-18,4.96
2024-11-25,4.66
2024-12-02,4.06
2024-12-09,6.02
2024-12-16,5.41
2024-12-23,3.46
2024-12-30,2.56
2025-01-06,3.01
2025-01-13,4.36
2025-01-20,15.04
2025-01-27,9.78
2025-02-03,9.63
2025-02-10,6.49
2025-02-17,10.54
2025-02-24,11.36
2025-03-03,8.92
2025-03-10,8.11
2025-03-17,8.92
2025-03-24,7.3
2025-03-31,7.3
2025-04-07,7.3
2025-04-14,7.3
2025-04-21,6.49
2025-04-28,9.73
2025-05-05,7.3
2025-05-12,6.49
2025-05-19,7.3
2025-05-26,10.54
2025-06-02,14.6
2025-06-09,35.69
2025-06-16,34.88
2025-06-23,41.37
2025-06-30,42.99
2025-07-07,42.99
2025-07-14,34.88
2025-07-21,52.72
2025-07-28,48.67
2025-08-04,81.11
2025-08-11,62.0
2025-08-18,47.0
2025-08-25,40.0
2025-09-01,39.0
2025-09-08,40.0
2025-09-15,35.0
2025-09-22,68.0
2025-09-29,60.0
2025-10-06,63.0
2025-10-13,60.0
2025-10-20,33.0
2025-10-27,36.0
2025-11-03,66.0
2025-11-10,66.0
2025-11-17,67.0
2025-11-24,68.0
2025-12-01,83.0
2025-12-08,84.0
2025-12-15,71.0
2025-12-22,80.0
2025-12-29,78.0
2026-01-05,83.0
2026-01-12,82.0
2026-01-19,86.0
2026-01-26,89.0
2026-02-02,100.0
