date,score
2020-01-06,0.65
2020-01-13,0.8
2020-01-20,0.78
2020-01-27,0.8
2020-02-03,0.78
2020-02-10,0.76
2020-02-17,0.8
2020-02-24,1.01
2020-03-02,0.94
2020-03-09,0.9
2020-03-16,2.1
2020-03-23,1.55
2020-03-30,0.88
2020-04-06,1.07
2020-04-13,1.03
2020-04-20,1.17
2020-04-27,0.88
2020-05-04,1.03
2020-05-11,1.09
2020-05-18,0.88
2020-05-25,1.05
2020-06-01,0.65
2020-06-08,0.61
2020-06-15,0.67
2020-06-22,0.67
2020-06-29,0.8
2020-07-06,0.94
2020-07-13,0.71
2020-07-20,0.86
2020-07-27,0.67
2020-08-03,0.69
2020-08-10,0.86
2020-08-17,0.66
2020-08-24,0.67
2020-08-31,0.63
2020-09-07,0.76
2020-09-14,0.66
2020-09-21,0.76
2020-09-28,0.63
2020-10-05,0.71
2020-10-12,0.81
2020-10-19,0.65
2020-10-26,0.76
2020-11-02,0.77
2020-11-09,0.62
2020-11-16,0.84
2020-11-23,0.93
2020-11-30,0.77
2020-12-07,0.95
2020-12-14,0.85
2020-12-21,0.69
2020-12-28,0.69
2021-01-04,0.83
2021-01-11,0.91
2021-01-18,0.73
2021-01-25,0.7
2021-02-01,0.65
2021-02-08,0.82
2021-02-15,0.74
2021-02-22,0.68
2021-03-01,0.78
2021-03-08,0.68
2021-03-15,0.78
2021-03-22,0.83
2021-03-29,0.74
2021-04-05,1.13
2021-04-12,0.74
2021-04-19,0.79
2021-04-26,0.9
2021-05-03,1.02
2021-05-10,1.08
2021-05-17,0.87
2021-05-24,0.66
2021-05-31,0.74
2021-06-07,0.63
2021-06-14,0.63
2021-06-21,0.72
2021-06-28,1.07
2021-07-05,0.82
2021-07-12,0.71
2021-07-19,0.81
2021-07-26,0.57
2021-08-02,0.66
2021-08-09,0.59
2021-08-16,0.6
2021-08-23,0.62
2021-08-30,0.59
2021-09-06,0.68
2021-09-13,0.71
2021-09-20,0.71
2021-09-27,0.78
2021-10-04,0.86
2021-10-11,0.99
2021-10-18,0.78
2021-10-25,1.34
2021-11-01,0.72
2021-11-08,0.74
2021-11-15,0.83
2021-11-22,0.83
2021-11-29,0.75
2021-12-06,0.87
2021-12-13,0.82
2021-12-20,0.75
2021-12-27,0.56
2022-01-03,0.66
2022-01-10,0.79
2022-01-17,0.74
2022-01-24,0.76
2022-01-31,1.03
2022-02-07,0.82
2022-02-14,0.71
2022-02-21,3.25
2022-02-28,2.21
2022-03-07,1.17
2022-03-14,0.84
2022-03-21,0.91
2022-03-28,1.01
2022-04-04,1.07
2022-04-11,0.97
2022-04-18,1.27
2022-04-25,1.14
2022-05-02,1.17
2022-05-09,1.04
2022-05-16,2.08
2022-05-23,0.88
2022-05-30,0.71
2022-06-06,0.84
2022-06-13,1.49
2022-06-20,1.3
2022-06-27,0.81
2022-07-04,0.91
2022-07-11,1.75
2022-07-18,1.1
2022-07-25,1.01
2022-08-01,0.78
2022-08-08,0.77
2022-08-15,0.73
2022-08-22,0.73
2022-08-29,0.78
2022-09-05,0.75
2022-09-12,0.96
2022-09-19,0.87
2022-09-26,0.82
2022-10-03,0.96
2022-10-10,1.19
2022-10-17,0.85
2022-10-24,1.06
2022-10-31,0.85
2022-11-07,1.06
2022-11-14,1.29
2022-11-21,1.45
2022-11-28,1.19
2022-12-05,1.29
2022-12-12,0.99
2022-12-19,1.1
2022-12-26,1.13
2023-01-02,1.12
2023-01-09,0.94
2023-01-16,0.94
2023-01-23,1.45
2023-01-30,0.92
2023-02-06,1.0
2023-02-13,1.0
2023-02-20,1.0
2023-02-27,1.0
2023-03-06,1.0
2023-03-13,100.0
2023-03-20,56.0
2023-03-27,6.0
2023-04-03,2.0
2023-04-10,1.0
2023-04-17,1.0
2023-04-24,1.0
2023-05-01,4.0
2023-05-08,3.0
2023-05-15,2.0
2023-05-22,1.0
2023-05-29,1.0
2023-06-05,1.0
2023-06-12,1.0
2023-06-19,1.0
2023-06-26,1.0
2023-07-03,1.0
2023-07-10,1.0
2023-07-17,1.0
2023-07-24,1.0
2023-07-31,2.0
2023-08-07,0.85
2023-08-14,0.73
2023-08-21,0.85
2023-08-28,0.85
2023-09-04,0.85
2023-09-11,0.73
2023-09-18,1.09
2023-09-25,0.85
2023-10-02,0.97
2023-10-09,1.33
2023-10-16,1.21
2023-10-23,1.09
2023-10-30,1.21
2023-11-06,12.11
2023-11-13,3.63
2023-11-20,1.21
2023-11-27,1.21
2023-12-04,1.33
2023-12-11,1.21
2023-12-18,1.09
2023-12-25,0.85
2024-01-01,0.85
2024-01-08,0.85
2024-01-15,1.09
2024-01-22,1.09
2024-01-29,1.09
2024-02-05,1.21
2024-02-12,1.15
2024-02-19,1.46
2024-02-26,1.28
2024-03-04,1.35
2024-03-11,1.18
2024-03-18,1.07
2024-03-25,1.28
2024-04-01,1.46
2024-04-08,1.18
2024-04-15,1.48
2024-04-22,1.53
2024-04-29,2.56
2024-05-06,1.64
2024-05-13,2.4
2024-05-20,1.07
2024-05-27,0.87
2024-06-03,1.02
2024-06-10,0.95
2024-06-17,1.05
2024-06-24,1.02
2024-07-01,0.89
2024-07-08,1.05
2024-07-15,1.05
2024-07-22,1.05
2024-07-29,0.79
2024-08-05,0.91
2024-08-12,0.93
2024-08-19,0.99
2024-08-26,0.78
2024-09-02,0.78
2024-09-09,0.84
2024-09-16,1.1
2024-09-23,0.9
2024-09-30,0.85
2024-10-07,1.06
2024-10-14,1.25
2024-10-21,0.9
2024-10-28,1.04
2024-11-04,1.07
2024-11-11,1.16
2024-11-18,1.28
2024-11-25,1.08
2024-12-02,1.16
2024-12-09,1.3
2024-12-16,1.08
2024-12-23,1.04
2024-12-30,0.84
2025-01-06,1.08
2025-01-13,1.04
2025-01-20,1.1
2025-01-27,0.93
2025-02-03,1.22
2025-02-10,1.22
2025-02-17,1.36
2025-02-24,1.43
2025-03-03,1.15
2025-03-10,1.18
2025-03-17,1.25
2025-03-24,1.0
2025-03-31,1.32
2025-04-07,1.54
2025-04-14,1.43
2025-04-21,1.18
2025-04-28,1.43
2025-05-05,1.4
2025-05-12,2.72
2025-05-19,1.07
2025-05-26,0.82
2025-06-02,0.97
2025-06-09,1.11
2025-06-16,1.07
2025-06-23,1.15
2025-06-30,1.32
2025-07-07,1.18
2025-07-14,1.54
2025-07-21,2.22
2025-07-28,1.72
2025-08-04,3.58
2025-08-11,1.86
2025-08-18,1.25
2025-08-25,1.11
2025-09-01,0.97
2025-09-08,1.29
2025-09-15,1.22
2025-09-22,1.47
2025-09-29,1.65
2025-10-06,1.65
2025-10-13,1.75
2025-10-20,1.47
2025-10-27,1.47
2025-11-03,1.97
2025-11-10,2.11
2025-11-17,2.04
2025-11-24,1.86
2025-12-01,2.9
2025-12-08,2.97
2025-12-15,3.08
2025-12-22,2.83
2025-12-29,2.83
2026-01-05,2.15
2026-01-12,2.4
2026-01-19,2.51
2026-01-26,3.26
2026-02-02,3.51
