date,score
2020-07-06,7.0
2020-07-13,7.0
2020-07-20,10.1
2020-07-27,14.77
2020-08-03,14.77
2020-08-10,10.88
2020-08-17,10.88
2020-08-24,10.1
2020-08-31,7.0
2020-09-07,8.55
2020-09-14,7.0
2020-09-21,6.22
2020-09-28,5.44
2020-10-05,5.44
2020-10-12,7.0
2020-10-19,6.22
2020-10-26,13.21
2020-11-02,10.88
2020-11-09,13.21
2020-11-16,13.21
2020-11-23,21.76
2020-11-30,22.54
2020-12-07,21.76
2020-12-14,13.21
2020-12-21,42.75
2020-12-28,35.76
2021-01-04,55.19
2021-01-11,77.73
2021-01-18,55.97
2021-01-25,39.64
2021-02-01,48.97
2021-02-08,65.86
2021-02-15,67.66
2021-02-22,52.33
2021-03-01,63.15
2021-03-08,32.48
2021-03-15,36.09
2021-03-22,30.67
2021-03-29,31.58
2021-04-05,36.99
2021-04-12,24.36
2021-04-19,49.62
2021-04-26,47.82
2021-05-03,30.67
2021-05-10,28.87
2021-05-17,64.96
2021-05-24,90.22
2021-05-31,39.7
2021-06-07,28.87
2021-06-14,38.79
2021-06-21,31.58
2021-06-28,41.5
2021-07-05,20.75
2021-07-12,17.14
2021-07-19,18.95
2021-07-26,32.48
2021-08-02,21.65
2021-08-09,21.04
2021-08-16,19.75
2021-08-23,20.61
2021-08-30,17.61
2021-09-06,16.75
2021-09-13,31.35
2021-09-20,19.75
2021-09-27,25.34
2021-10-04,17.18
2021-10-11,22.76
2021-10-18,29.2
2021-10-25,36.07
2021-11-01,31.78
2021-11-08,24.48
2021-11-15,27.48
2021-11-22,24.48
2021-11-29,23.19
2021-12-06,41.66
2021-12-13,22.76
2021-12-20,22.76
2021-12-27,18.04
2022-01-03,17.61
2022-01-10,26.2
2022-01-17,21.04
2022-01-24,42.94
2022-01-31,28.34
2022-02-07,22.01
2022-02-14,21.47
2022-02-21,18.79
2022-02-28,32.21
2022-03-07,22.01
2022-03-14,20.94
2022-03-21,15.03
2022-03-28,16.64
2022-04-04,15.03
2022-04-11,16.64
2022-04-18,14.49
2022-04-25,12.88
2022-05-02,13.96
2022-05-09,29.52
2022-05-16,50.46
2022-05-23,20.94
2022-05-30,17.18
2022-06-06,15.57
2022-06-13,53.68
2022-06-20,52.61
2022-06-27,28.99
2022-07-04,24.69
2022-07-11,20.4
2022-07-18,18.79
2022-07-25,20.94
2022-08-01,15.03
2022-08-08,12.87
2022-08-15,12.58
2022-08-22,13.44
2022-08-29,12.3
2022-09-05,11.73
2022-09-12,13.73
2022-09-19,14.01
2022-09-26,13.73
2022-10-03,12.3
2022-10-10,10.58
2022-10-17,10.87
2022-10-24,9.44
2022-10-31,9.44
2022-11-07,8.87
2022-11-14,28.6
2022-11-21,18.59
2022-11-28,17.16
2022-12-05,12.58
2022-12-12,11.44
2022-12-19,13.44
2022-12-26,10.58
2023-01-02,10.58
2023-01-09,9.44
2023-01-16,13.16
2023-01-23,12.58
2023-01-30,10.58
2023-02-06,11.23
2023-02-13,8.99
2023-02-20,12.27
2023-02-27,10.02
2023-03-06,8.99
2023-03-13,16.07
2023-03-20,17.28
2023-03-27,15.04
2023-04-03,12.1
2023-04-10,12.27
2023-04-17,16.59
2023-04-24,10.71
2023-05-01,11.58
2023-05-08,10.89
2023-05-15,9.16
2023-05-22,8.64
2023-05-29,8.3
2023-06-05,8.99
2023-06-12,11.41
2023-06-19,8.81
2023-06-26,13.83
2023-07-03,10.71
2023-07-10,9.33
2023-07-17,11.75
2023-07-24,9.33
2023-07-31,8.64
2023-08-07,7.79
2023-08-14,7.4
2023-08-21,14.02
2023-08-28,9.35
2023-09-04,10.13
2023-09-11,7.4
2023-09-18,7.4
2023-09-25,7.01
2023-10-02,8.18
2023-10-09,7.01
2023-10-16,8.96
2023-10-23,13.63
2023-10-30,21.42
2023-11-06,10.91
2023-11-13,14.8
2023-11-20,12.07
2023-11-27,10.91
2023-12-04,19.08
2023-12-11,19.47
2023-12-18,13.24
2023-12-25,12.85
2024-01-01,11.68
2024-01-08,18.69
2024-01-15,38.95
2024-01-22,13.24
2024-01-29,13.24
2024-02-05,9.74
2024-07-01,12.44
2024-07-08,21.76
2024-07-15,18.66
2024-07-22,17.1
2024-07-29,24.1
2024-08-05,47.42
2024-08-12,24.87
2024-08-19,14.77
2024-08-26,14.77
2024-09-02,13.21
2024-09-09,13.21
2024-09-16,11.66
2024-09-23,15.55
2024-09-30,12.44
2024-10-07,11.66
2024-10-14,12.44
2024-10-21,11.66
2024-10-28,12.44
2024-11-04,23.32
2024-11-11,62.96
2024-11-18,66.07
2024-11-25,60.63
2024-12-02,35.76
2024-12-09,77.73
2024-12-16,39.64
2024-12-23,38.09
2024-12-30,27.21
2025-01-06,24.87
2025-01-13,27.21
2025-01-20,40.42
2025-01-27,37.31
2025-02-03,37.16
2025-02-10,26.42
2025-02-17,18.99
2025-02-24,19.41
2025-03-03,35.51
2025-03-10,34.68
2025-03-17,33.44
2025-03-24,18.58
2025-03-31,18.58
2025-04-07,31.38
2025-04-14,28.08
2025-04-21,20.23
2025-04-28,21.47
2025-05-05,16.93
2025-05-12,25.6
2025-05-19,21.06
2025-05-26,38.81
2025-06-02,26.42
2025-06-09,19.41
2025-06-16,19.41
2025-06-23,20.23
2025-06-30,17.75
2025-07-07,18.17
2025-07-14,41.29
2025-07-21,35.1
2025-07-28,28.9
2025-08-04,33.03
2025-08-11,27.59
2025-08-18,25.87
2025-08-25,20.69
2025-09-01,18.97
2025-09-08,16.67
2025-09-15,13.8
2025-09-22,17.82
2025-09-29,17.82
2025-10-06,22.42
2025-10-13,31.04
2025-10-20,27.02
2025-10-27,20.12
2025-11-03,21.84
2025-11-10,32.76
2025-11-17,33.91
2025-11-24,57.48
2025-12-01,47.14
2025-12-08,36.21
2025-12-15,24.72
2025-12-22,24.72
2025-12-29,21.27
2026-01-05,22.99
2026-01-12,21.84
2026-01-19,21.27
2026-01-26,21.27
2026-02-02,45.0
2026-02-09,100.0
2026-02-16,46.0
