date,score
2020-01-06,0.0
2020-01-13,1.0
2020-01-20,2.0
2020-01-27,1.0
2020-02-03,2.0
2020-02-10,2.0
2020-02-17,2.0
2020-02-24,2.0
2020-03-02,6.0
2020-03-09,18.0
2020-03-16,100.0
2020-03-23,69.0
2020-03-30,48.0
2020-04-06,36.0
2020-04-13,26.0
2020-04-20,18.0
2020-04-27,18.0
2020-05-04,12.0
2020-05-11,11.0
2020-05-18,10.0
2020-05-25,7.0
2020-06-01,7.0
2020-06-08,5.0
2020-06-15,5.0
2020-06-22,5.0
2020-06-29,4.0
2020-07-06,4.0
2020-07-13,4.0
2020-07-20,5.0
2020-07-27,4.0
2020-08-03,4.0
2020-08-10,3.69
2020-08-17,4.1
2020-08-24,3.28
2020-08-31,4.45
2020-09-07,3.39
2020-09-14,4.39
2020-09-21,5.21
2020-09-28,3.22
2020-10-05,3.8
2020-10-12,3.28
2020-10-19,3.22
2020-10-26,2.75
2020-11-02,3.22
2020-11-09,1.64
2020-11-16,5.85
2020-11-23,4.04
2020-11-30,4.33
2020-12-07,4.04
2020-12-14,3.45
2020-12-21,2.98
2020-12-28,2.58
2021-01-04,2.17
2021-01-11,2.52
2021-01-18,2.52
2021-01-25,2.17
2021-02-01,3.1
2021-02-08,2.49
2021-02-15,2.49
2021-02-22,14.08
2021-03-01,6.02
2021-03-08,3.08
2021-03-15,3.37
2021-03-22,3.67
2021-03-29,2.49
2021-04-05,1.76
2021-04-12,2.35
2021-04-19,2.79
2021-04-26,2.2
2021-05-03,2.05
2021-05-10,2.49
2021-05-17,14.67
2021-05-24,2.93
2021-05-31,2.2
2021-06-07,2.49
2021-06-14,2.64
2021-06-21,2.05
2021-06-28,1.76
2021-07-05,1.91
2021-07-12,2.2
2021-07-19,1.91
2021-07-26,1.91
2021-08-02,1.76
2021-08-09,1.56
2021-08-16,1.47
2021-08-23,1.6
2021-08-30,2.37
2021-09-06,3.48
2021-09-13,2.41
2021-09-20,2.37
2021-09-27,2.78
2021-10-04,2.17
2021-10-11,2.21
2021-10-18,2.05
2021-10-25,2.66
2021-11-01,1.8
2021-11-08,2.33
2021-11-15,2.17
2021-11-22,1.96
2021-11-29,2.17
2021-12-06,2.29
2021-12-13,2.21
2021-12-20,1.96
2021-12-27,2.05
2022-01-03,2.17
2022-01-10,3.93
2022-01-17,3.52
2022-01-24,3.44
2022-01-31,4.09
2022-02-07,3.32
2022-02-14,4.85
2022-02-21,4.44
2022-02-28,3.23
2022-03-07,7.68
2022-03-14,11.31
2022-03-21,4.44
2022-03-28,3.23
2022-04-04,3.64
2022-04-11,4.85
2022-04-18,3.64
2022-04-25,2.83
2022-05-02,3.64
2022-05-09,2.83
2022-05-16,6.06
2022-05-23,40.4
2022-05-30,9.7
2022-06-06,18.18
2022-06-13,21.01
2022-06-20,12.93
2022-06-27,10.1
2022-07-04,5.66
2022-07-11,5.25
2022-07-18,4.04
2022-07-25,4.04
2022-08-01,3.64
2022-08-08,2.76
2022-08-15,2.24
2022-08-22,2.86
2022-08-29,2.55
2022-09-05,2.76
2022-09-12,2.35
2022-09-19,2.45
2022-09-26,4.08
2022-10-03,4.8
2022-10-10,3.67
2022-10-17,3.98
2022-10-24,6.73
2022-10-31,4.08
2022-11-07,4.08
2022-11-14,3.67
2022-11-21,3.47
2022-11-28,2.45
2022-12-05,2.65
2022-12-12,3.06
2022-12-19,3.57
2022-12-26,2.35
2023-01-02,3.78
2023-01-09,2.45
2023-01-16,2.86
2023-01-23,5.1
2023-01-30,10.2
2023-02-06,4.08
2023-02-13,3.16
2023-02-20,2.55
2023-02-27,3.06
2023-03-06,2.96
2023-03-13,3.27
2023-03-20,2.24
2023-03-27,4.8
2023-04-03,3.06
2023-04-10,2.45
2023-04-17,2.45
2023-04-24,2.24
2023-05-01,1.94
2023-05-08,2.45
2023-05-15,1.73
2023-05-22,3.27
2023-05-29,2.65
2023-06-05,2.14
2023-06-12,1.84
2023-06-19,1.84
2023-06-26,1.84
2023-07-03,1.94
2023-07-10,1.43
2023-07-17,2.96
2023-07-24,2.65
2023-07-31,1.94
2023-08-07,2.54
2023-08-14,1.79
2023-08-21,1.51
2023-08-28,2.07
2023-09-04,2.29
2023-09-11,2.86
2023-09-18,2.86
2023-09-25,2.76
2023-10-02,2.79
2023-10-09,2.35
2023-10-16,2.39
2023-10-23,2.35
2023-10-30,2.51
2023-11-06,2.67
2023-11-13,2.39
2023-11-20,2.26
2023-11-27,2.23
2023-12-04,2.86
2023-12-11,3.14
2023-12-18,2.45
2023-12-25,1.95
2024-01-01,1.63
2024-01-08,1.73
2024-01-15,2.48
2024-01-22,2.64
2024-01-29,2.73
2024-02-05,2.57
2024-02-12,2.78
2024-02-19,2.69
2024-02-26,2.53
2024-03-04,4.0
2024-03-11,3.96
2024-03-18,2.48
2024-03-25,2.82
2024-04-01,3.07
2024-04-08,3.37
2024-04-15,3.37
2024-04-22,3.24
2024-04-29,3.07
2024-05-06,2.48
2024-05-13,1.89
2024-05-20,2.82
2024-05-27,2.78
2024-06-03,2.74
2024-06-10,2.61
2024-06-17,2.82
2024-06-24,2.48
2024-07-01,3.16
2024-07-08,2.9
2024-07-15,3.33
2024-07-22,2.23
2024-07-29,4.21
2024-08-05,2.6
2024-08-12,2.6
2024-08-19,43.37
2024-08-26,15.18
2024-09-02,19.52
2024-09-09,8.24
2024-09-16,9.97
2024-09-23,6.07
2024-09-30,7.81
2024-10-07,9.54
2024-10-14,10.84
2024-10-21,5.64
2024-10-28,8.24
2024-11-04,9.11
2024-11-11,11.71
2024-11-18,3.47
2024-11-25,3.47
2024-12-02,3.04
2024-12-09,2.6
2024-12-16,2.6
2024-12-23,2.17
2024-12-30,1.73
2025-01-06,2.17
2025-01-13,11.28
2025-01-20,9.97
2025-01-27,6.07
2025-02-03,5.2
2025-02-10,3.56
2025-02-17,4.14
2025-02-24,3.45
2025-03-03,3.45
2025-03-10,3.33
2025-03-17,1.95
2025-03-24,2.53
2025-03-31,5.4
2025-04-07,5.98
2025-04-14,2.64
2025-04-21,2.76
2025-04-28,2.18
2025-05-05,1.72
2025-05-12,1.95
2025-05-19,2.41
2025-05-26,2.07
2025-06-02,1.95
2025-06-09,2.41
2025-06-16,1.95
2025-06-23,1.95
2025-06-30,2.64
2025-07-07,1.84
2025-07-14,2.99
2025-07-21,2.41
2025-07-28,2.07
2025-08-04,2.18
2025-08-11,2.49
2025-08-18,1.75
2025-08-25,1.88
2025-09-01,2.76
2025-09-08,2.29
2025-09-15,2.22
2025-09-22,2.29
2025-09-29,2.22
2025-10-06,2.02
2025-10-13,2.56
2025-10-20,2.35
2025-10-27,2.02
2025-11-03,2.42
2025-11-10,3.09
2025-11-17,6.73
2025-11-24,2.29
2025-12-01,2.42
2025-12-08,2.56
2025-12-15,3.09
2025-12-22,1.82
2025-12-29,1.88
2026-01-05,1.68
2026-01-12,2.56
2026-01-19,2.69
2026-01-26,3.03
2026-02-02,2.96
