date,score
2020-01-06,5.64
2020-01-13,4.41
2020-01-20,6.13
2020-01-27,4.66
2020-02-03,4.41
2020-02-10,13.48
2020-02-17,5.88
2020-02-24,5.88
2020-03-02,5.39
2020-03-09,5.15
2020-03-16,4.17
2020-03-23,3.43
2020-03-30,5.15
2020-04-06,3.68
2020-04-13,2.7
2020-04-20,2.7
2020-04-27,3.19
2020-05-04,2.7
2020-05-11,2.94
2020-05-18,1.96
2020-05-25,2.94
2020-06-01,2.21
2020-06-08,2.7
2020-06-15,2.45
2020-06-22,2.7
2020-06-29,2.21
2020-07-06,3.19
2020-07-13,3.19
2020-07-20,3.43
2020-07-27,24.51
2020-08-03,9.31
2020-08-10,4.41
2020-08-17,3.19
2020-08-24,6.13
2020-08-31,7.35
2020-09-07,3.92
2020-09-14,10.54
2020-09-21,5.64
2020-09-28,6.37
2020-10-05,14.95
2020-10-12,5.64
2020-10-19,5.88
2020-10-26,6.62
2020-11-02,6.37
2020-11-09,3.92
2020-11-16,4.9
2020-11-23,12.74
2020-11-30,3.68
2020-12-07,4.17
2020-12-14,3.43
2020-12-21,2.94
2020-12-28,2.45
2021-01-04,3.43
2021-01-11,3.19
2021-01-18,3.43
2021-01-25,11.52
2021-02-01,7.35
2021-02-08,3.91
2021-02-15,5.06
2021-02-22,3.45
2021-03-01,2.99
2021-03-08,3.33
2021-03-15,4.02
2021-03-22,3.1
2021-03-29,2.64
2021-04-05,2.41
2021-04-12,3.56
2021-04-19,4.25
2021-04-26,2.99
2021-05-03,4.37
2021-05-10,2.41
2021-05-17,3.1
2021-05-24,2.41
2021-05-31,3.1
2021-06-07,3.68
2021-06-14,3.1
2021-06-21,2.53
2021-06-28,2.99
2021-07-05,2.3
2021-07-12,2.87
2021-07-19,2.99
2021-07-26,2.3
2021-08-02,2.42
2021-08-09,2.06
2021-08-16,2.85
2021-08-23,2.61
2021-08-30,3.03
2021-09-06,2.61
2021-09-13,3.39
2021-09-20,5.15
2021-09-27,4.06
2021-10-04,3.39
2021-10-11,3.82
2021-10-18,3.64
2021-10-25,4.12
2021-11-01,3.94
2021-11-08,6.06
2021-11-15,4.18
2021-11-22,4.97
2021-11-29,2.48
2021-12-06,4.61
2021-12-13,5.58
2021-12-20,2.85
2021-12-27,1.58
2022-01-03,2.12
2022-01-10,3.58
2022-01-17,2.85
2022-01-24,2.97
2022-01-31,3.45
2022-02-07,4.14
2022-02-14,4.25
2022-02-21,3.49
2022-02-28,3.71
2022-03-07,5.18
2022-03-14,4.25
2022-03-21,3.6
2022-03-28,3.81
2022-04-04,3.27
2022-04-11,3.54
2022-04-18,3.49
2022-04-25,3.76
2022-05-02,4.09
2022-05-09,3.38
2022-05-16,3.76
2022-05-23,3.49
2022-05-30,2.94
2022-06-06,4.09
2022-06-13,5.45
2022-06-20,3.05
2022-06-27,3.21
2022-07-04,2.07
2022-07-11,2.51
2022-07-18,3.65
