date,score
2020-01-06,2.06
2020-01-13,2.57
2020-01-20,3.04
2020-01-27,2.62
2020-02-03,3.04
2020-02-10,3.89
2020-02-17,3.32
2020-02-24,2.95
2020-03-02,2.81
2020-03-09,2.67
2020-03-16,2.34
2020-03-23,3.32
2020-03-30,4.68
2020-04-06,2.43
2020-04-13,2.2
2020-04-20,2.62
2020-04-27,2.71
2020-05-04,2.34
2020-05-11,2.11
2020-05-18,2.67
2020-05-25,1.87
2020-06-01,1.59
2020-06-08,1.59
2020-06-15,1.83
2020-06-22,1.5
2020-06-29,1.69
2020-07-06,1.64
2020-07-13,1.87
2020-07-20,1.87
2020-07-27,2.11
2020-08-03,2.01
2020-08-10,1.83
2020-08-17,1.91
2020-08-24,1.91
2020-08-31,1.78
2020-09-07,2.18
2020-09-14,1.83
2020-09-21,1.6
2020-09-28,2.0
2020-10-05,2.54
2020-10-12,2.49
2020-10-19,2.0
2020-10-26,2.23
2020-11-02,2.27
2020-11-09,2.67
2020-11-16,2.23
2020-11-23,2.09
2020-11-30,1.74
2020-12-07,1.78
2020-12-14,1.69
2020-12-21,2.05
2020-12-28,2.54
2021-01-04,3.03
2021-01-11,2.4
2021-01-18,4.45
2021-01-25,3.92
2021-02-01,2.32
2021-02-08,2.67
2021-02-15,1.65
2021-02-22,1.74
2021-03-01,1.83
2021-03-08,2.58
2021-03-15,3.21
2021-03-22,2.0
2021-03-29,1.87
2021-04-05,2.27
2021-04-12,1.96
2021-04-19,1.6
2021-04-26,1.65
2021-05-03,2.49
2021-05-10,1.74
2021-05-17,1.91
2021-05-24,1.43
2021-05-31,1.43
2021-06-07,1.11
2021-06-14,1.25
2021-06-21,1.25
2021-06-28,1.16
2021-07-05,1.07
2021-07-12,1.07
2021-07-19,1.29
2021-07-26,1.16
2021-08-02,1.16
2021-08-09,1.25
2021-08-16,1.95
2021-08-23,1.11
2021-08-30,1.25
2021-09-06,1.11
2021-09-13,1.39
2021-09-20,2.23
2021-09-27,5.85
2021-10-04,11.15
2021-10-11,13.93
2021-10-18,3.07
2021-10-25,1.39
2021-11-01,1.67
2021-11-08,1.53
2021-11-15,1.39
2021-11-22,1.67
2021-11-29,1.25
2021-12-06,1.67
2021-12-13,1.67
2021-12-20,3.07
2021-12-27,1.11
2022-01-03,1.11
2022-01-10,1.67
2022-01-17,1.39
2022-01-24,1.39
2022-01-31,1.25
2022-02-07,3.9
2022-02-14,1.76
2022-02-21,1.56
2022-02-28,1.91
2022-03-07,2.34
2022-03-14,1.64
2022-03-21,1.79
2022-03-28,2.03
2022-04-04,2.11
2022-04-11,1.91
2022-04-18,1.87
2022-04-25,1.99
2022-05-02,2.42
2022-05-09,2.42
2022-05-16,2.3
2022-05-23,1.95
2022-05-30,1.44
2022-06-06,1.52
2022-06-13,1.52
2022-06-20,1.64
2022-06-27,1.52
2022-07-04,1.29
2022-07-11,1.33
