date,score
2020-01-06,2.09
2020-01-13,1.69
2020-01-20,1.61
2020-01-27,1.85
2020-02-03,1.61
2020-02-10,1.53
2020-02-17,1.29
2020-02-24,8.04
2020-03-02,1.53
2020-03-09,1.77
2020-03-16,4.02
2020-03-23,2.01
2020-03-30,1.93
2020-04-06,1.85
2020-04-13,2.09
2020-04-20,1.69
2020-04-27,1.85
2020-05-04,1.69
2020-05-11,1.93
2020-05-18,1.53
2020-05-25,1.45
2020-06-01,1.21
2020-06-08,1.53
2020-06-15,1.37
2020-06-22,1.37
2020-06-29,3.62
2020-07-06,1.85
2020-07-13,1.77
2020-07-20,1.69
2020-07-27,1.77
2020-08-03,1.85
2020-08-10,1.74
2020-08-17,2.55
2020-08-24,4.15
2020-08-31,2.14
2020-09-07,2.41
2020-09-14,2.14
2020-09-21,2.28
2020-09-28,2.28
2020-10-05,1.88
2020-10-12,2.14
2020-10-19,2.01
2020-10-26,1.61
2020-11-02,1.61
2020-11-09,1.61
2020-11-16,4.15
2020-11-23,3.62
2020-11-30,2.55
2020-12-07,2.28
2020-12-14,2.81
2020-12-21,13.4
2020-12-28,10.72
2021-01-04,9.65
2021-01-11,5.49
2021-01-18,4.15
2021-01-25,3.75
2021-02-01,4.29
2021-02-08,3.74
2021-02-15,9.7
2021-02-22,8.04
2021-03-01,5.54
2021-03-08,4.16
2021-03-15,3.6
2021-03-22,2.77
2021-03-29,2.77
2021-04-05,2.22
2021-04-12,2.49
2021-04-19,2.36
2021-04-26,2.22
2021-05-03,2.08
2021-05-10,13.85
2021-05-17,6.1
2021-05-24,4.99
2021-05-31,5.96
2021-06-07,3.46
2021-06-14,3.6
2021-06-21,3.74
2021-06-28,2.77
2021-07-05,2.91
2021-07-12,2.77
2021-07-19,3.05
2021-07-26,2.22
2021-08-02,2.49
2021-08-09,2.54
2021-08-16,2.36
2021-08-23,2.66
2021-08-30,3.03
2021-09-06,2.0
2021-09-13,2.24
2021-09-20,1.78
2021-09-27,2.33
2021-10-04,1.69
2021-10-11,1.48
2021-10-18,1.48
2021-10-25,1.69
2021-11-01,1.72
2021-11-08,1.45
2021-11-15,1.45
2021-11-22,1.48
2021-11-29,2.03
2021-12-06,1.45
2021-12-13,1.63
2021-12-20,1.48
2021-12-27,2.21
2022-01-03,2.51
2022-01-10,2.21
2022-01-17,1.97
2022-01-24,1.6
2022-01-31,1.85
2022-02-07,1.91
2022-02-14,1.77
2022-02-21,1.84
2022-02-28,2.9
2022-03-07,3.47
2022-03-14,2.55
2022-03-21,2.37
2022-03-28,2.16
2022-04-04,1.84
2022-04-11,1.98
2022-04-18,1.91
2022-04-25,1.88
2022-05-02,1.77
2022-05-09,1.91
2022-05-16,1.84
2022-05-23,1.66
2022-05-30,1.8
2022-06-06,1.95
2022-06-13,1.77
2022-06-20,1.88
2022-06-27,1.88
2022-07-04,2.16
2022-07-11,1.88
2022-07-18,1.84
2022-07-25,2.41
2022-08-01,3.54
2022-08-08,3.86
2022-08-15,2.2
2022-08-22,1.93
2022-08-29,2.24
2022-09-05,3.4
2022-09-12,2.16
2022-09-19,2.39
2022-09-26,1.85
2022-10-03,1.74
2022-10-10,1.66
2022-10-17,2.01
2022-10-24,1.7
2022-10-31,1.54
2022-11-07,3.55
2022-11-14,2.78
2022-11-21,1.7
2022-11-28,1.81
2022-12-05,1.85
2022-12-12,2.01
2022-12-19,1.89
2022-12-26,2.39
2023-01-02,3.16
2023-01-09,2.59
2023-01-16,3.28
2023-01-23,2.08
2023-01-30,1.93
2023-02-06,1.91
2023-02-13,1.71
2023-02-20,1.81
2023-02-27,1.81
2023-03-06,1.71
2023-03-13,1.65
2023-03-20,2.04
2023-03-27,2.08
2023-04-03,1.65
2023-04-10,1.94
2023-04-17,1.61
2023-04-24,1.85
2023-05-01,1.61
2023-05-08,2.9
2023-05-15,2.8
2023-05-22,2.04
2023-05-29,2.37
2023-06-05,2.31
2023-06-12,1.75
2023-06-19,1.75
2023-06-26,2.54
2023-07-03,2.01
2023-07-10,2.44
2023-07-17,1.85
2023-07-24,2.37
2023-07-31,2.34
2023-08-07,2.18
2023-08-14,2.09
2023-08-21,2.04
2023-08-28,2.04
2023-09-04,2.25
2023-09-11,2.09
2023-09-18,3.64
2023-09-25,1.98
2023-10-02,1.82
2023-10-09,5.36
2023-10-16,1.98
2023-10-23,1.77
2023-10-30,1.66
2023-11-06,1.77
2023-11-13,1.98
2023-11-20,1.93
2023-11-27,1.71
2023-12-04,1.77
2023-12-11,1.71
2023-12-18,1.77
2023-12-25,2.46
2024-01-01,2.63
2024-01-08,2.2
2024-01-15,3.05
2024-01-22,2.25
2024-01-29,1.98
2024-02-05,3.0
2024-02-12,2.88
2024-02-19,2.7
2024-02-26,2.12
2024-03-04,3.64
2024-03-11,1.94
2024-03-18,1.88
2024-03-25,1.65
2024-04-01,3.29
2024-04-08,2.53
2024-04-15,2.53
2024-04-22,1.94
2024-04-29,2.47
2024-05-06,2.17
2024-05-13,2.12
2024-05-20,5.88
2024-05-27,2.23
2024-06-03,3.06
2024-06-10,4.0
2024-06-17,2.29
2024-06-24,2.06
2024-07-01,2.06
2024-07-08,2.41
2024-07-15,2.29
2024-07-22,2.06
2024-07-29,2.35
2024-08-05,1.88
2024-08-12,1.88
2024-08-19,1.88
2024-08-26,2.51
2024-09-02,1.88
2024-09-09,1.88
2024-09-16,4.39
2024-09-23,1.88
2024-09-30,1.88
2024-10-07,1.88
2024-10-14,1.88
2024-10-21,3.76
2024-10-28,1.88
2024-11-04,1.88
2024-11-11,2.51
2024-11-18,2.51
2024-11-25,2.51
2024-12-02,2.51
2024-12-09,3.14
2024-12-16,1.88
2024-12-23,13.8
2024-12-30,18.82
2025-01-06,5.65
2025-01-13,62.75
2025-01-20,13.8
2025-01-27,9.41
2025-02-03,6.9
2025-02-10,5.02
2025-02-17,10.67
2025-02-24,3.76
2025-03-03,3.14
2025-03-10,18.2
2025-03-17,11.92
2025-03-24,8.78
2025-03-31,30.75
2025-04-07,6.9
2025-04-14,6.9
2025-04-21,3.14
2025-04-28,2.51
2025-05-05,2.51
2025-05-12,2.51
2025-05-19,2.51
2025-05-26,3.14
2025-06-02,1.88
2025-06-09,2.51
2025-06-16,3.14
