date,score
2020-01-06,14.0
2020-01-13,16.0
2020-01-20,18.0
2020-01-27,17.0
2020-02-03,18.0
2020-02-10,18.0
2020-02-17,18.0
2020-02-24,19.0
2020-03-02,18.0
2020-03-09,18.0
2020-03-16,15.0
2020-03-23,13.0
2020-03-30,11.0
2020-04-06,11.0
2020-04-13,11.0
2020-04-20,11.0
2020-04-27,100.0
2020-05-04,13.0
2020-05-11,13.0
2020-05-18,13.0
2020-05-25,12.0
2020-06-01,12.0
2020-06-08,13.0
2020-06-15,14.0
2020-06-22,20.0
2020-06-29,21.0
2020-07-06,13.0
2020-07-13,15.0
2020-07-20,14.0
2020-07-27,14.0
2020-08-03,13.8
2020-08-10,19.72
2020-08-17,13.8
2020-08-24,12.81
2020-08-31,12.81
2020-09-07,12.49
2020-09-14,13.14
2020-09-21,15.44
2020-09-28,16.1
2020-10-05,16.43
2020-10-12,15.44
2020-10-19,13.47
2020-10-26,23.0
2020-11-02,14.13
2020-11-09,15.11
2020-11-16,14.46
2020-11-23,13.47
2020-11-30,11.83
2020-12-07,12.81
2020-12-14,13.14
2020-12-21,11.5
2020-12-28,8.87
2021-01-04,9.86
2021-01-11,11.5
2021-01-18,13.47
2021-01-25,32.86
2021-02-01,18.73
2021-02-08,20.7
2021-02-15,15.44
2021-02-22,20.37
2021-03-01,17.74
2021-03-08,16.76
2021-03-15,17.41
2021-03-22,20.37
2021-03-29,17.41
2021-04-05,15.44
2021-04-12,14.79
2021-04-19,15.11
2021-04-26,15.11
2021-05-03,16.1
2021-05-10,14.46
2021-05-17,14.13
2021-05-24,13.8
2021-05-31,12.81
2021-06-07,14.13
2021-06-14,14.79
2021-06-21,12.49
2021-06-28,11.83
2021-07-05,11.17
2021-07-12,11.17
2021-07-19,12.49
2021-07-26,11.83
2021-08-02,12.23
2021-08-09,12.64
2021-08-16,13.25
2021-08-23,12.43
2021-08-30,14.47
2021-09-06,12.23
2021-09-13,15.49
2021-09-20,20.38
2021-09-27,18.75
2021-10-04,17.33
2021-10-11,15.7
2021-10-18,15.08
2021-10-25,15.49
2021-11-01,16.72
2021-11-08,16.72
2021-11-15,17.12
2021-11-22,18.35
2021-11-29,14.27
2021-12-06,15.7
2021-12-13,15.9
2021-12-20,14.68
2021-12-27,10.4
2022-01-03,10.8
2022-01-10,12.43
2022-01-17,14.07
2022-01-24,13.66
2022-01-31,13.45
2022-02-07,13.2
2022-02-14,15.77
2022-02-21,14.74
2022-02-28,14.4
2022-03-07,16.11
2022-03-14,14.74
2022-03-21,14.23
2022-03-28,14.57
2022-04-04,16.8
2022-04-11,17.14
2022-04-18,15.94
2022-04-25,16.8
2022-05-02,16.8
2022-05-09,16.11
2022-05-16,15.6
2022-05-23,16.29
2022-05-30,14.74
2022-06-06,13.37
2022-06-13,12.86
2022-06-20,12.51
2022-06-27,13.03
2022-07-04,14.4
2022-07-11,13.03
2022-07-18,12.34
2022-07-25,13.2
2022-08-01,12.86
2022-08-08,11.95
2022-08-15,12.32
2022-08-22,12.69
2022-08-29,13.61
2022-09-05,12.87
2022-09-12,14.16
2022-09-19,17.65
2022-09-26,17.65
2022-10-03,16.92
2022-10-10,16.37
2022-10-17,15.81
2022-10-24,17.47
2022-10-31,16.55
2022-11-07,15.81
2022-11-14,15.08
2022-11-21,17.84
2022-11-28,16.18
2022-12-05,16.73
2022-12-12,18.39
2022-12-19,16.18
2022-12-26,17.1
2023-01-02,13.61
2023-01-09,17.1
2023-01-16,16.55
2023-01-23,16.92
2023-01-30,17.1
2023-02-06,17.25
2023-02-13,18.24
2023-02-20,16.59
2023-02-27,16.92
2023-03-06,17.58
2023-03-13,17.58
2023-03-20,15.92
2023-03-27,16.25
2023-04-03,17.91
2023-04-10,16.25
2023-04-17,16.25
2023-04-24,19.57
2023-05-01,18.58
2023-05-08,25.21
2023-05-15,33.17
2023-05-22,22.56
2023-05-29,20.24
2023-06-05,20.57
2023-06-12,17.91
2023-06-19,14.6
2023-06-26,13.93
2023-07-03,13.93
2023-07-10,14.93
2023-07-17,14.6
2023-07-24,13.27
2023-07-31,13.6
2023-08-07,13.27
2023-08-14,12.15
2023-08-21,12.99
2023-08-28,14.67
2023-09-04,13.62
2023-09-11,15.5
2023-09-18,18.44
2023-09-25,18.02
2023-10-02,17.6
2023-10-09,17.6
2023-10-16,20.95
2023-10-23,16.97
2023-10-30,16.76
2023-11-06,17.39
2023-11-13,16.34
2023-11-20,16.76
2023-11-27,15.08
2023-12-04,17.6
2023-12-11,17.39
2023-12-18,16.76
2023-12-25,17.18
2024-01-01,11.94
2024-01-08,16.13
2024-01-15,16.76
2024-01-22,17.6
2024-01-29,19.07
2024-02-05,20.54
2024-02-12,22.92
2024-02-19,17.86
2024-02-26,18.16
2024-03-04,19.65
2024-03-11,19.35
2024-03-18,19.94
2024-03-25,20.54
2024-04-01,16.07
2024-04-08,15.48
2024-04-15,17.86
2024-04-22,18.46
2024-04-29,17.86
2024-05-06,17.27
2024-05-13,17.56
2024-05-20,15.18
2024-05-27,14.88
2024-06-03,13.99
2024-06-10,16.37
2024-06-17,16.37
2024-06-24,29.77
2024-07-01,15.18
2024-07-08,13.99
2024-07-15,14.29
2024-07-22,16.37
2024-07-29,14.88
2024-08-05,13.69
2024-08-12,14.28
2024-08-19,15.71
2024-08-26,16.42
2024-09-02,16.42
2024-09-09,17.13
2024-09-16,24.99
2024-09-23,17.85
2024-09-30,17.85
2024-10-07,22.13
2024-10-14,18.56
2024-10-21,17.85
2024-10-28,20.7
2024-11-04,19.99
2024-11-11,40.69
2024-11-18,24.27
2024-11-25,23.56
2024-12-02,18.56
2024-12-09,19.99
2024-12-16,19.99
2024-12-23,17.13
2024-12-30,12.14
2025-01-06,14.99
2025-01-13,21.42
2025-01-20,29.27
2025-01-27,64.97
2025-02-03,71.39
2025-02-10,42.83
2025-02-17,26.41
2025-02-24,26.41
2025-03-03,26.41
2025-03-10,22.85
2025-03-17,25.7
2025-03-24,22.13
