date,score
2020-01-06,8.47
2020-01-13,9.58
2020-01-20,11.6
2020-01-27,10.68
2020-02-03,11.6
2020-02-10,11.24
2020-02-17,11.97
2020-02-24,12.71
2020-03-02,12.34
2020-03-09,12.16
2020-03-16,10.31
2020-03-23,9.95
2020-03-30,12.16
2020-04-06,11.79
2020-04-13,12.53
2020-04-20,12.71
2020-04-27,12.34
2020-05-04,11.97
2020-05-11,12.71
2020-05-18,11.42
2020-05-25,18.42
2020-06-01,8.29
2020-06-08,8.47
2020-06-15,8.84
2020-06-22,8.66
2020-06-29,8.84
2020-07-06,8.29
2020-07-13,8.66
2020-07-20,9.21
2020-07-27,9.39
2020-08-03,9.21
2020-08-10,10.15
2020-08-17,8.59
2020-08-24,8.43
2020-08-31,12.81
2020-09-07,9.68
2020-09-14,10.31
2020-09-21,11.56
2020-09-28,10.62
2020-10-05,11.09
2020-10-12,11.25
2020-10-19,10.78
2020-10-26,11.09
2020-11-02,10.0
2020-11-09,10.31
2020-11-16,10.78
2020-11-23,10.93
2020-11-30,9.68
2020-12-07,11.25
2020-12-14,15.62
2020-12-21,12.34
2020-12-28,9.68
2021-01-04,9.22
2021-01-11,9.53
2021-01-18,15.46
2021-01-25,13.12
2021-02-01,13.12
2021-02-08,13.07
2021-02-15,13.57
2021-02-22,18.59
2021-03-01,18.59
2021-03-08,18.09
2021-03-15,17.59
2021-03-22,14.57
2021-03-29,13.07
2021-04-05,14.07
2021-04-12,14.57
2021-04-19,18.09
2021-04-26,13.57
2021-05-03,18.59
2021-05-10,20.6
2021-05-17,50.26
2021-05-24,20.6
2021-05-31,16.58
2021-06-07,14.07
2021-06-14,30.66
2021-06-21,21.61
2021-06-28,13.57
2021-07-05,11.06
2021-07-12,12.56
2021-07-19,23.62
2021-07-26,14.07
2021-08-02,12.06
2021-08-09,10.8
2021-08-16,15.96
2021-08-23,11.27
2021-08-30,12.21
2021-09-06,11.27
2021-09-13,15.49
2021-09-20,19.25
2021-09-27,13.15
2021-10-04,15.96
2021-10-11,15.49
2021-10-18,26.76
2021-10-25,23.95
2021-11-01,21.6
2021-11-08,18.78
2021-11-15,43.66
2021-11-22,28.64
2021-11-29,20.66
2021-12-06,21.6
2021-12-13,37.56
2021-12-20,30.99
2021-12-27,15.49
2022-01-03,15.96
2022-01-10,22.07
2022-01-17,46.95
2022-01-24,24.88
2022-01-31,29.58
2022-02-07,21.13
2022-02-14,54.02
2022-02-21,28.87
2022-02-28,27.94
2022-03-07,31.67
2022-03-14,51.22
2022-03-21,30.73
2022-03-28,26.08
2022-04-04,27.94
2022-04-11,30.73
2022-04-18,76.37
2022-04-25,28.87
2022-05-02,28.87
2022-05-09,36.32
2022-05-16,78.23
2022-05-23,32.6
2022-05-30,27.94
2022-06-06,28.87
2022-06-13,93.13
2022-06-20,65.19
2022-06-27,30.73
2022-07-04,37.25
2022-07-11,27.94
2022-07-18,85.68
2022-07-25,27.01
2022-08-01,44.7
2022-08-08,100.0
2022-08-15,74.0
2022-08-22,64.0
2022-08-29,33.0
2022-09-05,28.0
2022-09-12,28.0
2022-09-19,79.0
2022-09-26,41.0
2022-10-03,34.0
2022-10-10,46.0
2022-10-17,68.0
2022-10-24,40.0
2022-10-31,36.0
2022-11-07,38.0
2022-11-14,50.0
2022-11-21,31.0
2022-11-28,25.0
2022-12-05,30.0
2022-12-12,29.0
2022-12-19,38.0
2022-12-26,21.0
2023-01-02,18.0
2023-01-09,24.0
2023-01-16,40.0
2023-01-23,26.0
2023-01-30,25.0
2023-02-06,27.9
2023-02-13,29.9
2023-02-20,37.47
2023-02-27,27.11
2023-03-06,24.32
2023-03-13,26.71
2023-03-20,32.29
2023-03-27,27.51
2023-04-03,26.31
2023-04-10,24.32
2023-04-17,35.88
2023-04-24,24.32
2023-05-01,25.51
2023-05-08,26.31
2023-05-15,30.3
2023-05-22,21.93
2023-05-29,19.13
2023-06-05,18.34
2023-06-12,20.33
2023-06-19,29.1
2023-06-26,17.54
2023-07-03,20.73
2023-07-10,20.33
2023-07-17,35.88
2023-07-24,19.53
2023-07-31,21.93
2023-08-07,17.63
2023-08-14,27.7
2023-08-21,22.3
2023-08-28,20.14
2023-09-04,23.74
2023-09-11,21.22
2023-09-18,30.94
2023-09-25,29.14
2023-10-02,23.74
2023-10-09,24.1
2023-10-16,28.06
2023-10-23,23.02
2023-10-30,23.38
2023-11-06,26.26
2023-11-13,25.54
2023-11-20,30.94
2023-11-27,25.54
2023-12-04,27.7
2023-12-11,25.54
2023-12-18,29.14
2023-12-25,20.86
2024-01-01,16.55
2024-01-08,18.71
2024-01-15,29.86
2024-01-22,21.22
2024-01-29,23.38
2024-02-05,23.02
2024-02-12,22.8
2024-02-19,38.66
2024-02-26,25.77
2024-03-04,30.23
2024-03-11,32.22
2024-03-18,32.22
2024-03-25,25.77
2024-04-01,23.29
2024-04-08,23.79
2024-04-15,49.56
2024-04-22,26.27
2024-04-29,26.76
2024-05-06,25.77
2024-05-13,26.76
2024-05-20,32.71
2024-05-27,23.29
2024-06-03,24.78
2024-06-10,20.82
2024-06-17,29.74
2024-06-24,17.35
2024-07-01,33.7
2024-07-08,19.33
2024-07-15,31.23
2024-07-22,20.32
2024-07-29,21.81
2024-08-05,19.83
2024-08-12,22.4
2024-08-19,34.97
2024-08-26,22.95
2024-09-02,26.23
2024-09-09,21.31
2024-09-16,54.64
2024-09-23,26.77
2024-09-30,22.4
2024-10-07,22.95
2024-10-14,26.77
2024-10-21,23.49
2024-10-28,24.59
2024-11-04,31.14
2024-11-11,39.88
2024-11-18,34.42
2024-11-25,24.04
2024-12-02,21.85
2024-12-09,22.4
2024-12-16,29.5
2024-12-23,21.31
2024-12-30,17.48
2025-01-06,16.94
2025-01-13,18.03
2025-01-20,28.41
2025-01-27,33.87
2025-02-03,23.36
