date,score
2020-01-06,2.76
2020-01-13,3.31
2020-01-20,3.31
2020-01-27,3.31
2020-02-03,3.31
2020-02-10,3.86
2020-02-17,3.31
2020-02-24,5.51
2020-03-02,11.58
2020-03-09,20.4
2020-03-16,45.77
2020-03-23,55.14
2020-03-30,16.54
2020-04-06,12.68
2020-04-13,10.48
2020-04-20,9.37
2020-04-27,7.72
2020-05-04,7.17
2020-05-11,6.07
2020-05-18,5.51
2020-05-25,4.41
2020-06-01,3.31
2020-06-08,9.93
2020-06-15,14.89
2020-06-22,3.31
2020-06-29,2.76
2020-07-06,2.76
2020-07-13,2.76
2020-07-20,2.76
2020-07-27,2.76
2020-08-03,3.86
2020-08-10,2.64
2020-08-17,4.07
2020-08-24,2.52
2020-08-31,2.64
2020-09-07,3.35
2020-09-14,2.99
2020-09-21,2.7
2020-09-28,2.99
2020-10-05,4.07
2020-10-12,3.23
2020-10-19,2.82
2020-10-26,2.87
2020-11-02,2.93
2020-11-09,2.87
2020-11-16,2.93
2020-11-23,5.99
2020-11-30,2.87
2020-12-07,3.17
2020-12-14,3.05
2020-12-21,2.58
2020-12-28,1.62
2021-01-04,1.44
2021-01-11,1.92
2021-01-18,1.98
2021-01-25,2.22
2021-02-01,2.7
2021-02-08,2.29
2021-02-15,2.45
2021-02-22,2.32
2021-03-01,2.58
2021-03-08,2.42
2021-03-15,2.25
2021-03-22,2.29
2021-03-29,2.15
2021-04-05,2.09
2021-04-12,2.19
2021-04-19,2.48
2021-04-26,2.87
2021-05-03,2.61
2021-05-10,2.55
2021-05-17,3.26
2021-05-24,2.12
2021-05-31,1.8
2021-06-07,1.57
2021-06-14,1.73
2021-06-21,1.53
2021-06-28,1.44
2021-07-05,1.31
2021-07-12,1.5
2021-07-19,1.73
2021-07-26,1.53
2021-08-02,1.37
2021-08-09,1.25
2021-08-16,1.21
2021-08-23,1.29
2021-08-30,1.38
2021-09-06,1.64
2021-09-13,1.72
2021-09-20,2.45
2021-09-27,2.24
2021-10-04,2.8
2021-10-11,2.76
2021-10-18,2.71
2021-10-25,2.97
2021-11-01,2.28
2021-11-08,2.41
2021-11-15,2.54
2021-11-22,2.45
2021-11-29,2.11
2021-12-06,2.8
2021-12-13,2.54
2021-12-20,2.45
2021-12-27,1.51
2022-01-03,1.29
2022-01-10,2.2
2022-01-17,2.37
2022-01-24,4.31
2022-01-31,3.06
2022-02-07,3.0
2022-02-14,4.0
2022-02-21,4.0
2022-02-28,5.0
2022-03-07,7.0
2022-03-14,9.0
2022-03-21,8.0
2022-03-28,6.0
2022-04-04,8.0
2022-04-11,14.0
2022-04-18,14.0
2022-04-25,8.0
2022-05-02,17.0
2022-05-09,15.0
2022-05-16,16.0
2022-05-23,24.0
2022-05-30,16.0
2022-06-06,21.0
2022-06-13,38.0
2022-06-20,54.0
2022-06-27,29.0
2022-07-04,17.0
2022-07-11,18.0
2022-07-18,19.0
2022-07-25,21.0
2022-08-01,100.0
2022-08-08,15.0
2022-08-15,8.0
2022-08-22,9.0
2022-08-29,8.0
2022-09-05,8.0
2022-09-12,6.0
2022-09-19,10.0
2022-09-26,13.0
2022-10-03,11.0
2022-10-10,10.0
2022-10-17,16.0
2022-10-24,18.0
2022-10-31,11.0
2022-11-07,12.0
2022-11-14,9.0
2022-11-21,11.0
2022-11-28,8.0
2022-12-05,9.0
2022-12-12,9.0
2022-12-19,8.0
2022-12-26,6.0
2023-01-02,5.0
2023-01-09,8.0
2023-01-16,7.0
2023-01-23,9.0
2023-01-30,9.0
2023-02-06,7.73
2023-02-13,6.12
2023-02-20,6.63
2023-02-27,5.72
2023-03-06,5.52
2023-03-13,9.03
2023-03-20,7.93
2023-03-27,9.03
2023-04-03,6.83
2023-04-10,6.32
2023-04-17,10.04
2023-04-24,6.83
2023-05-01,8.63
2023-05-08,9.24
2023-05-15,7.13
2023-05-22,6.63
2023-05-29,7.93
2023-06-05,5.42
2023-06-12,6.02
2023-06-19,4.42
2023-06-26,3.51
2023-07-03,4.42
2023-07-10,3.61
2023-07-17,3.91
2023-07-24,3.81
2023-07-31,4.32
2023-08-07,3.4
2023-08-14,4.0
2023-08-21,6.66
2023-08-28,7.4
2023-09-04,3.92
2023-09-11,3.85
2023-09-18,4.37
2023-09-25,4.51
2023-10-02,4.96
2023-10-09,5.25
2023-10-16,4.22
2023-10-23,4.74
2023-10-30,4.96
2023-11-06,7.1
2023-11-13,4.51
2023-11-20,4.74
2023-11-27,3.85
2023-12-04,4.74
2023-12-11,4.51
2023-12-18,4.29
2023-12-25,3.26
2024-01-01,2.44
2024-01-08,2.74
2024-01-15,3.26
2024-01-22,3.18
2024-01-29,3.48
2024-02-05,3.63
2024-02-12,3.54
2024-02-19,8.86
2024-02-26,4.69
2024-03-04,4.16
2024-03-11,3.9
2024-03-18,3.72
2024-03-25,3.81
2024-04-01,3.54
2024-04-08,3.63
2024-04-15,4.34
2024-04-22,4.25
2024-04-29,4.34
2024-05-06,4.52
2024-05-13,4.52
2024-05-20,3.72
2024-05-27,3.9
2024-06-03,3.28
2024-06-10,3.19
2024-06-17,3.01
2024-06-24,2.39
2024-07-01,2.48
2024-07-08,3.01
2024-07-15,3.28
2024-07-22,2.57
2024-07-29,3.19
2024-08-05,40.1
2024-08-12,19.25
2024-08-19,4.41
2024-08-26,3.61
2024-09-02,3.61
2024-09-09,4.41
2024-09-16,4.81
2024-09-23,5.21
2024-09-30,4.01
2024-10-07,3.61
2024-10-14,3.21
2024-10-21,3.61
2024-10-28,3.61
2024-11-04,3.61
2024-11-11,5.21
2024-11-18,4.81
2024-11-25,4.41
2024-12-02,3.21
2024-12-09,3.61
2024-12-16,3.61
2024-12-23,3.21
2024-12-30,2.41
2025-01-06,2.41
2025-01-13,2.81
2025-01-20,3.21
2025-01-27,2.81
2025-02-03,5.52
2025-02-10,3.31
2025-02-17,3.87
2025-02-24,4.97
2025-03-03,6.63
2025-03-10,47.51
2025-03-17,55.25
2025-03-24,9.94
2025-03-31,8.84
2025-04-07,40.88
2025-04-14,24.86
2025-04-21,8.84
2025-04-28,8.84
2025-05-05,13.26
2025-05-12,7.18
2025-05-19,5.52
2025-05-26,4.42
2025-06-02,3.87
2025-06-09,6.08
2025-06-16,3.87
2025-06-23,3.31
2025-06-30,3.31
2025-07-07,3.31
2025-07-14,3.31
2025-07-21,4.42
2025-07-28,3.87
2025-08-04,4.97
2025-08-11,4.81
2025-08-18,4.2
2025-08-25,3.36
2025-09-01,4.05
2025-09-08,5.27
2025-09-15,5.04
2025-09-22,5.42
2025-09-29,4.43
2025-10-06,4.73
2025-10-13,4.81
2025-10-20,4.35
2025-10-27,5.04
2025-11-03,5.42
2025-11-10,5.42
2025-11-17,5.34
2025-11-24,7.63
2025-12-01,4.35
2025-12-08,4.88
2025-12-15,4.66
2025-12-22,4.58
2025-12-29,3.13
2026-01-05,3.28
2026-01-12,3.89
2026-01-19,4.35
