date,score
2020-01-06,0.0
2020-01-13,0.0
2020-01-20,0.0
2020-01-27,8.03
2020-02-03,7.21
2020-02-10,8.52
2020-02-17,6.88
2020-02-24,8.19
2020-03-02,13.76
2020-03-09,9.18
2020-03-16,13.6
2020-03-23,11.63
2020-03-30,7.21
2020-04-06,9.67
2020-04-13,7.54
2020-04-20,10.16
2020-04-27,11.47
2020-05-04,16.39
2020-05-11,10.16
2020-05-18,6.88
2020-05-25,4.75
2020-06-01,5.08
2020-06-08,4.26
2020-06-15,7.37
2020-06-22,6.55
2020-06-29,4.92
2020-07-06,6.39
2020-07-13,4.75
2020-07-20,4.75
2020-07-27,3.93
2020-08-03,3.9
2020-08-10,4.91
2020-08-17,4.28
2020-08-24,4.91
2020-08-31,5.41
2020-09-07,6.55
2020-09-14,12.21
2020-09-21,12.59
2020-09-28,11.71
2020-10-05,10.32
2020-10-12,8.94
2020-10-19,6.17
2020-10-26,6.92
2020-11-02,6.67
2020-11-09,7.43
2020-11-16,6.29
2020-11-23,6.17
2020-11-30,3.65
2020-12-07,4.03
2020-12-14,4.66
2020-12-21,4.91
2020-12-28,0.0
2021-01-04,0.0
2021-01-11,5.29
2021-01-18,5.66
2021-01-25,9.32
2021-02-01,6.92
2021-02-08,25.38
2021-02-15,34.81
2021-02-22,11.6
2021-03-01,26.83
2021-03-08,20.3
2021-03-15,11.6
2021-03-22,15.23
2021-03-29,39.16
2021-04-05,27.55
2021-04-12,48.58
2021-04-19,35.53
2021-04-26,39.88
2021-05-03,72.51
2021-05-10,65.99
2021-05-17,61.64
2021-05-24,57.28
2021-05-31,57.28
2021-06-07,60.91
2021-06-14,55.11
2021-06-21,55.11
2021-06-28,52.93
2021-07-05,47.86
2021-07-12,51.48
2021-07-19,51.48
2021-07-26,56.56
2021-08-02,60.18
2021-08-09,48.0
2021-08-16,44.0
2021-08-23,61.0
2021-08-30,47.0
2021-09-06,100.0
2021-09-13,69.0
2021-09-20,53.0
2021-09-27,51.0
2021-10-04,48.0
2021-10-11,43.0
2021-10-18,52.0
2021-10-25,38.0
2021-11-01,33.0
2021-11-08,37.0
2021-11-15,33.0
2021-11-22,35.0
2021-11-29,33.0
2021-12-06,27.0
2021-12-13,29.0
2021-12-20,33.0
2021-12-27,23.0
2022-01-03,26.0
2022-01-10,38.0
2022-01-17,28.0
2022-01-24,28.0
2022-01-31,43.0
2022-02-07,38.47
2022-02-14,43.23
2022-02-21,34.58
2022-02-28,27.67
2022-03-07,23.78
2022-03-14,24.21
2022-03-21,23.78
2022-03-28,24.21
2022-04-04,20.75
2022-04-11,22.05
2022-04-18,20.32
2022-04-25,17.72
2022-05-02,17.29
2022-05-09,20.75
2022-05-16,19.45
2022-05-23,15.56
2022-05-30,17.29
2022-06-06,16.0
2022-06-13,14.7
2022-06-20,16.43
2022-06-27,14.7
2022-07-04,13.83
2022-07-11,16.0
2022-07-18,15.56
2022-07-25,14.27
2022-08-01,15.13
2022-08-08,13.97
2022-08-15,13.56
2022-08-22,11.33
2022-08-29,12.75
2022-09-05,11.94
2022-09-12,12.95
2022-09-19,14.37
2022-09-26,14.37
2022-10-03,13.16
2022-10-10,11.13
2022-10-17,11.33
2022-10-24,11.54
2022-10-31,20.24
2022-11-07,16.6
2022-11-14,10.12
2022-11-21,9.11
2022-11-28,8.5
2022-12-05,7.49
2022-12-12,9.11
2022-12-19,9.72
2022-12-26,8.3
2023-01-02,7.08
2023-01-09,5.87
2023-01-16,7.49
2023-01-23,9.31
2023-01-30,13.36
2023-02-06,17.55
2023-02-13,13.69
2023-02-20,13.69
2023-02-27,12.46
2023-03-06,12.28
2023-03-13,10.7
2023-03-20,7.37
2023-03-27,7.54
2023-04-03,7.72
2023-04-10,7.9
2023-04-17,8.95
2023-04-24,8.42
2023-05-01,7.54
2023-05-08,7.02
2023-05-15,6.14
2023-05-22,6.49
2023-05-29,5.26
2023-06-05,6.14
2023-06-12,5.26
2023-06-19,6.32
2023-06-26,5.26
2023-07-03,6.32
2023-07-10,4.91
2023-07-17,4.39
2023-07-24,4.21
2023-07-31,4.04
2023-08-07,4.38
2023-08-14,6.32
2023-08-21,5.03
2023-08-28,7.46
2023-09-04,6.65
2023-09-11,11.19
2023-09-18,16.21
2023-09-25,14.59
2023-10-02,14.43
2023-10-09,10.21
2023-10-16,10.54
2023-10-23,8.92
2023-10-30,10.05
2023-11-06,9.89
2023-11-13,7.94
2023-11-20,7.78
2023-11-27,8.11
2023-12-04,5.19
2023-12-11,7.78
2023-12-18,8.43
2023-12-25,6.0
2024-01-01,3.89
2024-01-08,4.38
2024-01-15,5.35
2024-01-22,7.46
2024-01-29,12.81
2024-02-05,14.73
2024-02-12,15.84
2024-02-19,14.73
2024-02-26,14.41
2024-03-04,12.99
2024-03-11,12.19
2024-03-18,11.09
2024-03-25,11.88
2024-04-01,8.55
2024-04-08,9.03
2024-04-15,8.24
2024-04-22,8.08
2024-04-29,8.71
2024-05-06,8.55
2024-05-13,7.92
2024-05-20,6.97
2024-05-27,5.38
2024-06-03,6.34
2024-06-10,5.38
2024-06-17,6.02
2024-06-24,5.54
2024-07-01,4.28
2024-07-08,4.75
2024-07-15,3.96
2024-07-22,0.0
2024-07-29,4.12
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,6.69
2024-08-26,6.69
2024-09-02,8.26
2024-09-09,11.6
2024-09-16,13.37
2024-09-23,14.94
2024-09-30,15.14
2024-10-07,19.66
2024-10-14,10.62
2024-10-21,10.23
2024-10-28,10.62
2024-11-04,6.88
2024-11-11,6.49
2024-11-18,8.06
2024-11-25,5.9
