date,score
2020-01-06,6.0
2020-01-13,6.0
2020-01-20,5.0
2020-01-27,6.0
2020-02-03,5.0
2020-02-10,5.0
2020-02-17,5.0
2020-02-24,5.0
2020-03-02,5.0
2020-03-09,5.0
2020-03-16,24.0
2020-03-23,61.0
2020-03-30,92.0
2020-04-06,94.0
2020-04-13,100.0
2020-04-20,94.0
2020-04-27,86.0
2020-05-04,75.0
2020-05-11,72.0
2020-05-18,69.0
2020-05-25,60.0
2020-06-01,65.0
2020-06-08,57.0
2020-06-15,56.0
2020-06-22,57.0
2020-06-29,59.0
2020-07-06,62.0
2020-07-13,60.0
2020-07-20,59.0
2020-07-27,58.0
2020-08-03,54.58
2020-08-10,64.98
2020-08-17,48.74
2020-08-24,43.54
2020-08-31,51.98
2020-09-07,41.59
2020-09-14,42.24
2020-09-21,40.29
2020-09-28,38.34
2020-10-05,35.74
2020-10-12,33.79
2020-10-19,35.09
2020-10-26,31.19
2020-11-02,30.54
2020-11-09,29.24
2020-11-16,30.54
2020-11-23,31.84
2020-11-30,31.19
2020-12-07,33.79
2020-12-14,32.49
2020-12-21,48.74
2020-12-28,55.88
2021-01-04,50.04
2021-01-11,43.54
2021-01-18,40.94
2021-01-25,46.14
2021-02-01,42.89
2021-02-08,37.68
2021-02-15,34.67
2021-02-22,36.68
2021-03-01,36.18
2021-03-08,40.2
2021-03-15,41.2
2021-03-22,38.19
2021-03-29,33.66
2021-04-05,32.66
2021-04-12,31.65
2021-04-19,32.16
2021-04-26,34.67
2021-05-03,30.65
2021-05-10,32.66
2021-05-17,33.16
2021-05-24,30.65
2021-05-31,28.64
2021-06-07,28.64
2021-06-14,28.14
2021-06-21,26.63
2021-06-28,25.62
2021-07-05,25.12
2021-07-12,26.13
2021-07-19,22.61
2021-07-26,22.61
2021-08-02,22.11
2021-08-09,22.36
2021-08-16,21.31
2021-08-23,20.52
2021-08-30,21.58
2021-09-06,22.36
2021-09-13,20.0
2021-09-20,13.68
2021-09-27,11.31
2021-10-04,10.26
2021-10-11,8.68
2021-10-18,8.68
2021-10-25,7.89
2021-11-01,7.63
2021-11-08,7.89
2021-11-15,7.37
2021-11-22,7.1
2021-11-29,7.37
2021-12-06,7.1
2021-12-13,7.63
2021-12-20,7.1
2021-12-27,7.37
2022-01-03,8.42
2022-01-10,8.95
2022-01-17,8.16
2022-01-24,9.74
2022-01-31,9.21
2022-02-07,8.68
2022-02-14,7.41
2022-02-21,6.73
2022-02-28,7.02
2022-03-07,6.83
2022-03-14,6.15
2022-03-21,6.24
2022-03-28,5.36
2022-04-04,5.85
2022-04-11,5.85
2022-04-18,6.93
2022-04-25,5.17
2022-05-02,4.88
2022-05-09,4.78
2022-05-16,4.49
2022-05-23,4.97
2022-05-30,4.29
2022-06-06,4.97
2022-06-13,4.78
2022-06-20,4.78
2022-06-27,5.85
2022-07-04,4.88
2022-07-11,5.85
2022-07-18,5.75
2022-07-25,5.46
2022-08-01,5.46
2022-08-08,5.17
2022-08-15,4.77
2022-08-22,4.57
2022-08-29,4.71
2022-09-05,4.11
2022-09-12,4.31
2022-09-19,4.44
2022-09-26,4.24
2022-10-03,4.84
2022-10-10,4.57
2022-10-17,4.71
2022-10-24,4.64
2022-10-31,4.51
2022-11-07,4.91
2022-11-14,5.24
2022-11-21,4.97
2022-11-28,5.04
2022-12-05,5.37
2022-12-12,5.64
2022-12-19,5.7
2022-12-26,4.84
2023-01-02,5.17
2023-01-09,6.63
2023-01-16,5.24
2023-01-23,6.17
2023-01-30,6.1
2023-02-06,6.17
2023-02-13,5.57
2023-02-20,4.91
2023-02-27,5.83
2023-03-06,5.57
2023-03-13,4.97
2023-03-20,5.3
2023-03-27,5.24
2023-04-03,5.3
2023-04-10,5.7
2023-04-17,5.83
2023-04-24,5.17
2023-05-01,5.17
2023-05-08,5.04
2023-05-15,5.17
2023-05-22,5.24
2023-05-29,4.31
2023-06-05,5.3
2023-06-12,5.7
2023-06-19,5.04
2023-06-26,5.57
2023-07-03,4.97
2023-07-10,5.97
2023-07-17,5.7
2023-07-24,5.57
2023-07-31,5.3
2023-08-07,5.61
2023-08-14,5.28
2023-08-21,5.08
2023-08-28,5.14
2023-09-04,3.89
2023-09-11,5.08
2023-09-18,4.75
2023-09-25,4.88
2023-10-02,5.28
2023-10-09,4.42
2023-10-16,4.88
2023-10-23,5.21
2023-10-30,5.34
2023-11-06,5.34
2023-11-13,5.21
2023-11-20,5.61
2023-11-27,5.61
2023-12-04,5.8
2023-12-11,5.61
2023-12-18,5.47
2023-12-25,4.55
2024-01-01,5.08
2024-01-08,6.53
2024-01-15,5.08
2024-01-22,6.59
2024-01-29,6.07
2024-02-05,5.67
2024-02-12,4.88
2024-02-19,4.68
2024-02-26,5.28
2024-03-04,5.34
2024-03-11,4.95
2024-03-18,5.14
2024-03-25,4.95
2024-04-01,5.47
2024-04-08,4.62
2024-04-15,5.21
2024-04-22,5.08
2024-04-29,4.95
2024-05-06,4.62
2024-05-13,4.68
2024-05-20,4.55
2024-05-27,3.82
2024-06-03,4.88
2024-06-10,4.68
2024-06-17,5.08
2024-06-24,5.01
2024-07-01,5.74
2024-07-08,5.34
2024-07-15,5.47
2024-07-22,5.08
2024-07-29,5.21
2024-08-05,5.32
2024-08-12,4.87
2024-08-19,4.56
2024-08-26,4.62
2024-09-02,3.74
2024-09-09,4.56
2024-09-16,4.56
2024-09-23,4.49
2024-09-30,4.3
2024-10-07,4.68
2024-10-14,4.24
2024-10-21,4.94
2024-10-28,4.87
2024-11-04,4.87
2024-11-11,4.05
2024-11-18,5.06
2024-11-25,4.62
2024-12-02,5.13
2024-12-09,4.94
2024-12-16,5.06
2024-12-23,4.94
2024-12-30,5.38
2025-01-06,5.82
2025-01-13,6.33
2025-01-20,4.75
2025-01-27,5.57
2025-02-03,5.25
2025-02-10,5.06
2025-02-17,4.87
2025-02-24,5.76
2025-03-03,5.19
2025-03-10,5.19
2025-03-17,4.94
2025-03-24,4.49
2025-03-31,4.62
2025-04-07,4.94
2025-04-14,5.0
2025-04-21,4.68
2025-04-28,4.62
2025-05-05,4.81
2025-05-12,4.62
2025-05-19,4.56
2025-05-26,3.48
2025-06-02,4.94
2025-06-09,4.87
2025-06-16,4.68
2025-06-23,4.87
2025-06-30,4.81
2025-07-07,5.7
2025-07-14,5.38
2025-07-21,5.51
2025-07-28,5.13
2025-08-04,5.01
2025-08-11,5.01
2025-08-18,4.63
2025-08-25,4.44
2025-09-01,3.3
2025-09-08,4.76
2025-09-15,4.25
2025-09-22,4.44
2025-09-29,4.63
2025-10-06,4.63
2025-10-13,4.63
2025-10-20,5.33
2025-10-27,4.82
2025-11-03,5.27
2025-11-10,4.76
2025-11-17,5.01
2025-11-24,5.01
2025-12-01,5.77
2025-12-08,5.77
2025-12-15,5.71
2025-12-22,5.65
2025-12-29,6.22
2026-01-05,6.34
2026-01-12,5.96
2026-01-19,5.52
2026-01-26,6.28
2026-02-02,6.51
2026-02-09,5.86
2026-02-16,5.47
2026-02-23,5.99
2026-03-02,6.06
2026-03-09,5.54
2026-03-16,4.75
2026-03-23,5.08
2026-03-30,4.88
2026-04-06,5.34
2026-04-13,5.01
2026-04-20,5.6
2026-04-27,4.56
2026-05-04,4.49
