date,views,score
2018-01-01,4,0.12
2018-01-08,17,0.52
2018-01-15,28,0.86
2018-01-22,27,0.83
2018-01-29,27,0.83
2018-02-05,15,0.46
2018-02-12,14,0.43
2018-02-19,27,0.83
2018-02-26,24,0.74
2018-03-05,17,0.52
2018-03-12,24,0.74
2018-03-19,15,0.46
2018-03-26,10,0.31
2018-04-02,18,0.55
2018-04-09,17,0.52
2018-04-16,7,0.22
2018-04-23,14,0.43
2018-04-30,25,0.77
2018-05-07,14,0.43
2018-05-14,26,0.8
2018-05-21,17,0.52
2018-05-28,18,0.55
2018-06-04,19,0.58
2018-06-11,21,0.65
2018-06-18,13,0.4
2018-06-25,12,0.37
2018-07-02,13,0.4
2018-07-09,13,0.4
2018-07-16,17,0.52
2018-07-23,11,0.34
2018-07-30,18,0.55
2018-08-06,16,0.49
2018-08-13,22,0.68
2018-08-20,19,0.58
2018-08-27,20,0.62
2018-09-03,16,0.49
2018-09-10,16,0.49
2018-09-17,12,0.37
2018-09-24,20,0.62
2018-10-01,15,0.46
2018-10-08,16,0.49
2018-10-15,10,0.31
2018-10-22,10,0.31
2018-10-29,21,0.65
2018-11-05,15,0.46
2018-11-12,18,0.55
2018-11-19,15,0.46
2018-11-26,12,0.37
2018-12-03,13,0.4
2018-12-10,24,0.74
2018-12-17,21,0.65
2018-12-24,10,0.31
2018-12-31,16,0.49
2019-01-07,21,0.65
2019-01-14,11,0.34
2019-01-21,12,0.37
2019-01-28,29,0.89
2019-02-04,16,0.49
2019-02-11,15,0.46
2019-02-18,15,0.46
2019-02-25,13,0.4
2019-03-04,11,0.34
2019-03-11,21,0.65
2019-03-18,15,0.46
2019-03-25,19,0.58
2019-04-01,20,0.62
2019-04-08,16,0.49
2019-04-15,14,0.43
2019-04-22,15,0.46
2019-04-29,22,0.68
2019-05-06,11,0.34
2019-05-13,7,0.22
2019-05-20,12,0.37
2019-05-27,16,0.49
2019-06-03,12,0.37
2019-06-10,9,0.28
2019-06-17,14,0.43
2019-06-24,12,0.37
2019-07-01,12,0.37
2019-07-08,8,0.25
2019-07-15,12,0.37
2019-07-22,18,0.55
2019-07-29,6,0.18
2019-08-05,11,0.34
2019-08-12,10,0.31
2019-08-19,9,0.28
2019-08-26,20,0.62
2019-09-02,13,0.4
2019-09-09,17,0.52
2019-09-16,14,0.43
2019-09-23,11,0.34
2019-09-30,16,0.49
2019-10-07,18,0.55
2019-10-14,16,0.49
2019-10-21,17,0.52
2019-10-28,19,0.58
2019-11-04,5,0.15
2019-11-11,19,0.58
2019-11-18,21,0.65
2019-11-25,13,0.4
2019-12-02,21,0.65
2019-12-09,23,0.71
2019-12-16,9,0.28
2019-12-23,14,0.43
2019-12-30,8,0.25
2020-01-06,13,0.4
