date,views,score
2018-01-01,704,0.06
2018-01-08,7132,0.57
2018-01-15,7452,0.59
2018-01-22,8039,0.64
2018-01-29,7673,0.61
2018-02-05,8146,0.65
2018-02-12,9487,0.75
2018-02-19,7167,0.57
2018-02-26,7756,0.62
2018-03-05,7891,0.63
2018-03-12,8269,0.66
2018-03-19,8178,0.65
2018-03-26,7612,0.6
2018-04-02,7611,0.6
2018-04-09,7732,0.61
2018-04-16,7854,0.62
2018-04-23,8060,0.64
2018-04-30,7689,0.61
2018-05-07,7713,0.61
2018-05-14,8162,0.65
2018-05-21,7576,0.6
2018-05-28,6860,0.54
2018-06-04,6554,0.52
2018-06-11,6253,0.5
2018-06-18,6080,0.48
2018-06-25,5967,0.47
2018-07-02,5844,0.46
2018-07-09,5342,0.42
2018-07-16,5892,0.47
2018-07-23,5963,0.47
2018-07-30,6337,0.5
2018-08-06,6342,0.5
2018-08-13,6653,0.53
2018-08-20,6399,0.51
2018-08-27,6296,0.5
2018-09-03,6110,0.48
2018-09-10,7076,0.56
2018-09-17,9135,0.72
2018-09-24,7700,0.61
2018-10-01,7186,0.57
2018-10-08,7739,0.61
2018-10-15,8042,0.64
2018-10-22,7564,0.6
2018-10-29,7902,0.63
2018-11-05,7698,0.61
2018-11-12,7905,0.63
2018-11-19,8893,0.71
2018-11-26,8643,0.69
2018-12-03,9480,0.75
2018-12-10,10169,0.81
2018-12-17,10532,0.84
2018-12-24,10969,0.87
2018-12-31,11678,0.93
2019-01-07,7721,0.61
2019-01-14,10397,0.83
2019-01-21,8152,0.65
2019-01-28,7646,0.61
2019-02-04,7024,0.56
2019-02-11,7701,0.61
2019-02-18,7333,0.58
2019-02-25,7416,0.59
2019-03-04,7649,0.61
2019-03-11,7745,0.61
2019-03-18,7390,0.59
2019-03-25,7785,0.62
2019-04-01,8177,0.65
2019-04-08,8301,0.66
2019-04-15,7950,0.63
2019-04-22,7434,0.59
2019-04-29,8210,0.65
2019-05-06,7696,0.61
2019-05-13,8667,0.69
2019-05-20,7606,0.6
2019-05-27,7135,0.57
2019-06-03,6517,0.52
2019-06-10,6058,0.48
2019-06-17,6602,0.52
2019-06-24,6239,0.5
2019-07-01,6015,0.48
2019-07-08,6063,0.48
2019-07-15,6634,0.53
2019-07-22,6628,0.53
2019-07-29,8334,0.66
2019-08-05,6810,0.54
2019-08-12,9493,0.75
2019-08-19,11129,0.88
2019-08-26,8706,0.69
2019-09-02,8216,0.65
2019-09-09,7788,0.62
2019-09-16,9140,0.73
2019-09-23,8154,0.65
2019-09-30,9737,0.77
2019-10-07,8220,0.65
2019-10-14,8346,0.66
2019-10-21,10210,0.81
2019-10-28,8791,0.7
2019-11-04,9251,0.73
2019-11-11,9800,0.78
2019-11-18,8972,0.71
2019-11-25,10192,0.81
2019-12-02,10121,0.8
2019-12-09,9856,0.78
2019-12-16,10241,0.81
2019-12-23,9509,0.75
2019-12-30,13700,1.09
2020-01-06,7430,0.59
2020-01-13,8140,0.65
2020-01-20,8127,0.64
2020-01-27,7920,0.63
2020-02-03,7869,0.62
2020-02-10,8369,0.66
2020-02-17,8749,0.69
2020-02-24,8496,0.67
2020-03-02,10192,0.81
2020-03-09,11640,0.92
2020-03-16,22515,1.79
2020-03-23,23888,1.9
2020-03-30,16507,1.31
2020-04-06,16919,1.34
2020-04-13,13697,1.09
2020-04-20,13832,1.1
2020-04-27,12165,0.97
2020-05-04,11529,0.91
2020-05-11,11077,0.88
2020-05-18,10240,0.81
2020-05-25,8114,0.64
2020-06-01,9460,0.75
2020-06-08,7503,0.6
2020-06-15,7263,0.58
2020-06-22,6333,0.5
2020-06-29,5858,0.46
2020-07-06,6015,0.48
