date,views,score
2018-01-01,82441,10.47
2018-01-08,787469,100.0
2018-01-15,760202,96.54
2018-01-22,611582,77.66
2018-01-29,442177,56.15
2018-02-05,436121,55.38
2018-02-12,387765,49.24
2018-02-19,303128,38.49
2018-02-26,252436,32.06
2018-03-05,222528,28.26
2018-03-12,209344,26.58
2018-03-19,213887,27.16
2018-03-26,240285,30.51
2018-04-02,186663,23.7
2018-04-09,193389,24.56
2018-04-16,163920,20.82
2018-04-23,184693,23.45
2018-04-30,161547,20.51
2018-05-07,136988,17.4
2018-05-14,149254,18.95
2018-05-21,153327,19.47
2018-05-28,141117,17.92
2018-06-04,135358,17.19
2018-06-11,225179,28.6
2018-06-18,150797,19.15
2018-06-25,150361,19.09
2018-07-02,146869,18.65
2018-07-09,118492,15.05
2018-07-16,122270,15.53
2018-07-23,121362,15.41
2018-07-30,129537,16.45
2018-08-06,125410,15.93
2018-08-13,122174,15.51
2018-08-20,125954,15.99
2018-08-27,126478,16.06
2018-09-03,131748,16.73
2018-09-10,129581,16.46
2018-09-17,125954,15.99
2018-09-24,132085,16.77
2018-10-01,108763,13.81
2018-10-08,94454,11.99
2018-10-15,98876,12.56
2018-10-22,98664,12.53
2018-10-29,96268,12.22
2018-11-05,107373,13.64
2018-11-12,107254,13.62
2018-11-19,105517,13.4
2018-11-26,111913,14.21
2018-12-03,115604,14.68
2018-12-10,105533,13.4
2018-12-17,100265,12.73
2018-12-24,86185,10.94
2018-12-31,92038,11.69
2019-01-07,108545,13.78
2019-01-14,100504,12.76
2019-01-21,81156,10.31
2019-01-28,81307,10.33
2019-02-04,85315,10.83
2019-02-11,105743,13.43
2019-02-18,86143,10.94
2019-02-25,90724,11.52
2019-03-04,87884,11.16
2019-03-11,84900,10.78
2019-03-18,78894,10.02
2019-03-25,71473,9.08
2019-04-01,73265,9.3
2019-04-08,93374,11.86
2019-04-15,81593,10.36
2019-04-22,74636,9.48
2019-04-29,73775,9.37
2019-05-06,77190,9.8
2019-05-13,77395,9.83
2019-05-20,90951,11.55
2019-05-27,84181,10.69
2019-06-03,83566,10.61
2019-06-10,70192,8.91
2019-06-17,77993,9.9
2019-06-24,111516,14.16
2019-07-01,104354,13.25
2019-07-08,85480,10.86
2019-07-15,94589,12.01
2019-07-22,84208,10.69
2019-07-29,80561,10.23
2019-08-05,77445,9.83
2019-08-12,72672,9.23
2019-08-19,70457,8.95
2019-08-26,71969,9.14
2019-09-02,72399,9.19
2019-09-09,70663,8.97
2019-09-16,71838,9.12
2019-09-23,71227,9.05
2019-09-30,74361,9.44
2019-10-07,72284,9.18
2019-10-14,72916,9.26
2019-10-21,72954,9.26
2019-10-28,80392,10.21
2019-11-04,80618,10.24
2019-11-11,81337,10.33
2019-11-18,74766,9.49
2019-11-25,72479,9.2
2019-12-02,77408,9.83
2019-12-09,76403,9.7
2019-12-16,67288,8.54
2019-12-23,65151,8.27
2019-12-30,93682,11.9
2020-01-06,111817,14.2
2020-01-13,159104,20.2
2020-01-20,98685,12.53
2020-01-27,63210,8.03
2020-02-03,59929,7.61
2020-02-10,60498,7.68
2020-02-17,64643,8.21
