date,views,score
2018-01-01,117,4.5
2018-01-08,1137,43.73
2018-01-15,1349,51.88
2018-01-22,1473,56.65
2018-01-29,1461,56.19
2018-02-05,1608,61.85
2018-02-12,1415,54.42
2018-02-19,1423,54.73
2018-02-26,1572,60.46
2018-03-05,1834,70.54
2018-03-12,1427,54.88
2018-03-19,1560,60.0
2018-03-26,1707,65.65
2018-04-02,1419,54.58
2018-04-09,1480,56.92
2018-04-16,1478,56.85
2018-04-23,1444,55.54
2018-04-30,1562,60.08
2018-05-07,1479,56.88
2018-05-14,1435,55.19
2018-05-21,1337,51.42
2018-05-28,1251,48.12
2018-06-04,1302,50.08
2018-06-11,1373,52.81
2018-06-18,1133,43.58
2018-06-25,972,37.38
2018-07-02,1164,44.77
2018-07-09,1021,39.27
2018-07-16,1018,39.15
2018-07-23,1059,40.73
2018-07-30,1173,45.12
2018-08-06,1062,40.85
2018-08-13,1027,39.5
2018-08-20,1039,39.96
2018-08-27,1595,61.35
2018-09-03,2158,83.0
2018-09-10,1281,49.27
2018-09-17,1260,48.46
2018-09-24,1331,51.19
2018-10-01,1799,69.19
2018-10-08,1265,48.65
2018-10-15,1252,48.15
2018-10-22,1173,45.12
2018-10-29,1194,45.92
2018-11-05,1516,58.31
2018-11-12,1226,47.15
2018-11-19,1212,46.62
2018-11-26,1164,44.77
2018-12-03,1273,48.96
2018-12-10,1250,48.08
2018-12-17,1078,41.46
2018-12-24,879,33.81
2018-12-31,1009,38.81
2019-01-07,858,33.0
2019-01-14,1206,46.38
2019-01-21,1224,47.08
2019-01-28,1150,44.23
2019-02-04,1392,53.54
2019-02-11,1115,42.88
2019-02-18,1212,46.62
2019-02-25,1260,48.46
2019-03-04,1392,53.54
2019-03-11,1468,56.46
2019-03-18,1344,51.69
2019-03-25,1369,52.65
2019-04-01,1556,59.85
2019-04-08,1369,52.65
2019-04-15,1139,43.81
2019-04-22,1212,46.62
2019-04-29,1370,52.69
2019-05-06,1118,43.0
2019-05-13,1471,56.58
2019-05-20,1989,76.5
2019-05-27,1720,66.15
2019-06-03,1866,71.77
2019-06-10,1187,45.65
2019-06-17,1000,38.46
2019-06-24,864,33.23
2019-07-01,1783,68.58
2019-07-08,903,34.73
2019-07-15,1014,39.0
2019-07-22,1043,40.12
2019-07-29,890,34.23
2019-08-05,1113,42.81
2019-08-12,1025,39.42
2019-08-19,1420,54.62
2019-08-26,1385,53.27
2019-09-02,1894,72.85
2019-09-09,1384,53.23
2019-09-16,1304,50.15
2019-09-23,1341,51.58
2019-09-30,1820,70.0
2019-10-07,1545,59.42
2019-10-14,1704,65.54
2019-10-21,1637,62.96
2019-10-28,1520,58.46
2019-11-04,1957,75.27
2019-11-11,1550,59.62
2019-11-18,1975,75.96
2019-11-25,1857,71.42
2019-12-02,1982,76.23
2019-12-09,1960,75.38
2019-12-16,1412,54.31
2019-12-23,1116,42.92
2019-12-30,926,35.62
2020-01-06,1143,43.96
2020-01-13,1372,52.77
2020-01-20,1439,55.35
2020-01-27,1350,51.92
2020-02-03,1565,60.19
2020-02-10,1476,56.77
2020-02-17,1406,54.08
2020-02-24,1342,51.62
2020-03-02,1475,56.73
2020-03-09,1390,53.46
2020-03-16,1519,58.42
2020-03-23,1591,61.19
2020-03-30,2182,83.92
2020-04-06,2600,100.0
2020-04-13,2053,78.96
2020-04-20,1962,75.46
2020-04-27,1963,75.5
2020-05-04,1961,75.42
2020-05-11,1511,58.12
2020-05-18,1540,59.23
2020-05-25,1333,51.27
2020-06-01,1545,59.42
2020-06-08,1182,45.46
2020-06-15,1032,39.69
2020-06-22,1012,38.92
2020-06-29,993,38.19
2020-07-06,1292,49.69
2020-07-13,926,35.62
2020-07-20,891,34.27
2020-07-27,852,32.77
2020-08-03,1306,50.23
2020-08-10,910,35.0
2020-08-17,899,34.58
2020-08-24,851,32.73
2020-08-31,1416,54.46
2020-09-07,864,33.23
2020-09-14,1022,39.31
2020-09-21,917,35.27
2020-09-28,1041,40.04
2020-10-05,1078,41.46
2020-10-12,933,35.88
2020-10-19,1012,38.92
2020-10-26,935,35.96
2020-11-02,1160,44.62
2020-11-09,864,33.23
2020-11-16,970,37.31
2020-11-23,867,33.35
2020-11-30,993,38.19
2020-12-07,778,29.92
2020-12-14,766,29.46
2020-12-21,698,26.85
2020-12-28,568,21.85
2021-01-04,523,20.12
2021-01-11,615,23.65
2021-01-18,638,24.54
2021-01-25,703,27.04
2021-02-01,721,27.73
2021-02-08,720,27.69
2021-02-15,880,33.85
2021-02-22,900,34.62
2021-03-01,1031,39.65
2021-03-08,866,33.31
2021-03-15,950,36.54
2021-03-22,861,33.12
2021-03-29,1120,43.08
2021-04-05,1260,48.46
2021-04-12,1270,48.85
2021-04-19,777,29.88
2021-04-26,767,29.5
2021-05-03,970,37.31
2021-05-10,820,31.54
2021-05-17,710,27.31
2021-05-24,593,22.81
2021-05-31,783,30.12
2021-06-07,632,24.31
2021-06-14,628,24.15
2021-06-21,616,23.69
2021-06-28,522,20.08
2021-07-05,689,26.5
2021-07-12,495,19.04
2021-07-19,563,21.65
2021-07-26,436,16.77
2021-08-02,471,18.12
2021-08-09,460,17.69
2021-08-16,1041,40.04
2021-08-23,619,23.81
2021-08-30,547,21.04
2021-09-06,606,23.31
2021-09-13,501,19.27
2021-09-20,546,21.0
2021-09-27,491,18.88
2021-10-04,739,28.42
2021-10-11,621,23.88
2021-10-18,584,22.46
2021-10-25,582,22.38
2021-11-01,538,20.69
2021-11-08,511,19.65
2021-11-15,533,20.5
2021-11-22,580,22.31
2021-11-29,501,19.27
2021-12-06,511,19.65
2021-12-13,520,20.0
2021-12-20,516,19.85
2021-12-27,423,16.27
2022-01-03,352,13.54
2022-01-10,473,18.19
2022-01-17,455,17.5
2022-01-24,511,19.65
2022-01-31,597,22.96
2022-02-07,521,20.04
2022-02-14,692,26.62
2022-02-21,664,25.54
2022-02-28,576,22.15
2022-03-07,589,22.65
2022-03-14,575,22.12
2022-03-21,558,21.46
2022-03-28,625,24.04
2022-04-04,660,25.38
2022-04-11,576,22.15
2022-04-18,502,19.31
2022-04-25,593,22.81
2022-05-02,645,24.81
2022-05-09,528,20.31
2022-05-16,639,24.58
2022-05-23,571,21.96
2022-05-30,559,21.5
2022-06-06,641,24.65
2022-06-13,1296,49.85
2022-06-20,713,27.42
2022-06-27,599,23.04
2022-07-04,1172,45.08
2022-07-11,513,19.73
2022-07-18,719,27.65
2022-07-25,494,19.0
2022-08-01,990,38.08
2022-08-08,409,15.73
2022-08-15,599,23.04
2022-08-22,511,19.65
2022-08-29,474,18.23
2022-09-05,697,26.81
2022-09-12,429,16.5
2022-09-19,586,22.54
2022-09-26,549,21.12
2022-10-03,720,27.69
2022-10-10,439,16.88
2022-10-17,562,21.62
2022-10-24,536,20.62
2022-10-31,674,25.92
2022-11-07,452,17.38
2022-11-14,618,23.77
2022-11-21,442,17.0
2022-11-28,372,14.31
2022-12-05,566,21.77
2022-12-12,471,18.12
2022-12-19,524,20.15
2022-12-26,491,18.88
2023-01-02,295,11.35
2023-01-09,359,13.81
2023-01-16,432,16.62
2023-01-23,574,22.08
2023-01-30,969,37.27
2023-02-06,790,30.38
2023-02-13,540,20.77
2023-02-20,460,17.69
2023-02-27,620,23.85
2023-03-06,655,25.19
2023-03-13,456,17.54
2023-03-20,460,17.69
2023-03-27,481,18.5
2023-04-03,608,23.38
2023-04-10,440,16.92
2023-04-17,465,17.88
2023-04-24,472,18.15
2023-05-01,499,19.19
2023-05-08,406,15.62
2023-05-15,529,20.35
2023-05-22,345,13.27
2023-05-29,418,16.08
2023-06-05,491,18.88
2023-06-12,352,13.54
2023-06-19,405,15.58
2023-06-26,318,12.23
2023-07-03,408,15.69
2023-07-10,266,10.23
2023-07-17,312,12.0
2023-07-24,348,13.38
2023-07-31,510,19.62
2023-08-07,384,14.77
2023-08-14,376,14.46
2023-08-21,467,17.96
2023-08-28,504,19.38
2023-09-04,575,22.12
2023-09-11,471,18.12
2023-09-18,497,19.12
2023-09-25,435,16.73
2023-10-02,596,22.92
2023-10-09,393,15.12
2023-10-16,455,17.5
2023-10-23,421,16.19
2023-10-30,392,15.08
2023-11-06,463,17.81
2023-11-13,403,15.5
2023-11-20,393,15.12
2023-11-27,350,13.46
2023-12-04,415,15.96
2023-12-11,392,15.08
2023-12-18,347,13.35
2023-12-25,370,14.23
2024-01-01,246,9.46
2024-01-08,286,11.0
2024-01-15,348,13.38
2024-01-22,368,14.15
2024-01-29,402,15.46
2024-02-05,410,15.77
2024-02-12,309,11.88
2024-02-19,418,16.08
2024-02-26,406,15.62
2024-03-04,519,19.96
2024-03-11,496,19.08
2024-03-18,486,18.69
2024-03-25,449,17.27
2024-04-01,386,14.85
2024-04-08,373,14.35
2024-04-15,410,15.77
2024-04-22,426,16.38
2024-04-29,441,16.96
2024-05-06,524,20.15
2024-05-13,532,20.46
2024-05-20,392,15.08
2024-05-27,449,17.27
2024-06-03,563,21.65
2024-06-10,314,12.08
2024-06-17,440,16.92
2024-06-24,421,16.19
2024-07-01,462,17.77
2024-07-08,309,11.88
2024-07-15,420,16.15
2024-07-22,314,12.08
2024-07-29,411,15.81
2024-08-05,520,20.0
2024-08-12,477,18.35
2024-08-19,448,17.23
2024-08-26,380,14.62
2024-09-02,601,23.12
2024-09-09,489,18.81
2024-09-16,406,15.62
2024-09-23,325,12.5
2024-09-30,664,25.54
2024-10-07,302,11.62
2024-10-14,359,13.81
2024-10-21,347,13.35
2024-10-28,383,14.73
2024-11-04,487,18.73
2024-11-11,445,17.12
2024-11-18,455,17.5
2024-11-25,373,14.35
2024-12-02,417,16.04
2024-12-09,402,15.46
2024-12-16,375,14.42
2024-12-23,365,14.04
2024-12-30,295,11.35
2025-01-06,294,11.31
2025-01-13,378,14.54
2025-01-20,381,14.65
2025-01-27,385,14.81
2025-02-03,466,17.92
2025-02-10,336,12.92
2025-02-17,319,12.27
2025-02-24,455,17.5
2025-03-03,1189,45.73
2025-03-10,513,19.73
2025-03-17,685,26.35
2025-03-24,504,19.38
2025-03-31,755,29.04
2025-04-07,538,20.69
2025-04-14,694,26.69
2025-04-21,384,14.77
2025-04-28,492,18.92
2025-05-05,506,19.46
2025-05-12,372,14.31
2025-05-19,413,15.88
2025-05-26,348,13.38
2025-06-02,618,23.77
2025-06-09,307,11.81
2025-06-16,328,12.62
2025-06-23,261,10.04
2025-06-30,380,14.62
2025-07-07,264,10.15
2025-07-14,224,8.62
2025-07-21,257,9.88
2025-07-28,270,10.38
2025-08-04,321,12.35
2025-08-11,308,11.85
2025-08-18,284,10.92
2025-08-25,344,13.23
2025-09-01,374,14.38
2025-09-08,348,13.38
2025-09-15,282,10.85
2025-09-22,312,12.0
2025-09-29,334,12.85
2025-10-06,341,13.12
2025-10-13,294,11.31
2025-10-20,281,10.81
2025-10-27,358,13.77
2025-11-03,299,11.5
2025-11-10,350,13.46
2025-11-17,340,13.08
2025-11-24,369,14.19
2025-12-01,428,16.46
2025-12-08,346,13.31
2025-12-15,380,14.62
2025-12-22,364,14.0
2025-12-29,391,15.04
2026-01-05,275,10.58
2026-01-12,279,10.73
2026-01-19,303,11.65
2026-01-26,335,12.88
2026-02-02,478,18.38
2026-02-09,368,14.15
2026-02-16,311,11.96
2026-02-23,308,11.85
2026-03-02,364,14.0
2026-03-09,343,13.19
2026-03-16,267,10.27
2026-03-23,303,11.65
2026-03-30,316,12.15
2026-04-06,295,11.35
2026-04-13,376,14.46
2026-04-20,350,13.46
2026-04-27,379,14.58
2026-05-04,356,13.69
2026-05-11,94,3.62
