date,views,score
2018-01-01,273,0.56
2018-01-08,1929,3.94
2018-01-15,1882,3.84
2018-01-22,1904,3.89
2018-01-29,1935,3.95
2018-02-05,2991,6.11
2018-02-12,2017,4.12
2018-02-19,1799,3.67
2018-02-26,1658,3.39
2018-03-05,1906,3.89
2018-03-12,2256,4.61
2018-03-19,1594,3.25
2018-03-26,1570,3.21
2018-04-02,1646,3.36
2018-04-09,1463,2.99
2018-04-16,1564,3.19
2018-04-23,1576,3.22
2018-04-30,1415,2.89
2018-05-07,1500,3.06
2018-05-14,1515,3.09
2018-05-21,1301,2.66
2018-05-28,1529,3.12
2018-06-04,1704,3.48
2018-06-11,1324,2.7
2018-06-18,1200,2.45
2018-06-25,1200,2.45
2018-07-02,1163,2.37
2018-07-09,1262,2.58
2018-07-16,1521,3.11
2018-07-23,1106,2.26
2018-07-30,1296,2.65
2018-08-06,1315,2.68
2018-08-13,1259,2.57
2018-08-20,1343,2.74
2018-08-27,2173,4.44
2018-09-03,1859,3.8
2018-09-10,2093,4.27
2018-09-17,5677,11.59
2018-09-24,2927,5.98
2018-10-01,3219,6.57
2018-10-08,2594,5.3
2018-10-15,2834,5.79
2018-10-22,2473,5.05
2018-10-29,2092,4.27
2018-11-05,1951,3.98
2018-11-12,2029,4.14
2018-11-19,2513,5.13
2018-11-26,1820,3.72
2018-12-03,2037,4.16
2018-12-10,2070,4.23
2018-12-17,1865,3.81
2018-12-24,1323,2.7
2018-12-31,1177,2.4
2019-01-07,1350,2.76
2019-01-14,1538,3.14
2019-01-21,1408,2.87
2019-01-28,1506,3.07
2019-02-04,1640,3.35
2019-02-11,1941,3.96
2019-02-18,1665,3.4
2019-02-25,1825,3.73
2019-03-04,1795,3.66
2019-03-11,1685,3.44
2019-03-18,1766,3.61
2019-03-25,1641,3.35
2019-04-01,1662,3.39
2019-04-08,1666,3.4
2019-04-15,1670,3.41
2019-04-22,1486,3.03
2019-04-29,1613,3.29
2019-05-06,1680,3.43
2019-05-13,1654,3.38
2019-05-20,1486,3.03
2019-05-27,1337,2.73
2019-06-03,1596,3.26
2019-06-10,1405,2.87
2019-06-17,1436,2.93
2019-06-24,1229,2.51
2019-07-01,1243,2.54
2019-07-08,1327,2.71
2019-07-15,1471,3.0
2019-07-22,1224,2.5
2019-07-29,1679,3.43
2019-08-05,1166,2.38
2019-08-12,1065,2.17
2019-08-19,1037,2.12
2019-08-26,1810,3.7
2019-09-02,3423,6.99
2019-09-09,3090,6.31
2019-09-16,1807,3.69
2019-09-23,1870,3.82
2019-09-30,3464,7.07
2019-10-07,2188,4.47
2019-10-14,1630,3.33
2019-10-21,1461,2.98
2019-10-28,1779,3.63
2019-11-04,1511,3.08
2019-11-11,1430,2.92
2019-11-18,1554,3.17
2019-11-25,1382,2.82
2019-12-02,1389,2.84
2019-12-09,1466,2.99
2019-12-16,1416,2.89
2019-12-23,1140,2.33
2019-12-30,1074,2.19
2020-01-06,1430,2.92
2020-01-13,1534,3.13
2020-01-20,1356,2.77
2020-01-27,1649,3.37
2020-02-03,2617,5.34
2020-02-10,2130,4.35
2020-02-17,1968,4.02
2020-02-24,1759,3.59
2020-03-02,4627,9.45
2020-03-09,12261,25.03
2020-03-16,48980,100.0
2020-03-23,35907,73.31
2020-03-30,23938,48.87
2020-04-06,25814,52.7
2020-04-13,16252,33.18
2020-04-20,15273,31.18
2020-04-27,13292,27.14
2020-05-04,9397,19.19
2020-05-11,6613,13.5
2020-05-18,5473,11.17
2020-05-25,4015,8.2
2020-06-01,3578,7.31
2020-06-08,3075,6.28
2020-06-15,3165,6.46
2020-06-22,2691,5.49
2020-06-29,2442,4.99
2020-07-06,2416,4.93
2020-07-13,2426,4.95
2020-07-20,2477,5.06
2020-07-27,2208,4.51
2020-08-03,2319,4.73
2020-08-10,2217,4.53
2020-08-17,2526,5.16
2020-08-24,2425,4.95
2020-08-31,3751,7.66
2020-09-07,2672,5.46
2020-09-14,3053,6.23
2020-09-21,3421,6.98
2020-09-28,2660,5.43
2020-10-05,3036,6.2
2020-10-12,2562,5.23
2020-10-19,2189,4.47
2020-10-26,2283,4.66
2020-11-02,2174,4.44
2020-11-09,1896,3.87
2020-11-16,3727,7.61
2020-11-23,3371,6.88
2020-11-30,3369,6.88
2020-12-07,2965,6.05
2020-12-14,2898,5.92
2020-12-21,2578,5.26
2020-12-28,1759,3.59
2021-01-04,1693,3.46
2021-01-11,1713,3.5
2021-01-18,1866,3.81
2021-01-25,2063,4.21
2021-02-01,2143,4.38
2021-02-08,1900,3.88
2021-02-15,1788,3.65
2021-02-22,4576,9.34
2021-03-01,2936,5.99
2021-03-08,2217,4.53
2021-03-15,1830,3.74
2021-03-22,1763,3.6
2021-03-29,1608,3.28
2021-04-05,1507,3.08
2021-04-12,1808,3.69
2021-04-19,1718,3.51
2021-04-26,1705,3.48
2021-05-03,1644,3.36
2021-05-10,1657,3.38
2021-05-17,3683,7.52
2021-05-24,1649,3.37
2021-05-31,1672,3.41
2021-06-07,1490,3.04
2021-06-14,1474,3.01
2021-06-21,1367,2.79
2021-06-28,1363,2.78
2021-07-05,1482,3.03
2021-07-12,1238,2.53
2021-07-19,1266,2.58
2021-07-26,1111,2.27
2021-08-02,1088,2.22
2021-08-09,1068,2.18
2021-08-16,1238,2.53
2021-08-23,1161,2.37
2021-08-30,1270,2.59
2021-09-06,1397,2.85
2021-09-13,1435,2.93
2021-09-20,1371,2.8
2021-09-27,1516,3.1
2021-10-04,1369,2.8
2021-10-11,1232,2.52
2021-10-18,1424,2.91
2021-10-25,1396,2.85
2021-11-01,1462,2.98
2021-11-08,1321,2.7
2021-11-15,1189,2.43
2021-11-22,1629,3.33
2021-11-29,1397,2.85
2021-12-06,1298,2.65
2021-12-13,1538,3.14
2021-12-20,1374,2.81
2021-12-27,1172,2.39
2022-01-03,1373,2.8
2022-01-10,2002,4.09
2022-01-17,1691,3.45
2022-01-24,1506,3.07
2022-01-31,1517,3.1
2022-02-07,1713,3.5
2022-02-14,1812,3.7
2022-02-21,1873,3.82
2022-02-28,1432,2.92
2022-03-07,1825,3.73
2022-03-14,3158,6.45
2022-03-21,2088,4.26
2022-03-28,1748,3.57
2022-04-04,1663,3.4
2022-04-11,1740,3.55
2022-04-18,1703,3.48
2022-04-25,1539,3.14
2022-05-02,1272,2.6
2022-05-09,1340,2.74
2022-05-16,2231,4.55
2022-05-23,2723,5.56
2022-05-30,1757,3.59
2022-06-06,2102,4.29
2022-06-13,2593,5.29
2022-06-20,2286,4.67
2022-06-27,1835,3.75
2022-07-04,1418,2.9
2022-07-11,1397,2.85
