date,views,score
2018-01-01,844,2.73
2018-01-08,10543,34.11
2018-01-15,10541,34.11
2018-01-22,11137,36.04
2018-01-29,10725,34.7
2018-02-05,10626,34.38
2018-02-12,10380,33.59
2018-02-19,11516,37.26
2018-02-26,11476,37.13
2018-03-05,10432,33.75
2018-03-12,10373,33.56
2018-03-19,11045,35.74
2018-03-26,11688,37.82
2018-04-02,11857,38.36
2018-04-09,10658,34.49
2018-04-16,11510,37.24
2018-04-23,11334,36.67
2018-04-30,10415,33.7
2018-05-07,10122,32.75
2018-05-14,11095,35.9
2018-05-21,10204,33.02
2018-05-28,9774,31.62
2018-06-04,9427,30.5
2018-06-11,10572,34.21
2018-06-18,9122,29.52
2018-06-25,8905,28.81
2018-07-02,9588,31.02
2018-07-09,9809,31.74
2018-07-16,9807,31.73
2018-07-23,10068,32.58
2018-07-30,10925,35.35
2018-08-06,10135,32.79
2018-08-13,9778,31.64
2018-08-20,9973,32.27
2018-08-27,9928,32.12
2018-09-03,9673,31.3
2018-09-10,9706,31.4
2018-09-17,10079,32.61
2018-09-24,9823,31.78
2018-10-01,10552,34.14
2018-10-08,11023,35.67
2018-10-15,10835,35.06
2018-10-22,10823,35.02
2018-10-29,11145,36.06
2018-11-05,10536,34.09
2018-11-12,10456,33.83
2018-11-19,11024,35.67
2018-11-26,10636,34.41
2018-12-03,12051,38.99
2018-12-10,12626,40.85
2018-12-17,10809,34.97
2018-12-24,8652,27.99
2018-12-31,7418,24.0
2019-01-07,8962,29.0
2019-01-14,10006,32.38
2019-01-21,10062,32.56
2019-01-28,11200,36.24
2019-02-04,10890,35.24
2019-02-11,10803,34.95
2019-02-18,11206,36.26
2019-02-25,11011,35.63
2019-03-04,11095,35.9
2019-03-11,10946,35.42
2019-03-18,11285,36.51
2019-03-25,10391,33.62
2019-04-01,10105,32.7
2019-04-08,9691,31.36
2019-04-15,10464,33.86
2019-04-22,9625,31.14
2019-04-29,10135,32.79
2019-05-06,9965,32.24
2019-05-13,11249,36.4
2019-05-20,11146,36.06
2019-05-27,10180,32.94
2019-06-03,10303,33.34
2019-06-10,10319,33.39
2019-06-17,9894,32.01
2019-06-24,11587,37.49
2019-07-01,9558,30.93
2019-07-08,10538,34.1
2019-07-15,10144,32.82
2019-07-22,9600,31.06
2019-07-29,10980,35.53
2019-08-05,9227,29.86
2019-08-12,10052,32.52
2019-08-19,9978,32.28
2019-08-26,11732,37.96
2019-09-02,10410,33.68
2019-09-09,11192,36.21
2019-09-16,11060,35.79
2019-09-23,10543,34.11
2019-09-30,11395,36.87
2019-10-07,11650,37.69
2019-10-14,11195,36.22
2019-10-21,12886,41.69
2019-10-28,11790,38.15
2019-11-04,11521,37.28
2019-11-11,12447,40.27
2019-11-18,12193,39.45
2019-11-25,13749,44.49
2019-12-02,12643,40.91
2019-12-09,12091,39.12
2019-12-16,12657,40.95
2019-12-23,9566,30.95
2019-12-30,7930,25.66
2020-01-06,12521,40.51
2020-01-13,12930,41.84
2020-01-20,11921,38.57
2020-01-27,11234,36.35
2020-02-03,11867,38.4
2020-02-10,13082,42.33
2020-02-17,11945,38.65
2020-02-24,12320,39.86
2020-03-02,11300,36.56
2020-03-09,11397,36.88
2020-03-16,9370,30.32
2020-03-23,9819,31.77
2020-03-30,11120,35.98
2020-04-06,11513,37.25
2020-04-13,12369,40.02
2020-04-20,18289,59.18
2020-04-27,15224,49.26
2020-05-04,11865,38.39
2020-05-11,11417,36.94
2020-05-18,13381,43.3
2020-05-25,10301,33.33
2020-06-01,9786,31.66
2020-06-08,10890,35.24
2020-06-15,10846,35.09
2020-06-22,13469,43.58
2020-06-29,11368,36.78
2020-07-06,9141,29.58
2020-07-13,8106,26.23
2020-07-20,8595,27.81
2020-07-27,16017,51.82
2020-08-03,8611,27.86
2020-08-10,8873,28.71
2020-08-17,8293,26.83
2020-08-24,8260,26.73
2020-08-31,7895,25.55
2020-09-07,8914,28.84
2020-09-14,10907,35.29
2020-09-21,9905,32.05
2020-09-28,11168,36.14
2020-10-05,11662,37.73
2020-10-12,11999,38.82
2020-10-19,11946,38.65
2020-10-26,13210,42.74
2020-11-02,13403,43.37
2020-11-09,11246,36.39
2020-11-16,10723,34.7
2020-11-23,11146,36.06
2020-11-30,13028,42.15
2020-12-07,11756,38.04
2020-12-14,12999,42.06
2020-12-21,12704,41.11
2020-12-28,8001,25.89
2021-01-04,7410,23.98
2021-01-11,9926,32.12
2021-01-18,8746,28.3
2021-01-25,8673,28.06
2021-02-01,9446,30.56
2021-02-08,9268,29.99
2021-02-15,10168,32.9
2021-02-22,10178,32.93
2021-03-01,10711,34.66
2021-03-08,10342,33.46
2021-03-15,10642,34.43
2021-03-22,10240,33.13
2021-03-29,9509,30.77
2021-04-05,8315,26.9
2021-04-12,9186,29.72
2021-04-19,8963,29.0
2021-04-26,8851,28.64
2021-05-03,8730,28.25
2021-05-10,15592,50.45
2021-05-17,30906,100.0
2021-05-24,14225,46.03
2021-05-31,11180,36.17
2021-06-07,19577,63.34
2021-06-14,20408,66.03
2021-06-21,11537,37.33
2021-06-28,10375,33.57
2021-07-05,15177,49.11
2021-07-12,15225,49.26
2021-07-19,11273,36.48
2021-07-26,11171,36.15
2021-08-02,9288,30.05
2021-08-09,8345,27.0
2021-08-16,8808,28.5
2021-08-23,9658,31.25
2021-08-30,8604,27.84
2021-09-06,23971,77.56
2021-09-13,9095,29.43
2021-09-20,9534,30.85
2021-09-27,9893,32.01
2021-10-04,11837,38.3
2021-10-11,11416,36.94
2021-10-18,11206,36.26
2021-10-25,10584,34.25
2021-11-01,11021,35.66
2021-11-08,10153,32.85
2021-11-15,10364,33.53
2021-11-22,10271,33.23
2021-11-29,10329,33.42
2021-12-06,10204,33.02
2021-12-13,10731,34.72
2021-12-20,10673,34.53
2021-12-27,7258,23.48
2022-01-03,6737,21.8
2022-01-10,8413,27.22
2022-01-17,9523,30.81
2022-01-24,8965,29.01
2022-01-31,10032,32.46
2022-02-07,9042,29.26
2022-02-14,10166,32.89
2022-02-21,10703,34.63
2022-02-28,20009,64.74
2022-03-07,12475,40.36
2022-03-14,11494,37.19
2022-03-21,11029,35.69
2022-03-28,13820,44.72
2022-04-04,9580,31.0
2022-04-11,9959,32.22
2022-04-18,7829,25.33
2022-04-25,9753,31.56
2022-05-02,8845,28.62
2022-05-09,8449,27.34
2022-05-16,8514,27.55
2022-05-23,8490,27.47
2022-05-30,8053,26.06
2022-06-06,7868,25.46
2022-06-13,7178,23.23
2022-06-20,7085,22.92
2022-06-27,6906,22.35
2022-07-04,6394,20.69
2022-07-11,6311,20.42
2022-07-18,7002,22.66
2022-07-25,6758,21.87
2022-08-01,6216,20.11
2022-08-08,6201,20.06
2022-08-15,5674,18.36
2022-08-22,6305,20.4
2022-08-29,6646,21.5
2022-09-05,6318,20.44
2022-09-12,7471,24.17
2022-09-19,7740,25.04
2022-09-26,7937,25.68
2022-10-03,8314,26.9
2022-10-10,9088,29.41
2022-10-17,9597,31.05
2022-10-24,8672,28.06
2022-10-31,8413,27.22
2022-11-07,9549,30.9
2022-11-14,8729,28.24
2022-11-21,8977,29.05
2022-11-28,8441,27.31
2022-12-05,9567,30.96
2022-12-12,8602,27.83
2022-12-19,7734,25.02
2022-12-26,6208,20.09
2023-01-02,5455,17.65
2023-01-09,6456,20.89
2023-01-16,7363,23.82
2023-01-23,7356,23.8
2023-01-30,7850,25.4
2023-02-06,8366,27.07
2023-02-13,7906,25.58
2023-02-20,7331,23.72
2023-02-27,7686,24.87
2023-03-06,8348,27.01
2023-03-13,7340,23.75
2023-03-20,7106,22.99
2023-03-27,7141,23.11
2023-04-03,7213,23.34
2023-04-10,5881,19.03
2023-04-17,6229,20.15
2023-04-24,6719,21.74
2023-05-01,5855,18.94
2023-05-08,6747,21.83
2023-05-15,7688,24.88
2023-05-22,6776,21.92
2023-05-29,6333,20.49
2023-06-05,6279,20.32
2023-06-12,6488,20.99
2023-06-19,6816,22.05
2023-06-26,5929,19.18
2023-07-03,5126,16.59
2023-07-10,5196,16.81
2023-07-17,5426,17.56
2023-07-24,5158,16.69
2023-07-31,5584,18.07
2023-08-07,5441,17.6
2023-08-14,5780,18.7
2023-08-21,5333,17.26
2023-08-28,5762,18.64
2023-09-04,5741,18.58
2023-09-11,6181,20.0
2023-09-18,7284,23.57
2023-09-25,7042,22.79
2023-10-02,7920,25.63
2023-10-09,7580,24.53
2023-10-16,6910,22.36
2023-10-23,6473,20.94
2023-10-30,6884,22.27
2023-11-06,7246,23.45
2023-11-13,7626,24.67
2023-11-20,6717,21.73
2023-11-27,7046,22.8
2023-12-04,7426,24.03
2023-12-11,7661,24.79
2023-12-18,8169,26.43
2023-12-25,6883,22.27
2024-01-01,5285,17.1
2024-01-08,5978,19.34
2024-01-15,6468,20.93
2024-01-22,7399,23.94
2024-01-29,7888,25.52
2024-02-05,8899,28.79
2024-02-12,8062,26.09
2024-02-19,8451,27.34
2024-02-26,9236,29.88
2024-03-04,8952,28.97
2024-03-11,9514,30.78
2024-03-18,7954,25.74
2024-03-25,7974,25.8
2024-04-01,7711,24.95
2024-04-08,6970,22.55
2024-04-15,6345,20.53
2024-04-22,7612,24.63
2024-04-29,7200,23.3
2024-05-06,7184,23.24
2024-05-13,9678,31.31
2024-05-20,9729,31.48
2024-05-27,9128,29.53
2024-06-03,9406,30.43
2024-06-10,10413,33.69
2024-06-17,8540,27.63
2024-06-24,9726,31.47
2024-07-01,10567,34.19
2024-07-08,9317,30.15
2024-07-15,7821,25.31
2024-07-22,13483,43.63
2024-07-29,8133,26.32
2024-08-05,8626,27.91
2024-08-12,6718,21.74
2024-08-19,6219,20.12
2024-08-26,6960,22.52
2024-09-02,6400,20.71
2024-09-09,7016,22.7
2024-09-16,7637,24.71
2024-09-23,7676,24.84
2024-09-30,6977,22.57
2024-10-07,7189,23.26
2024-10-14,7469,24.17
2024-10-21,7347,23.77
2024-10-28,6641,21.49
2024-11-04,5992,19.39
2024-11-11,6209,20.09
2024-11-18,6305,20.4
2024-11-25,7480,24.2
2024-12-02,7516,24.32
2024-12-09,7367,23.84
2024-12-16,6293,20.36
2024-12-23,5826,18.85
2024-12-30,4972,16.09
2025-01-06,5568,18.02
2025-01-13,6486,20.99
2025-01-20,6660,21.55
2025-01-27,6654,21.53
2025-02-03,6842,22.14
2025-02-10,6548,21.19
2025-02-17,5776,18.69
2025-02-24,7716,24.97
2025-03-03,6021,19.48
2025-03-10,6207,20.08
2025-03-17,6265,20.27
2025-03-24,6117,19.79
2025-03-31,5680,18.38
