date,views,score
2018-01-01,555,5.45
2018-01-08,6518,64.04
2018-01-15,7788,76.52
2018-01-22,8117,79.75
2018-01-29,8057,79.16
2018-02-05,8383,82.36
2018-02-12,8290,81.45
2018-02-19,10115,99.38
2018-02-26,8015,78.75
2018-03-05,8078,79.37
2018-03-12,8388,82.41
2018-03-19,8169,80.26
2018-03-26,9091,89.32
2018-04-02,7452,73.22
2018-04-09,7525,73.93
2018-04-16,7674,75.4
2018-04-23,7565,74.33
2018-04-30,7187,70.61
2018-05-07,7261,71.34
2018-05-14,7586,74.53
2018-05-21,6940,68.19
2018-05-28,6680,65.63
2018-06-04,6745,66.27
2018-06-11,6345,62.34
2018-06-18,6784,66.65
2018-06-25,9545,93.78
2018-07-02,6017,59.12
2018-07-09,6002,58.97
2018-07-16,6588,64.73
2018-07-23,6566,64.51
2018-07-30,6337,62.26
2018-08-06,6498,63.84
2018-08-13,6501,63.87
2018-08-20,5881,57.78
2018-08-27,6017,59.12
2018-09-03,6498,63.84
2018-09-10,6788,66.69
2018-09-17,6863,67.43
2018-09-24,6987,68.65
2018-10-01,7166,70.41
2018-10-08,6988,68.66
2018-10-15,7262,71.35
2018-10-22,7178,70.52
2018-10-29,7509,73.78
2018-11-05,6777,66.58
2018-11-12,6727,66.09
2018-11-19,7156,70.31
2018-11-26,6822,67.03
2018-12-03,7326,71.98
2018-12-10,7418,72.88
2018-12-17,6712,65.95
2018-12-24,5472,53.76
2018-12-31,5089,50.0
2019-01-07,6409,62.97
2019-01-14,7035,69.12
2019-01-21,7106,69.82
2019-01-28,7274,71.47
2019-02-04,7936,77.97
2019-02-11,7644,75.1
2019-02-18,7328,72.0
2019-02-25,6787,66.68
2019-03-04,7227,71.01
2019-03-11,7550,74.18
2019-03-18,7235,71.08
2019-03-25,6645,65.29
2019-04-01,8196,80.53
2019-04-08,7726,75.91
2019-04-15,7227,71.01
2019-04-22,6947,68.26
2019-04-29,6856,67.36
2019-05-06,7327,71.99
2019-05-13,6843,67.23
2019-05-20,6299,61.89
2019-05-27,5811,57.09
2019-06-03,6269,61.59
2019-06-10,6554,64.39
2019-06-17,6738,66.2
2019-06-24,5618,55.2
2019-07-01,6264,61.54
2019-07-08,5669,55.7
2019-07-15,5791,56.9
2019-07-22,5975,58.71
2019-07-29,6024,59.19
2019-08-05,6221,61.12
2019-08-12,5915,58.12
2019-08-19,5937,58.33
2019-08-26,6384,62.72
2019-09-02,6404,62.92
2019-09-09,6222,61.13
2019-09-16,7985,78.45
2019-09-23,6798,66.79
2019-09-30,7388,72.59
2019-10-07,6553,64.38
2019-10-14,7483,73.52
2019-10-21,9331,91.68
2019-10-28,6432,63.2
2019-11-04,7044,69.21
2019-11-11,7602,74.69
2019-11-18,8171,80.28
2019-11-25,7352,72.23
2019-12-02,7175,70.5
2019-12-09,7263,71.36
2019-12-16,6454,63.41
2019-12-23,6098,59.91
2019-12-30,4517,44.38
2020-01-06,5492,53.96
2020-01-13,6411,62.99
2020-01-20,6466,63.53
2020-01-27,6921,68.0
2020-02-03,6960,68.38
2020-02-10,8614,84.63
2020-02-17,7828,76.91
2020-02-24,7443,73.13
2020-03-02,8222,80.78
2020-03-09,7773,76.37
2020-03-16,8475,83.27
2020-03-23,8374,82.28
2020-03-30,9148,89.88
2020-04-06,9896,97.23
2020-04-13,10178,100.0
2020-04-20,9376,92.12
2020-04-27,8599,84.49
2020-05-04,8562,84.12
2020-05-11,7967,78.28
2020-05-18,7960,78.21
2020-05-25,6505,63.91
2020-06-01,6289,61.79
2020-06-08,5649,55.5
2020-06-15,5643,55.44
2020-06-22,5368,52.74
2020-06-29,5214,51.23
2020-07-06,5364,52.7
2020-07-13,5151,50.61
2020-07-20,5482,53.86
2020-07-27,6037,59.31
2020-08-03,5803,57.02
2020-08-10,5327,52.34
2020-08-17,5496,54.0
2020-08-24,5327,52.34
2020-08-31,5612,55.14
2020-09-07,5300,52.07
2020-09-14,6388,62.76
2020-09-21,6152,60.44
2020-09-28,6057,59.51
2020-10-05,5916,58.13
2020-10-12,6860,67.4
2020-10-19,6586,64.71
2020-10-26,6771,66.53
2020-11-02,6487,63.74
2020-11-09,6936,68.15
2020-11-16,7363,72.34
2020-11-23,7243,71.16
2020-11-30,6796,66.77
2020-12-07,6766,66.48
2020-12-14,7440,73.1
2020-12-21,6805,66.86
2020-12-28,5295,52.02
2021-01-04,5344,52.51
2021-01-11,6616,65.0
2021-01-18,6191,60.83
2021-01-25,6725,66.07
2021-02-01,7156,70.31
2021-02-08,6178,60.7
2021-02-15,6183,60.75
2021-02-22,6154,60.46
2021-03-01,6972,68.5
2021-03-08,7098,69.74
2021-03-15,6682,65.65
2021-03-22,6835,67.15
2021-03-29,8434,82.87
2021-04-05,5816,57.14
2021-04-12,6367,62.56
2021-04-19,5920,58.16
2021-04-26,5965,58.61
2021-05-03,5708,56.08
2021-05-10,5593,54.95
2021-05-17,5551,54.54
2021-05-24,5861,57.58
2021-05-31,5682,55.83
2021-06-07,5686,55.87
2021-06-14,5480,53.84
2021-06-21,5210,51.19
2021-06-28,5178,50.87
2021-07-05,5216,51.25
2021-07-12,5467,53.71
2021-07-19,6513,63.99
2021-07-26,6494,63.8
2021-08-02,6747,66.29
2021-08-09,6234,61.25
2021-08-16,6642,65.26
2021-08-23,6466,63.53
2021-08-30,6734,66.16
2021-09-06,6519,64.05
2021-09-13,6131,60.24
2021-09-20,6406,62.94
2021-09-27,6856,67.36
2021-10-04,7200,70.74
2021-10-11,6902,67.81
2021-10-18,6473,63.6
2021-10-25,6459,63.46
2021-11-01,6267,61.57
2021-11-08,5947,58.43
2021-11-15,6934,68.13
2021-11-22,7828,76.91
2021-11-29,7626,74.93
2021-12-06,7208,70.82
2021-12-13,7274,71.47
2021-12-20,6696,65.79
2021-12-27,5774,56.73
2022-01-03,6211,61.02
2022-01-10,7788,76.52
2022-01-17,7596,74.63
2022-01-24,7695,75.6
2022-01-31,7893,77.55
2022-02-07,7409,72.79
2022-02-14,7429,72.99
2022-02-21,7499,73.68
2022-02-28,6922,68.01
2022-03-07,6516,64.02
2022-03-14,6306,61.96
2022-03-21,6060,59.54
2022-03-28,6588,64.73
2022-04-04,6164,60.56
2022-04-11,6419,63.07
2022-04-18,5891,57.88
2022-04-25,6138,60.31
2022-05-02,6100,59.93
2022-05-09,5873,57.7
2022-05-16,6367,62.56
2022-05-23,6450,63.37
2022-05-30,6379,62.67
2022-06-06,6113,60.06
2022-06-13,5862,57.59
2022-06-20,5911,58.08
2022-06-27,5800,56.99
2022-07-04,5259,51.67
2022-07-11,5590,54.92
2022-07-18,5397,53.03
2022-07-25,5773,56.72
2022-08-01,5692,55.92
2022-08-08,6496,63.82
2022-08-15,6612,64.96
2022-08-22,7013,68.9
2022-08-29,6440,63.27
2022-09-05,5837,57.35
2022-09-12,6322,62.11
2022-09-19,6493,63.79
2022-09-26,6614,64.98
2022-10-03,6176,60.68
2022-10-10,6260,61.51
2022-10-17,6876,67.56
2022-10-24,6650,65.34
2022-10-31,6514,64.0
2022-11-07,6797,66.78
2022-11-14,8087,79.46
2022-11-21,7223,70.97
2022-11-28,6523,64.09
2022-12-05,6903,67.82
2022-12-12,6704,65.87
2022-12-19,6032,59.27
2022-12-26,5454,53.59
2023-01-02,5557,54.6
2023-01-09,6793,66.74
2023-01-16,6910,67.89
2023-01-23,7590,74.57
2023-01-30,7274,71.47
2023-02-06,6753,66.35
2023-02-13,6959,68.37
2023-02-20,6761,66.43
2023-02-27,6768,66.5
2023-03-06,6941,68.2
2023-03-13,6778,66.59
2023-03-20,6863,67.43
2023-03-27,7014,68.91
2023-04-03,6946,68.25
2023-04-10,5795,56.94
2023-04-17,5616,55.18
2023-04-24,5515,54.19
2023-05-01,5792,56.91
2023-05-08,6427,63.15
2023-05-15,6202,60.94
2023-05-22,6193,60.85
2023-05-29,6020,59.15
2023-06-05,5697,55.97
2023-06-12,5666,55.67
2023-06-19,5904,58.01
2023-06-26,5737,56.37
2023-07-03,5613,55.15
2023-07-10,5828,57.26
2023-07-17,5841,57.39
2023-07-24,5840,57.38
2023-07-31,6012,59.07
2023-08-07,6006,59.01
2023-08-14,6265,61.55
2023-08-21,6455,63.42
2023-08-28,6031,59.26
2023-09-04,6487,63.74
2023-09-11,6854,67.34
2023-09-18,6717,66.0
2023-09-25,6853,67.33
2023-10-02,6387,62.75
2023-10-09,6384,62.72
2023-10-16,6228,61.19
2023-10-23,5902,57.99
2023-10-30,6600,64.85
2023-11-06,6360,62.49
2023-11-13,5978,58.73
2023-11-20,5672,55.73
2023-11-27,5338,52.45
2023-12-04,5719,56.19
2023-12-11,6255,61.46
2023-12-18,6345,62.34
2023-12-25,5087,49.98
2024-01-01,4794,47.1
2024-01-08,5736,56.36
2024-01-15,6679,65.62
2024-01-22,7044,69.21
2024-01-29,6912,67.91
2024-02-05,6570,64.55
2024-02-12,5743,56.43
2024-02-19,5697,55.97
2024-02-26,5959,58.55
2024-03-04,6113,60.06
2024-03-11,6150,60.42
2024-03-18,6466,63.53
2024-03-25,5679,55.8
2024-04-01,4886,48.01
2024-04-08,5476,53.8
2024-04-15,5359,52.65
2024-04-22,6104,59.97
2024-04-29,6005,59.0
2024-05-06,5865,57.62
2024-05-13,5167,50.77
2024-05-20,4709,46.27
2024-05-27,4561,44.81
2024-06-03,4870,47.85
2024-06-10,4397,43.2
2024-06-17,4435,43.57
2024-06-24,4234,41.6
2024-07-01,4707,46.25
2024-07-08,4854,47.69
2024-07-15,4763,46.8
2024-07-22,5415,53.2
2024-07-29,4668,45.86
2024-08-05,4323,42.47
2024-08-12,4383,43.06
2024-08-19,4934,48.48
2024-08-26,4793,47.09
2024-09-02,5086,49.97
2024-09-09,4636,45.55
2024-09-16,4472,43.94
2024-09-23,4535,44.56
2024-09-30,4818,47.34
2024-10-07,4517,44.38
2024-10-14,4486,44.08
2024-10-21,4633,45.52
2024-10-28,4451,43.73
2024-11-04,3971,39.02
2024-11-11,5204,51.13
2024-11-18,6038,59.32
2024-11-25,4659,45.78
2024-12-02,4161,40.88
2024-12-09,4157,40.84
2024-12-16,4099,40.27
2024-12-23,3951,38.82
2024-12-30,3692,36.27
2025-01-06,3973,39.04
2025-01-13,4382,43.05
2025-01-20,4288,42.13
2025-01-27,4515,44.36
2025-02-03,4155,40.82
2025-02-10,4526,44.47
2025-02-17,4828,47.44
2025-02-24,4705,46.23
2025-03-03,4643,45.62
2025-03-10,4306,42.31
2025-03-17,4364,42.88
2025-03-24,4435,43.57
2025-03-31,4311,42.36
2025-04-07,4313,42.38
2025-04-14,4263,41.88
2025-04-21,3709,36.44
2025-04-28,3360,33.01
2025-05-05,3334,32.76
2025-05-12,3847,37.8
2025-05-19,4147,40.74
2025-05-26,3748,36.82
2025-06-02,3487,34.26
2025-06-09,3071,30.17
2025-06-16,3059,30.06
2025-06-23,3207,31.51
2025-06-30,3074,30.2
2025-07-07,2903,28.52
2025-07-14,3308,32.5
2025-07-21,3261,32.04
2025-07-28,3297,32.39
2025-08-04,3300,32.42
2025-08-11,3278,32.21
2025-08-18,2971,29.19
2025-08-25,3134,30.79
2025-09-01,3105,30.51
2025-09-08,3506,34.45
2025-09-15,3236,31.79
2025-09-22,3090,30.36
2025-09-29,3822,37.55
2025-10-06,3522,34.6
2025-10-13,3506,34.45
2025-10-20,3399,33.4
2025-10-27,3270,32.13
2025-11-03,3405,33.45
