date,views,score
2018-01-01,1927,3.2
2018-01-08,18662,30.97
2018-01-15,21803,36.19
2018-01-22,22589,37.49
2018-01-29,23095,38.33
2018-02-05,24025,39.88
2018-02-12,26311,43.67
2018-02-19,23019,38.21
2018-02-26,26457,43.91
2018-03-05,26681,44.28
2018-03-12,26151,43.4
2018-03-19,25549,42.4
2018-03-26,22621,37.55
2018-04-02,19254,31.96
2018-04-09,21570,35.8
2018-04-16,22779,37.81
2018-04-23,25699,42.65
2018-04-30,22457,37.27
2018-05-07,22432,37.23
2018-05-14,23205,38.51
2018-05-21,23923,39.71
2018-05-28,24322,40.37
2018-06-04,22238,36.91
2018-06-11,22286,36.99
2018-06-18,17811,29.56
2018-06-25,17497,29.04
2018-07-02,16106,26.73
2018-07-09,15793,26.21
2018-07-16,15005,24.9
2018-07-23,14901,24.73
2018-07-30,15606,25.9
2018-08-06,15668,26.0
2018-08-13,15390,25.54
2018-08-20,15134,25.12
2018-08-27,15605,25.9
2018-09-03,16351,27.14
2018-09-10,18603,30.88
2018-09-17,18554,30.8
2018-09-24,20410,33.88
2018-10-01,22582,37.48
2018-10-08,19866,32.97
2018-10-15,23273,38.63
2018-10-22,19985,33.17
2018-10-29,20598,34.19
2018-11-05,20602,34.19
2018-11-12,21231,35.24
2018-11-19,23676,39.3
2018-11-26,22319,37.04
2018-12-03,24957,41.42
2018-12-10,23889,39.65
2018-12-17,22711,37.69
2018-12-24,15302,25.4
2018-12-31,12894,21.4
2019-01-07,19063,31.64
2019-01-14,21718,36.05
2019-01-21,21523,35.72
2019-01-28,22000,36.51
2019-02-04,23005,38.18
2019-02-11,23218,38.54
2019-02-18,25340,42.06
2019-02-25,24257,40.26
2019-03-04,25870,42.94
2019-03-11,22972,38.13
2019-03-18,23416,38.86
2019-03-25,20764,34.46
2019-04-01,23210,38.52
2019-04-08,23453,38.93
2019-04-15,19871,32.98
2019-04-22,18501,30.71
2019-04-29,21901,36.35
2019-05-06,22061,36.62
2019-05-13,25002,41.5
2019-05-20,22479,37.31
2019-05-27,20808,34.54
2019-06-03,22556,37.44
2019-06-10,17186,28.52
2019-06-17,18601,30.87
2019-06-24,17296,28.71
2019-07-01,17240,28.61
2019-07-08,14331,23.79
2019-07-15,13481,22.38
2019-07-22,13463,22.35
2019-07-29,14243,23.64
2019-08-05,14304,23.74
2019-08-12,17306,28.72
2019-08-19,13673,22.69
2019-08-26,15250,25.31
2019-09-02,16184,26.86
2019-09-09,15391,25.55
2019-09-16,17082,28.35
2019-09-23,22089,36.66
2019-09-30,21501,35.69
2019-10-07,21053,34.94
2019-10-14,26468,43.93
2019-10-21,31515,52.31
2019-10-28,18040,29.94
2019-11-04,18144,30.11
2019-11-11,19677,32.66
2019-11-18,19449,32.28
2019-11-25,19427,32.24
2019-12-02,17408,28.89
2019-12-09,20127,33.41
2019-12-16,18580,30.84
2019-12-23,14744,24.47
2019-12-30,11402,18.92
2020-01-06,15969,26.5
2020-01-13,17762,29.48
2020-01-20,18302,30.38
2020-01-27,22697,37.67
2020-02-03,17916,29.74
2020-02-10,19395,32.19
2020-02-17,19122,31.74
2020-02-24,17451,28.96
2020-03-02,18036,29.94
2020-03-09,18060,29.98
2020-03-16,14570,24.18
2020-03-23,12607,20.92
2020-03-30,13482,22.38
2020-04-06,15017,24.92
2020-04-13,13362,22.18
2020-04-20,15139,25.13
2020-04-27,17145,28.46
2020-05-04,17429,28.93
2020-05-11,14735,24.46
2020-05-18,14972,24.85
2020-05-25,13965,23.18
2020-06-01,14248,23.65
2020-06-08,14035,23.29
2020-06-15,12562,20.85
2020-06-22,11889,19.73
2020-06-29,10609,17.61
2020-07-06,10061,16.7
2020-07-13,11349,18.84
2020-07-20,10996,18.25
2020-07-27,10741,17.83
2020-08-03,9306,15.45
2020-08-10,10805,17.93
2020-08-17,10104,16.77
2020-08-24,11500,19.09
2020-08-31,10661,17.69
2020-09-07,10952,18.18
2020-09-14,13798,22.9
2020-09-21,15242,25.3
2020-09-28,15519,25.76
2020-10-05,14295,23.73
2020-10-12,16183,26.86
2020-10-19,16444,27.29
2020-10-26,16127,26.77
2020-11-02,15017,24.92
2020-11-09,15989,26.54
2020-11-16,15292,25.38
2020-11-23,15911,26.41
2020-11-30,16014,26.58
2020-12-07,16804,27.89
2020-12-14,15785,26.2
2020-12-21,16118,26.75
2020-12-28,10180,16.9
2021-01-04,10300,17.1
2021-01-11,14205,23.58
2021-01-18,14579,24.2
2021-01-25,16888,28.03
2021-02-01,16630,27.6
2021-02-08,17164,28.49
2021-02-15,15795,26.22
2021-02-22,19406,32.21
2021-03-01,18189,30.19
2021-03-08,18163,30.15
2021-03-15,18585,30.85
2021-03-22,19818,32.89
2021-03-29,15696,26.05
2021-04-05,14381,23.87
2021-04-12,15503,25.73
2021-04-19,16160,26.82
2021-04-26,16619,27.58
2021-05-03,15157,25.16
2021-05-10,15515,25.75
2021-05-17,14579,24.2
2021-05-24,15506,25.74
2021-05-31,15010,24.91
2021-06-07,14683,24.37
2021-06-14,14161,23.5
2021-06-21,12864,21.35
2021-06-28,11733,19.47
2021-07-05,11562,19.19
2021-07-12,12042,19.99
2021-07-19,11038,18.32
2021-07-26,10219,16.96
2021-08-02,10102,16.77
2021-08-09,9747,16.18
2021-08-16,10839,17.99
2021-08-23,11524,19.13
2021-08-30,11439,18.99
2021-09-06,11362,18.86
2021-09-13,13411,22.26
2021-09-20,14852,24.65
2021-09-27,13348,22.15
2021-10-04,13243,21.98
2021-10-11,14492,24.05
2021-10-18,15251,25.31
2021-10-25,14528,24.11
2021-11-01,14993,24.88
2021-11-08,16048,26.64
2021-11-15,16912,28.07
2021-11-22,16052,26.64
2021-11-29,16605,27.56
2021-12-06,16635,27.61
2021-12-13,15404,25.57
2021-12-20,13633,22.63
2021-12-27,10768,17.87
2022-01-03,11683,19.39
2022-01-10,14533,24.12
2022-01-17,15030,24.95
2022-01-24,15350,25.48
2022-01-31,14247,23.65
2022-02-07,14759,24.5
2022-02-14,15932,26.44
2022-02-21,14980,24.86
2022-02-28,16271,27.01
2022-03-07,16355,27.15
2022-03-14,16860,27.98
2022-03-21,14479,24.03
2022-03-28,15183,25.2
2022-04-04,14861,24.67
2022-04-11,14275,23.69
2022-04-18,13421,22.28
2022-04-25,14899,24.73
2022-05-02,14130,23.45
2022-05-09,14227,23.61
2022-05-16,15257,25.32
2022-05-23,15274,25.35
2022-05-30,14788,24.54
2022-06-06,14095,23.39
2022-06-13,13049,21.66
2022-06-20,12655,21.0
2022-06-27,12016,19.94
2022-07-04,10329,17.14
2022-07-11,9974,16.55
2022-07-18,10497,17.42
2022-07-25,10561,17.53
2022-08-01,9796,16.26
2022-08-08,9326,15.48
2022-08-15,9726,16.14
2022-08-22,10860,18.02
2022-08-29,10983,18.23
