date,views,score
2018-01-01,819,0.05
2018-01-08,7827,0.46
2018-01-15,9504,0.56
2018-01-22,10857,0.64
2018-01-29,9962,0.58
2018-02-05,9282,0.54
2018-02-12,8690,0.51
2018-02-19,7895,0.46
2018-02-26,7928,0.46
2018-03-05,8441,0.49
2018-03-12,8837,0.52
2018-03-19,7697,0.45
2018-03-26,7845,0.46
2018-04-02,6846,0.4
2018-04-09,6870,0.4
2018-04-16,7360,0.43
2018-04-23,6738,0.39
2018-04-30,7766,0.45
2018-05-07,7872,0.46
2018-05-14,7362,0.43
2018-05-21,7645,0.45
2018-05-28,7984,0.47
2018-06-04,7235,0.42
2018-06-11,7921,0.46
2018-06-18,7827,0.46
2018-06-25,6770,0.4
2018-07-02,6002,0.35
2018-07-09,6000,0.35
2018-07-16,5948,0.35
2018-07-23,6465,0.38
2018-07-30,6888,0.4
2018-08-06,6846,0.4
2018-08-13,6555,0.38
2018-08-20,6536,0.38
2018-08-27,6767,0.4
2018-09-03,6865,0.4
2018-09-10,7593,0.44
2018-09-17,7309,0.43
2018-09-24,7570,0.44
2018-10-01,8501,0.5
2018-10-08,7774,0.45
2018-10-15,7570,0.44
2018-10-22,7766,0.45
2018-10-29,7548,0.44
2018-11-05,7681,0.45
2018-11-12,7830,0.46
2018-11-19,8478,0.5
2018-11-26,8216,0.48
2018-12-03,9189,0.54
2018-12-10,9094,0.53
2018-12-17,8031,0.47
2018-12-24,7268,0.43
2018-12-31,7582,0.44
2019-01-07,8155,0.48
2019-01-14,8597,0.5
2019-01-21,8033,0.47
2019-01-28,7910,0.46
2019-02-04,8249,0.48
2019-02-11,8677,0.51
2019-02-18,7689,0.45
2019-02-25,7504,0.44
2019-03-04,7322,0.43
2019-03-11,7421,0.43
2019-03-18,7646,0.45
2019-03-25,8153,0.48
2019-04-01,7934,0.46
2019-04-08,7254,0.42
2019-04-15,7605,0.44
2019-04-22,6660,0.39
2019-04-29,7443,0.44
2019-05-06,8234,0.48
2019-05-13,8595,0.5
2019-05-20,8469,0.5
2019-05-27,7437,0.44
2019-06-03,7955,0.47
2019-06-10,7206,0.42
2019-06-17,6901,0.4
2019-06-24,6534,0.38
