date,views,score
2018-01-01,1690,1.75
2018-01-08,16126,16.66
2018-01-15,17744,18.33
2018-01-22,26549,27.43
2018-01-29,17011,17.58
2018-02-05,20679,21.37
2018-02-12,29629,30.61
2018-02-19,17363,17.94
2018-02-26,14162,14.63
2018-03-05,15255,15.76
2018-03-12,14321,14.8
2018-03-19,17891,18.49
2018-03-26,22518,23.27
2018-04-02,17463,18.04
2018-04-09,22537,23.29
2018-04-16,22042,22.78
2018-04-23,16765,17.32
2018-04-30,14763,15.25
2018-05-07,14271,14.75
2018-05-14,15021,15.52
2018-05-21,14060,14.53
2018-05-28,14320,14.8
2018-06-04,15030,15.53
2018-06-11,16081,16.62
2018-06-18,14842,15.34
2018-06-25,16496,17.04
2018-07-02,19118,19.75
2018-07-09,15731,16.25
2018-07-16,17325,17.9
2018-07-23,18397,19.01
2018-07-30,25904,26.77
2018-08-06,25230,26.07
2018-08-13,22383,23.13
2018-08-20,21108,21.81
2018-08-27,19537,20.19
2018-09-03,19443,20.09
2018-09-10,23359,24.14
2018-09-17,28339,29.28
2018-09-24,23898,24.69
2018-10-01,23075,23.84
2018-10-08,26015,26.88
2018-10-15,28896,29.86
2018-10-22,39818,41.14
2018-10-29,33267,34.37
2018-11-05,34999,36.16
2018-11-12,34079,35.21
2018-11-19,25306,26.15
2018-11-26,18944,19.57
2018-12-03,22058,22.79
2018-12-10,24674,25.49
2018-12-17,23580,24.36
2018-12-24,25076,25.91
2018-12-31,20529,21.21
2019-01-07,34231,35.37
2019-01-14,32415,33.49
2019-01-21,25293,26.13
2019-01-28,23284,24.06
2019-02-04,20036,20.7
2019-02-11,20852,21.55
2019-02-18,42263,43.67
2019-02-25,22602,23.35
2019-03-04,23171,23.94
2019-03-11,21648,22.37
2019-03-18,16550,17.1
2019-03-25,15686,16.21
2019-04-01,14666,15.15
2019-04-08,14326,14.8
2019-04-15,16238,16.78
2019-04-22,14122,14.59
2019-04-29,17982,18.58
2019-05-06,16040,16.57
2019-05-13,19919,20.58
2019-05-20,17137,17.71
2019-05-27,14884,15.38
2019-06-03,12807,13.23
2019-06-10,12274,12.68
2019-06-17,12560,12.98
2019-06-24,14298,14.77
2019-07-01,16456,17.0
2019-07-08,13650,14.1
2019-07-15,20202,20.87
2019-07-22,25239,26.08
2019-07-29,32099,33.17
2019-08-05,22267,23.01
2019-08-12,17308,17.88
2019-08-19,22334,23.08
2019-08-26,36895,38.12
2019-09-02,17844,18.44
2019-09-09,14951,15.45
2019-09-16,20894,21.59
2019-09-23,16840,17.4
2019-09-30,15958,16.49
2019-10-07,15601,16.12
2019-10-14,21454,22.17
2019-10-21,17823,18.42
2019-10-28,20136,20.81
2019-11-04,20905,21.6
2019-11-11,18589,19.21
2019-11-18,20838,21.53
2019-11-25,19387,20.03
2019-12-02,18143,18.75
2019-12-09,19366,20.01
2019-12-16,20989,21.69
2019-12-23,24504,25.32
2019-12-30,18958,19.59
2020-01-06,19677,20.33
2020-01-13,23189,23.96
2020-01-20,23918,24.71
2020-01-27,22865,23.63
2020-02-03,29687,30.67
2020-02-10,39125,40.43
2020-02-17,29805,30.8
2020-02-24,26418,27.3
2020-03-02,19582,20.23
2020-03-09,20760,21.45
2020-03-16,23071,23.84
2020-03-23,40067,41.4
2020-03-30,52836,54.59
2020-04-06,30494,31.51
2020-04-13,34232,35.37
2020-04-20,34872,36.03
2020-04-27,35653,36.84
2020-05-04,29565,30.55
2020-05-11,31382,32.43
2020-05-18,35473,36.65
2020-05-25,23411,24.19
2020-06-01,20443,21.12
2020-06-08,19032,19.67
2020-06-15,20069,20.74
2020-06-22,17435,18.01
2020-06-29,15982,16.51
2020-07-06,17556,18.14
2020-07-13,18933,19.56
2020-07-20,17701,18.29
2020-07-27,20426,21.11
2020-08-03,19488,20.14
2020-08-10,18683,19.3
2020-08-17,17268,17.84
2020-08-24,19121,19.76
2020-08-31,18207,18.81
2020-09-07,20638,21.32
2020-09-14,17984,18.58
2020-09-21,15660,16.18
2020-09-28,17212,17.78
2020-10-05,19513,20.16
2020-10-12,23317,24.09
2020-10-19,22086,22.82
2020-10-26,19899,20.56
2020-11-02,19109,19.74
2020-11-09,32464,33.54
2020-11-16,17883,18.48
2020-11-23,14095,14.56
2020-11-30,12767,13.19
2020-12-07,12754,13.18
2020-12-14,10781,11.14
2020-12-21,13120,13.56
2020-12-28,16826,17.39
2021-01-04,18092,18.69
2021-01-11,17955,18.55
2021-01-18,21597,22.32
2021-01-25,24617,25.44
2021-02-01,14311,14.79
2021-02-08,15475,15.99
2021-02-15,11382,11.76
2021-02-22,10571,10.92
2021-03-01,14549,15.03
2021-03-08,16341,16.88
2021-03-15,20643,21.33
2021-03-22,13565,14.02
2021-03-29,12497,12.91
2021-04-05,14607,15.09
2021-04-12,14279,14.75
2021-04-19,11211,11.58
2021-04-26,10745,11.1
2021-05-03,12989,13.42
2021-05-10,10857,11.22
2021-05-17,9618,9.94
