date,views,score
2018-01-01,2407,0.87
2018-01-08,29820,10.72
2018-01-15,31222,11.22
2018-01-22,27982,10.06
2018-01-29,28662,10.3
2018-02-05,25987,9.34
2018-02-12,30601,11.0
2018-02-19,26141,9.4
2018-02-26,24838,8.93
2018-03-05,24057,8.65
2018-03-12,24341,8.75
2018-03-19,23185,8.33
2018-03-26,23904,8.59
2018-04-02,30381,10.92
2018-04-09,22587,8.12
2018-04-16,21974,7.9
2018-04-23,22823,8.2
2018-04-30,21864,7.86
2018-05-07,21998,7.91
2018-05-14,26031,9.36
2018-05-21,21387,7.69
2018-05-28,20720,7.45
2018-06-04,22850,8.21
2018-06-11,24325,8.74
2018-06-18,21556,7.75
2018-06-25,22283,8.01
2018-07-02,20895,7.51
2018-07-09,20389,7.33
2018-07-16,21553,7.75
2018-07-23,21837,7.85
2018-07-30,22146,7.96
2018-08-06,21749,7.82
2018-08-13,21517,7.73
2018-08-20,32448,11.66
2018-08-27,30282,10.89
2018-09-03,22849,8.21
2018-09-10,22420,8.06
2018-09-17,22449,8.07
2018-09-24,22284,8.01
2018-10-01,22053,7.93
2018-10-08,20853,7.5
2018-10-15,21751,7.82
2018-10-22,21403,7.69
2018-10-29,22997,8.27
2018-11-05,21216,7.63
2018-11-12,21029,7.56
2018-11-19,27372,9.84
2018-11-26,23171,8.33
2018-12-03,23867,8.58
2018-12-10,23161,8.33
2018-12-17,21914,7.88
2018-12-24,19691,7.08
2018-12-31,17081,6.14
2019-01-07,20752,7.46
2019-01-14,26597,9.56
2019-01-21,22076,7.94
2019-01-28,23599,8.48
2019-02-04,23767,8.54
2019-02-11,22376,8.04
2019-02-18,22090,7.94
2019-02-25,21817,7.84
2019-03-04,20587,7.4
2019-03-11,23698,8.52
2019-03-18,22266,8.0
2019-03-25,22882,8.23
2019-04-01,20227,7.27
2019-04-08,19828,7.13
2019-04-15,18744,6.74
2019-04-22,19269,6.93
2019-04-29,19035,6.84
2019-05-06,19574,7.04
2019-05-13,17956,6.45
2019-05-20,18988,6.83
2019-05-27,20732,7.45
2019-06-03,20529,7.38
2019-06-10,20003,7.19
2019-06-17,19711,7.09
2019-06-24,18742,6.74
2019-07-01,18172,6.53
2019-07-08,18041,6.48
2019-07-15,19370,6.96
2019-07-22,19895,7.15
2019-07-29,19448,6.99
2019-08-05,19731,7.09
2019-08-12,18307,6.58
2019-08-19,19131,6.88
2019-08-26,19767,7.11
2019-09-02,18973,6.82
2019-09-09,18817,6.76
2019-09-16,20968,7.54
2019-09-23,19281,6.93
2019-09-30,22074,7.93
2019-10-07,20396,7.33
2019-10-14,22776,8.19
2019-10-21,20859,7.5
2019-10-28,21619,7.77
2019-11-04,23065,8.29
2019-11-11,24850,8.93
2019-11-18,25291,9.09
2019-11-25,23992,8.62
2019-12-02,24433,8.78
2019-12-09,23730,8.53
2019-12-16,23233,8.35
2019-12-23,21283,7.65
2019-12-30,19926,7.16
2020-01-06,20998,7.55
2020-01-13,24191,8.7
2020-01-20,23232,8.35
2020-01-27,23180,8.33
2020-02-03,22985,8.26
2020-02-10,25859,9.3
2020-02-17,27700,9.96
2020-02-24,25144,9.04
2020-03-02,24492,8.8
2020-03-09,24384,8.77
2020-03-16,20844,7.49
2020-03-23,22631,8.13
2020-03-30,27805,9.99
2020-04-06,28502,10.25
2020-04-13,27952,10.05
2020-04-20,32387,11.64
2020-04-27,32236,11.59
2020-05-04,32319,11.62
2020-05-11,31423,11.3
2020-05-18,38739,13.93
2020-05-25,33802,12.15
2020-06-01,29299,10.53
2020-06-08,25442,9.15
2020-06-15,28449,10.23
2020-06-22,26531,9.54
2020-06-29,27040,9.72
2020-07-06,25019,8.99
2020-07-13,29569,10.63
2020-07-20,25114,9.03
2020-07-27,29594,10.64
2020-08-03,30281,10.88
2020-08-10,26580,9.55
2020-08-17,29283,10.53
2020-08-24,33352,11.99
2020-08-31,30239,10.87
2020-09-07,61050,21.94
2020-09-14,76158,27.38
2020-09-21,59898,21.53
2020-09-28,39094,14.05
2020-10-05,28976,10.42
2020-10-12,37815,13.59
2020-10-19,34228,12.3
2020-10-26,33186,11.93
2020-11-02,42430,15.25
2020-11-09,32758,11.78
2020-11-16,34582,12.43
2020-11-23,36169,13.0
2020-11-30,33762,12.14
2020-12-07,34884,12.54
2020-12-14,37556,13.5
2020-12-21,33228,11.94
2020-12-28,28591,10.28
2021-01-04,28484,10.24
2021-01-11,32482,11.68
2021-01-18,30068,10.81
2021-01-25,27206,9.78
2021-02-01,28774,10.34
2021-02-08,29026,10.43
2021-02-15,31001,11.14
2021-02-22,30334,10.9
2021-03-01,31480,11.32
2021-03-08,27523,9.89
2021-03-15,26851,9.65
2021-03-22,27367,9.84
2021-03-29,25315,9.1
2021-04-05,24708,8.88
2021-04-12,28837,10.37
2021-04-19,35009,12.58
2021-04-26,28070,10.09
2021-05-03,24992,8.98
2021-05-10,23216,8.35
2021-05-17,21635,7.78
2021-05-24,23258,8.36
2021-05-31,24481,8.8
2021-06-07,27222,9.79
2021-06-14,23497,8.45
2021-06-21,21038,7.56
2021-06-28,20770,7.47
2021-07-05,26787,9.63
2021-07-12,28481,10.24
2021-07-19,32165,11.56
2021-07-26,35250,12.67
2021-08-02,29451,10.59
2021-08-09,29316,10.54
2021-08-16,29108,10.46
2021-08-23,30716,11.04
2021-08-30,29506,10.61
2021-09-06,27434,9.86
2021-09-13,27506,9.89
2021-09-20,28999,10.42
2021-09-27,27699,9.96
2021-10-04,27728,9.97
2021-10-11,28865,10.38
2021-10-18,28029,10.08
2021-10-25,31417,11.29
2021-11-01,33206,11.94
2021-11-08,35358,12.71
2021-11-15,35506,12.76
2021-11-22,42966,15.44
2021-11-29,34945,12.56
2021-12-06,38018,13.67
2021-12-13,31955,11.49
2021-12-20,28494,10.24
2021-12-27,26159,9.4
2022-01-03,27030,9.72
2022-01-10,33947,12.2
2022-01-17,33551,12.06
2022-01-24,33609,12.08
2022-01-31,36452,13.1
2022-02-07,32711,11.76
2022-02-14,37815,13.59
2022-02-21,34532,12.41
2022-02-28,41438,14.9
2022-03-07,28008,10.07
2022-03-14,27135,9.75
2022-03-21,27643,9.94
2022-03-28,32766,11.78
2022-04-04,29694,10.67
2022-04-11,27947,10.05
2022-04-18,27054,9.72
2022-04-25,28426,10.22
2022-05-02,28030,10.08
2022-05-09,27380,9.84
2022-05-16,28282,10.17
2022-05-23,27333,9.83
2022-05-30,29249,10.51
2022-06-06,25146,9.04
2022-06-13,24565,8.83
2022-06-20,25970,9.34
2022-06-27,23508,8.45
2022-07-04,24447,8.79
2022-07-11,23755,8.54
2022-07-18,28387,10.2
2022-07-25,27293,9.81
2022-08-01,27509,9.89
2022-08-08,31532,11.33
2022-08-15,27926,10.04
2022-08-22,24137,8.68
2022-08-29,25789,9.27
2022-09-05,33846,12.17
2022-09-12,26707,9.6
2022-09-19,35851,12.89
2022-09-26,43283,15.56
2022-10-03,34779,12.5
2022-10-10,30331,10.9
2022-10-17,34478,12.39
2022-10-24,27994,10.06
2022-10-31,29940,10.76
2022-11-07,31618,11.37
2022-11-14,33034,11.87
2022-11-21,33839,12.16
2022-11-28,30245,10.87
