date,views,score
2018-01-01,13762,0.81
2018-01-08,107397,6.3
2018-01-15,107656,6.31
2018-01-22,110603,6.49
2018-01-29,113108,6.63
2018-02-05,99578,5.84
2018-02-12,103497,6.07
2018-02-19,116090,6.81
2018-02-26,110526,6.48
2018-03-05,103386,6.06
2018-03-12,97826,5.74
2018-03-19,101697,5.96
2018-03-26,99935,5.86
2018-04-02,97370,5.71
2018-04-09,99192,5.82
2018-04-16,103634,6.08
2018-04-23,100150,5.87
2018-04-30,101144,5.93
2018-05-07,100344,5.88
2018-05-14,106300,6.23
2018-05-21,109546,6.42
2018-05-28,106255,6.23
2018-06-04,116271,6.82
2018-06-11,111220,6.52
2018-06-18,161018,9.44
2018-06-25,148895,8.73
2018-07-02,224975,13.19
2018-07-09,122217,7.17
2018-07-16,157904,9.26
2018-07-23,115789,6.79
2018-07-30,108288,6.35
2018-08-06,104082,6.1
2018-08-13,98931,5.8
2018-08-20,102709,6.02
2018-08-27,100502,5.89
2018-09-03,98612,5.78
2018-09-10,96741,5.67
2018-09-17,92064,5.4
2018-09-24,94732,5.56
2018-10-01,91736,5.38
2018-10-08,91450,5.36
2018-10-15,94751,5.56
2018-10-22,93382,5.48
2018-10-29,91210,5.35
2018-11-05,95979,5.63
2018-11-12,90381,5.3
2018-11-19,113258,6.64
2018-11-26,97581,5.72
2018-12-03,100919,5.92
2018-12-10,105717,6.2
2018-12-17,99626,5.84
2018-12-24,106804,6.26
2018-12-31,101026,5.92
2019-01-07,117809,6.91
2019-01-14,109969,6.45
2019-01-21,105204,6.17
2019-01-28,110044,6.45
2019-02-04,106069,6.22
2019-02-11,106020,6.22
2019-02-18,99507,5.84
2019-02-25,94811,5.56
2019-03-04,92292,5.41
2019-03-11,94947,5.57
2019-03-18,91366,5.36
2019-03-25,95501,5.6
2019-04-01,93411,5.48
2019-04-08,93793,5.5
2019-04-15,93355,5.47
2019-04-22,93058,5.46
2019-04-29,96548,5.66
2019-05-06,91603,5.37
2019-05-13,91615,5.37
2019-05-20,94756,5.56
2019-05-27,92581,5.43
2019-06-03,88417,5.19
2019-06-10,109798,6.44
2019-06-17,103661,6.08
2019-06-24,101008,5.92
2019-07-01,90659,5.32
2019-07-08,95809,5.62
2019-07-15,89628,5.26
2019-07-22,89717,5.26
2019-07-29,93814,5.5
2019-08-05,102449,6.01
2019-08-12,91933,5.39
2019-08-19,690460,40.49
2019-08-26,686927,40.28
2019-09-02,159936,9.38
2019-09-09,166642,9.77
2019-09-16,114901,6.74
2019-09-23,101075,5.93
2019-09-30,95180,5.58
2019-10-07,93729,5.5
2019-10-14,93175,5.46
2019-10-21,89691,5.26
2019-10-28,89401,5.24
2019-11-04,82305,4.83
2019-11-11,85032,4.99
2019-11-18,86263,5.06
2019-11-25,85166,4.99
2019-12-02,93038,5.46
2019-12-09,93623,5.49
2019-12-16,92601,5.43
2019-12-23,86207,5.06
2019-12-30,88547,5.19
2020-01-06,94996,5.57
2020-01-13,103918,6.09
2020-01-20,101107,5.93
2020-01-27,100791,5.91
2020-02-03,99455,5.83
2020-02-10,95145,5.58
2020-02-17,94361,5.53
2020-02-24,112051,6.57
2020-03-02,97027,5.69
2020-03-09,94692,5.55
2020-03-16,112512,6.6
2020-03-23,120941,7.09
2020-03-30,142761,8.37
2020-04-06,138176,8.1
2020-04-13,181208,10.63
2020-04-20,158313,9.28
2020-04-27,147550,8.65
2020-05-04,129562,7.6
2020-05-11,122122,7.16
2020-05-18,113511,6.66
2020-05-25,102257,6.0
2020-06-01,92788,5.44
2020-06-08,90784,5.32
2020-06-15,92847,5.44
2020-06-22,94253,5.53
2020-06-29,100180,5.88
2020-07-06,93151,5.46
2020-07-13,94521,5.54
2020-07-20,97024,5.69
2020-07-27,102125,5.99
2020-08-03,88644,5.2
2020-08-10,94056,5.52
2020-08-17,98018,5.75
2020-08-24,112660,6.61
2020-08-31,102033,5.98
2020-09-07,105990,6.22
2020-09-14,106996,6.27
2020-09-21,102568,6.02
2020-09-28,108341,6.35
2020-10-05,96293,5.65
2020-10-12,96763,5.67
2020-10-19,98365,5.77
2020-10-26,99464,5.83
2020-11-02,93279,5.47
2020-11-09,99750,5.85
2020-11-16,109944,6.45
2020-11-23,127397,7.47
2020-11-30,134661,7.9
2020-12-07,115386,6.77
2020-12-14,113322,6.65
2020-12-21,113546,6.66
2020-12-28,110748,6.49
2021-01-04,166699,9.78
2021-01-11,177444,10.41
2021-01-18,164604,9.65
2021-01-25,141247,8.28
2021-02-01,128707,7.55
2021-02-08,140375,8.23
2021-02-15,140830,8.26
2021-02-22,128600,7.54
2021-03-01,124769,7.32
2021-03-08,123232,7.23
2021-03-15,115029,6.75
2021-03-22,125615,7.37
2021-03-29,116067,6.81
2021-04-05,106487,6.24
2021-04-12,137621,8.07
2021-04-19,116076,6.81
2021-04-26,106694,6.26
2021-05-03,102543,6.01
2021-05-10,106327,6.24
2021-05-17,107600,6.31
2021-05-24,117210,6.87
2021-05-31,107745,6.32
2021-06-07,106322,6.24
2021-06-14,132867,7.79
2021-06-21,133899,7.85
2021-06-28,144465,8.47
2021-07-05,145748,8.55
2021-07-12,188676,11.06
2021-07-19,109892,6.44
2021-07-26,103934,6.1
2021-08-02,104213,6.11
2021-08-09,103198,6.05
2021-08-16,102162,5.99
2021-08-23,115388,6.77
2021-08-30,122323,7.17
2021-09-06,103767,6.09
2021-09-13,111976,6.57
2021-09-20,105054,6.16
2021-09-27,102475,6.01
2021-10-04,102086,5.99
2021-10-11,119219,6.99
2021-10-18,110284,6.47
2021-10-25,107580,6.31
2021-11-01,97045,5.69
2021-11-08,95975,5.63
2021-11-15,95565,5.6
2021-11-22,90390,5.3
2021-11-29,94928,5.57
2021-12-06,92827,5.44
2021-12-13,92966,5.45
2021-12-20,91953,5.39
2021-12-27,91031,5.34
2022-01-03,96125,5.64
2022-01-10,101182,5.93
2022-01-17,106745,6.26
2022-01-24,104553,6.13
2022-01-31,116931,6.86
2022-02-07,112922,6.62
2022-02-14,107253,6.29
2022-02-21,110409,6.47
2022-02-28,168136,9.86
2022-03-07,213078,12.5
2022-03-14,159815,9.37
2022-03-21,131531,7.71
2022-03-28,125175,7.34
2022-04-04,114368,6.71
2022-04-11,110522,6.48
2022-04-18,109682,6.43
2022-04-25,108375,6.36
2022-05-02,105175,6.17
2022-05-09,151359,8.88
2022-05-16,111592,6.54
2022-05-23,104785,6.15
2022-05-30,102081,5.99
2022-06-06,124761,7.32
2022-06-13,142428,8.35
2022-06-20,136697,8.02
2022-06-27,113410,6.65
2022-07-04,132587,7.78
2022-07-11,114801,6.73
2022-07-18,112039,6.57
2022-07-25,113161,6.64
2022-08-01,114139,6.69
2022-08-08,112783,6.61
2022-08-15,109784,6.44
2022-08-22,111929,6.56
2022-08-29,114745,6.73
2022-09-05,112751,6.61
2022-09-12,127024,7.45
2022-09-19,135969,7.97
2022-09-26,127098,7.45
2022-10-03,148233,8.69
