date,views,score
2018-01-01,50,1.89
2018-01-08,568,21.47
2018-01-15,764,28.87
2018-01-22,570,21.54
2018-01-29,619,23.39
2018-02-05,682,25.77
2018-02-12,786,29.71
2018-02-19,539,20.37
2018-02-26,551,20.82
2018-03-05,622,23.51
2018-03-12,805,30.42
2018-03-19,575,21.73
2018-03-26,521,19.69
2018-04-02,559,21.13
2018-04-09,580,21.92
2018-04-16,602,22.75
2018-04-23,544,20.56
2018-04-30,540,20.41
2018-05-07,650,24.57
2018-05-14,587,22.18
2018-05-21,603,22.79
2018-05-28,554,20.94
2018-06-04,628,23.73
2018-06-11,604,22.83
2018-06-18,587,22.18
2018-06-25,706,26.68
2018-07-02,572,21.62
2018-07-09,635,24.0
2018-07-16,722,27.29
2018-07-23,688,26.0
2018-07-30,734,27.74
2018-08-06,662,25.02
2018-08-13,618,23.36
2018-08-20,724,27.36
2018-08-27,506,19.12
2018-09-03,575,21.73
2018-09-10,647,24.45
2018-09-17,907,34.28
2018-09-24,707,26.72
2018-10-01,865,32.69
2018-10-08,771,29.14
2018-10-15,959,36.24
2018-10-22,793,29.97
2018-10-29,890,33.64
2018-11-05,1022,38.62
2018-11-12,1046,39.53
2018-11-19,1047,39.57
2018-11-26,880,33.26
2018-12-03,1032,39.0
2018-12-10,993,37.53
2018-12-17,896,33.86
2018-12-24,806,30.46
2018-12-31,715,27.02
2019-01-07,767,28.99
2019-01-14,853,32.24
2019-01-21,910,34.39
2019-01-28,921,34.81
2019-02-04,972,36.73
2019-02-11,906,34.24
2019-02-18,878,33.18
2019-02-25,936,35.37
2019-03-04,985,37.23
2019-03-11,937,35.41
2019-03-18,1023,38.66
2019-03-25,1494,56.46
2019-04-01,951,35.94
2019-04-08,840,31.75
2019-04-15,838,31.67
2019-04-22,710,26.83
2019-04-29,840,31.75
2019-05-06,979,37.0
2019-05-13,873,32.99
2019-05-20,978,36.96
2019-05-27,777,29.37
2019-06-03,722,27.29
2019-06-10,682,25.77
2019-06-17,715,27.02
2019-06-24,725,27.4
2019-07-01,751,28.38
2019-07-08,707,26.72
2019-07-15,825,31.18
2019-07-22,954,36.05
2019-07-29,923,34.88
2019-08-05,845,31.93
2019-08-12,783,29.59
2019-08-19,1048,39.61
2019-08-26,759,28.68
2019-09-02,971,36.7
2019-09-09,720,27.21
2019-09-16,988,37.34
2019-09-23,853,32.24
2019-09-30,834,31.52
2019-10-07,2646,100.0
2019-10-14,857,32.39
2019-10-21,1271,48.03
2019-10-28,1052,39.76
2019-11-04,1009,38.13
2019-11-11,1427,53.93
2019-11-18,869,32.84
2019-11-25,1221,46.15
2019-12-02,957,36.17
2019-12-09,1005,37.98
2019-12-16,1215,45.92
2019-12-23,1052,39.76
2019-12-30,1063,40.17
2020-01-06,1122,42.4
2020-01-13,1246,47.09
2020-01-20,1109,41.91
2020-01-27,953,36.02
2020-02-03,864,32.65
2020-02-10,1040,39.3
2020-02-17,1359,51.36
2020-02-24,1001,37.83
2020-03-02,1164,43.99
2020-03-09,1158,43.76
2020-03-16,1232,46.56
2020-03-23,1363,51.51
2020-03-30,1464,55.33
2020-04-06,1774,67.04
2020-04-13,1349,50.98
2020-04-20,1180,44.6
2020-04-27,1068,40.36
2020-05-04,1051,39.72
2020-05-11,1204,45.5
2020-05-18,889,33.6
2020-05-25,854,32.28
2020-06-01,760,28.72
2020-06-08,564,21.32
2020-06-15,592,22.37
2020-06-22,559,21.13
2020-06-29,467,17.65
2020-07-06,544,20.56
2020-07-13,509,19.24
2020-07-20,521,19.69
2020-07-27,489,18.48
2020-08-03,483,18.25
2020-08-10,491,18.56
2020-08-17,480,18.14
2020-08-24,577,21.81
2020-08-31,619,23.39
2020-09-07,538,20.33
2020-09-14,597,22.56
2020-09-21,535,20.22
2020-09-28,583,22.03
2020-10-05,538,20.33
2020-10-12,647,24.45
2020-10-19,668,25.25
2020-10-26,725,27.4
2020-11-02,638,24.11
2020-11-09,652,24.64
2020-11-16,659,24.91
2020-11-23,612,23.13
2020-11-30,572,21.62
2020-12-07,590,22.3
2020-12-14,611,23.09
2020-12-21,521,19.69
2020-12-28,470,17.76
2021-01-04,505,19.09
2021-01-11,586,22.15
2021-01-18,617,23.32
2021-01-25,659,24.91
2021-02-01,1179,44.56
2021-02-08,827,31.25
2021-02-15,775,29.29
2021-02-22,756,28.57
2021-03-01,724,27.36
2021-03-08,735,27.78
2021-03-15,772,29.18
2021-03-22,763,28.84
2021-03-29,860,32.5
2021-04-05,788,29.78
2021-04-12,725,27.4
2021-04-19,705,26.64
2021-04-26,692,26.15
2021-05-03,739,27.93
2021-05-10,728,27.51
2021-05-17,659,24.91
2021-05-24,675,25.51
2021-05-31,625,23.62
2021-06-07,569,21.5
2021-06-14,546,20.63
2021-06-21,591,22.34
2021-06-28,539,20.37
2021-07-05,536,20.26
2021-07-12,479,18.1
2021-07-19,492,18.59
2021-07-26,429,16.21
2021-08-02,448,16.93
2021-08-09,509,19.24
2021-08-16,468,17.69
2021-08-23,531,20.07
2021-08-30,456,17.23
2021-09-06,460,17.38
2021-09-13,443,16.74
2021-09-20,532,20.11
2021-09-27,603,22.79
2021-10-04,538,20.33
2021-10-11,496,18.75
2021-10-18,484,18.29
2021-10-25,482,18.22
2021-11-01,642,24.26
2021-11-08,504,19.05
2021-11-15,519,19.61
2021-11-22,548,20.71
2021-11-29,547,20.67
2021-12-06,533,20.14
2021-12-13,453,17.12
2021-12-20,425,16.06
2021-12-27,428,16.18
2022-01-03,476,17.99
2022-01-10,538,20.33
2022-01-17,526,19.88
2022-01-24,622,23.51
2022-01-31,633,23.92
2022-02-07,710,26.83
2022-02-14,689,26.04
2022-02-21,678,25.62
2022-02-28,585,22.11
2022-03-07,576,21.77
2022-03-14,618,23.36
2022-03-21,753,28.46
2022-03-28,760,28.72
2022-04-04,1535,58.01
2022-04-11,877,33.14
2022-04-18,720,27.21
2022-04-25,774,29.25
2022-05-02,684,25.85
