date,views,score
2018-01-01,1216,1.72
2018-01-08,12903,18.3
2018-01-15,29057,41.21
2018-01-22,27495,38.99
2018-01-29,26156,37.09
2018-02-05,20874,29.6
2018-02-12,20690,29.34
2018-02-19,18701,26.52
2018-02-26,17728,25.14
2018-03-05,18418,26.12
2018-03-12,17204,24.4
2018-03-19,15601,22.12
2018-03-26,14757,20.93
2018-04-02,15014,21.29
2018-04-09,20421,28.96
2018-04-16,15532,22.03
2018-04-23,15819,22.43
2018-04-30,16168,22.93
2018-05-07,17605,24.97
2018-05-14,17428,24.72
2018-05-21,17056,24.19
2018-05-28,14368,20.38
2018-06-04,13357,18.94
2018-06-11,13426,19.04
2018-06-18,23004,32.62
2018-06-25,70515,100.0
2018-07-02,29352,41.63
2018-07-09,20066,28.46
2018-07-16,15713,22.28
2018-07-23,12754,18.09
2018-07-30,12952,18.37
2018-08-06,13360,18.95
2018-08-13,13635,19.34
2018-08-20,11884,16.85
2018-08-27,17234,24.44
2018-09-03,13804,19.58
2018-09-10,14764,20.94
2018-09-17,16553,23.47
2018-09-24,17391,24.66
2018-10-01,18436,26.14
2018-10-08,17101,24.25
2018-10-15,19877,28.19
2018-10-22,28179,39.96
2018-10-29,35444,50.26
2018-11-05,46532,65.99
2018-11-12,31255,44.32
2018-11-19,25854,36.66
2018-11-26,24451,34.67
2018-12-03,29399,41.69
2018-12-10,24364,34.55
2018-12-17,24554,34.82
2018-12-24,26013,36.89
2018-12-31,24698,35.03
2019-01-07,32485,46.07
2019-01-14,58024,82.29
2019-01-21,35791,50.76
2019-01-28,36747,52.11
2019-02-04,27357,38.8
2019-02-11,27785,39.4
2019-02-18,31607,44.82
2019-02-25,23219,32.93
2019-03-04,20860,29.58
2019-03-11,22617,32.07
2019-03-18,19838,28.13
2019-03-25,18461,26.18
2019-04-01,20278,28.76
2019-04-08,22263,31.57
2019-04-15,21761,30.86
2019-04-22,18741,26.58
2019-04-29,20966,29.73
2019-05-06,19691,27.92
2019-05-13,18895,26.8
2019-05-20,20010,28.38
2019-05-27,15722,22.3
2019-06-03,18672,26.48
2019-06-10,19092,27.08
2019-06-17,14696,20.84
2019-06-24,19675,27.9
2019-07-01,23568,33.42
2019-07-08,21160,30.01
2019-07-15,23797,33.75
2019-07-22,21608,30.64
2019-07-29,17859,25.33
2019-08-05,19633,27.84
2019-08-12,20880,29.61
2019-08-19,18016,25.55
2019-08-26,16092,22.82
2019-09-02,16361,23.2
2019-09-09,17322,24.56
2019-09-16,20755,29.43
2019-09-23,24024,34.07
2019-09-30,22837,32.39
2019-10-07,22016,31.22
2019-10-14,21979,31.17
2019-10-21,20994,29.77
2019-10-28,21061,29.87
2019-11-04,20147,28.57
2019-11-11,21227,30.1
2019-11-18,21502,30.49
2019-11-25,20325,28.82
2019-12-02,16666,23.63
2019-12-09,19933,28.27
2019-12-16,18378,26.06
2019-12-23,14962,21.22
2019-12-30,13335,18.91
2020-01-06,14708,20.86
2020-01-13,20992,29.77
2020-01-20,18572,26.34
2020-01-27,19205,27.24
2020-02-03,18084,25.65
2020-02-10,22452,31.84
2020-02-17,18510,26.25
2020-02-24,17480,24.79
2020-03-02,17507,24.83
2020-03-09,16323,23.15
2020-03-16,13233,18.77
2020-03-23,12572,17.83
2020-03-30,13886,19.69
2020-04-06,15311,21.71
2020-04-13,15049,21.34
2020-04-20,14133,20.04
2020-04-27,20488,29.05
2020-05-04,13418,19.03
2020-05-11,12031,17.06
2020-05-18,11531,16.35
2020-05-25,11047,15.67
2020-06-01,10668,15.13
2020-06-08,11076,15.71
2020-06-15,10041,14.24
2020-06-22,11197,15.88
2020-06-29,9969,14.14
2020-07-06,9361,13.28
2020-07-13,9697,13.75
2020-07-20,8917,12.65
2020-07-27,9690,13.74
2020-08-03,8742,12.4
2020-08-10,9336,13.24
2020-08-17,10062,14.27
2020-08-24,10741,15.23
2020-08-31,10981,15.57
2020-09-07,9900,14.04
2020-09-14,10923,15.49
2020-09-21,12159,17.24
2020-09-28,11551,16.38
2020-10-05,12320,17.47
2020-10-12,13007,18.45
2020-10-19,13147,18.64
2020-10-26,14588,20.69
2020-11-02,15187,21.54
2020-11-09,21607,30.64
2020-11-16,14484,20.54
