date,views,score
2018-01-01,2742,5.89
2018-01-08,28157,60.48
2018-01-15,31669,68.03
2018-01-22,33182,71.28
2018-01-29,32277,69.33
2018-02-05,38425,82.54
2018-02-12,43964,94.44
2018-02-19,36985,79.45
2018-02-26,34098,73.24
2018-03-05,32038,68.82
2018-03-12,32851,70.57
2018-03-19,31340,67.32
2018-03-26,30902,66.38
2018-04-02,25949,55.74
2018-04-09,29811,64.04
2018-04-16,31133,66.88
2018-04-23,32092,68.94
2018-04-30,31506,67.68
2018-05-07,31356,67.35
2018-05-14,30286,65.06
2018-05-21,31009,66.61
2018-05-28,26876,57.73
2018-06-04,25116,53.95
2018-06-11,26593,57.12
2018-06-18,24808,53.29
2018-06-25,21734,46.69
2018-07-02,20601,44.25
2018-07-09,20999,45.11
2018-07-16,23380,50.22
2018-07-23,22484,48.3
2018-07-30,21727,46.67
2018-08-06,23615,50.73
2018-08-13,23505,50.49
2018-08-20,23835,51.2
2018-08-27,21402,45.97
2018-09-03,23229,49.9
2018-09-10,33700,72.39
2018-09-17,32229,69.23
2018-09-24,31020,66.63
2018-10-01,27791,59.7
2018-10-08,27668,59.43
2018-10-15,31110,66.83
2018-10-22,28316,60.82
2018-10-29,27254,58.54
2018-11-05,25775,55.37
2018-11-12,26604,57.15
2018-11-19,27498,59.07
2018-11-26,24777,53.22
2018-12-03,29045,62.39
2018-12-10,29625,63.64
2018-12-17,30427,65.36
2018-12-24,23237,49.91
2018-12-31,17310,37.18
2019-01-07,22570,48.48
2019-01-14,27839,59.8
2019-01-21,28025,60.2
2019-01-28,29216,62.76
2019-02-04,29391,63.13
2019-02-11,29478,63.32
2019-02-18,28937,62.16
2019-02-25,28683,61.61
2019-03-04,29288,62.91
2019-03-11,30156,64.78
2019-03-18,28816,61.9
2019-03-25,30136,64.73
2019-04-01,35093,75.38
2019-04-08,31335,67.31
2019-04-15,30608,65.75
2019-04-22,26385,56.68
2019-04-29,29299,62.94
2019-05-06,31224,67.07
2019-05-13,30588,65.7
2019-05-20,28850,61.97
2019-05-27,24506,52.64
2019-06-03,22776,48.92
2019-06-10,23952,51.45
2019-06-17,24522,52.67
2019-06-24,21031,45.18
2019-07-01,18631,40.02
2019-07-08,18205,39.11
2019-07-15,19591,42.08
2019-07-22,19961,42.88
2019-07-29,19693,42.3
2019-08-05,18945,40.69
2019-08-12,17360,37.29
2019-08-19,17723,38.07
2019-08-26,17851,38.34
2019-09-02,18169,39.03
2019-09-09,19233,41.31
2019-09-16,20990,45.09
2019-09-23,21251,45.65
2019-09-30,19462,41.81
2019-10-07,21351,45.86
2019-10-14,20408,43.84
2019-10-21,22692,48.74
2019-10-28,18388,39.5
2019-11-04,18884,40.56
2019-11-11,21101,45.33
2019-11-18,25266,54.27
2019-11-25,20239,43.47
2019-12-02,19479,41.84
2019-12-09,20591,44.23
2019-12-16,19373,41.61
2019-12-23,16643,35.75
2019-12-30,11951,25.67
2020-01-06,14069,30.22
2020-01-13,18483,39.7
2020-01-20,21464,46.11
2020-01-27,18938,40.68
2020-02-03,20053,43.07
2020-02-10,20574,44.19
2020-02-17,21415,46.0
2020-02-24,21136,45.4
2020-03-02,20623,44.3
2020-03-09,20218,43.43
2020-03-16,19148,41.13
2020-03-23,18787,40.36
2020-03-30,21273,45.7
