date,views,score
2018-01-01,396,0.37
2018-01-08,4955,4.58
2018-01-15,5055,4.67
2018-01-22,5297,4.9
2018-01-29,5731,5.3
2018-02-05,8233,7.61
2018-02-12,9334,8.63
2018-02-19,6056,5.6
2018-02-26,7144,6.6
2018-03-05,7848,7.25
2018-03-12,6751,6.24
2018-03-19,7353,6.8
2018-03-26,14318,13.23
2018-04-02,6928,6.4
2018-04-09,7471,6.91
2018-04-16,7521,6.95
2018-04-23,7655,7.08
2018-04-30,8234,7.61
2018-05-07,8196,7.58
2018-05-14,6758,6.25
2018-05-21,6368,5.89
2018-05-28,5779,5.34
2018-06-04,5108,4.72
2018-06-11,5757,5.32
2018-06-18,11706,10.82
2018-06-25,5382,4.97
2018-07-02,4961,4.59
2018-07-09,4473,4.13
2018-07-16,4927,4.55
2018-07-23,7222,6.67
2018-07-30,6306,5.83
2018-08-06,5794,5.36
2018-08-13,4745,4.39
2018-08-20,4978,4.6
2018-08-27,6540,6.04
2018-09-03,5103,4.72
2018-09-10,6459,5.97
2018-09-17,6468,5.98
2018-09-24,6580,6.08
2018-10-01,13862,12.81
2018-10-08,14172,13.1
2018-10-15,33638,31.09
2018-10-22,24562,22.7
2018-10-29,22265,20.58
2018-11-05,21611,19.97
2018-11-12,22712,20.99
2018-11-19,21767,20.12
2018-11-26,19690,18.2
2018-12-03,28875,26.69
2018-12-10,27191,25.13
2018-12-17,28175,26.04
2018-12-24,61586,56.92
2018-12-31,37073,34.26
2019-01-07,26168,24.19
2019-01-14,23005,21.26
2019-01-21,22956,21.22
2019-01-28,31673,29.27
2019-02-04,27359,25.29
2019-02-11,22233,20.55
2019-02-18,21679,20.04
2019-02-25,22081,20.41
2019-03-04,23576,21.79
2019-03-11,23716,21.92
2019-03-18,20880,19.3
2019-03-25,26995,24.95
2019-04-01,25225,23.31
2019-04-08,31556,29.17
2019-04-15,31887,29.47
2019-04-22,27029,24.98
2019-04-29,30846,28.51
2019-05-06,31245,28.88
2019-05-13,24434,22.58
2019-05-20,20841,19.26
2019-05-27,16901,15.62
2019-06-03,17100,15.8
2019-06-10,20735,19.16
2019-06-17,18970,17.53
2019-06-24,27158,25.1
2019-07-01,19614,18.13
2019-07-08,19579,18.1
2019-07-15,24272,22.43
2019-07-22,21590,19.95
2019-07-29,22677,20.96
2019-08-05,42090,38.9
2019-08-12,21744,20.1
2019-08-19,22733,21.01
2019-08-26,31044,28.69
2019-09-02,19493,18.02
2019-09-09,18498,17.1
2019-09-16,21721,20.08
2019-09-23,38165,35.27
2019-09-30,20250,18.72
2019-10-07,21040,19.45
2019-10-14,18720,17.3
2019-10-21,19573,18.09
2019-10-28,22105,20.43
2019-11-04,27844,25.74
2019-11-11,20298,18.76
2019-11-18,24067,22.24
2019-11-25,19611,18.13
2019-12-02,17249,15.94
2019-12-09,19996,18.48
2019-12-16,21007,19.42
2019-12-23,17490,16.17
2019-12-30,14267,13.19
2020-01-06,16256,15.02
2020-01-13,17207,15.9
2020-01-20,17395,16.08
2020-01-27,16814,15.54
2020-02-03,17526,16.2
2020-02-10,16671,15.41
2020-02-17,18446,17.05
2020-02-24,17724,16.38
2020-03-02,22902,21.17
2020-03-09,49137,45.42
2020-03-16,108195,100.0
2020-03-23,56623,52.33
2020-03-30,59383,54.89
2020-04-06,42285,39.08
2020-04-13,43432,40.14
2020-04-20,35629,32.93
2020-04-27,29443,27.21
2020-05-04,30745,28.42
2020-05-11,29661,27.41
2020-05-18,31740,29.34
2020-05-25,23189,21.43
2020-06-01,20155,18.63
2020-06-08,18757,17.34
2020-06-15,25076,23.18
2020-06-22,20007,18.49
2020-06-29,16837,15.56
2020-07-06,18257,16.87
2020-07-13,17979,16.62
2020-07-20,17890,16.53
2020-07-27,17669,16.33
2020-08-03,18502,17.1
2020-08-10,16752,15.48
2020-08-17,15823,14.62
2020-08-24,15596,14.41
2020-08-31,17863,16.51
2020-09-07,15646,14.46
2020-09-14,15770,14.58
