date,views,score
2018-01-01,880,0.24
2018-01-08,6910,1.92
2018-01-15,5743,1.6
2018-01-22,4695,1.31
2018-01-29,4168,1.16
2018-02-05,4157,1.16
2018-02-12,4462,1.24
2018-02-19,4619,1.28
2018-02-26,5001,1.39
2018-03-05,5359,1.49
2018-03-12,5900,1.64
2018-03-19,5702,1.59
2018-03-26,6188,1.72
2018-04-02,5342,1.48
2018-04-09,5563,1.55
2018-04-16,6950,1.93
2018-04-23,7415,2.06
2018-04-30,9908,2.75
2018-05-07,11131,3.09
2018-05-14,30580,8.5
2018-05-21,10296,2.86
2018-05-28,7989,2.22
2018-06-04,5714,1.59
2018-06-11,6160,1.71
2018-06-18,5520,1.53
2018-06-25,4402,1.22
2018-07-02,5849,1.63
2018-07-09,5099,1.42
2018-07-16,4756,1.32
2018-07-23,9415,2.62
2018-07-30,8482,2.36
2018-08-06,6105,1.7
2018-08-13,7135,1.98
2018-08-20,5081,1.41
2018-08-27,4758,1.32
2018-09-03,5063,1.41
2018-09-10,5123,1.42
2018-09-17,5164,1.44
2018-09-24,5415,1.51
2018-10-01,7359,2.05
2018-10-08,8443,2.35
2018-10-15,5522,1.54
2018-10-22,6381,1.77
2018-10-29,5683,1.58
2018-11-05,8659,2.41
2018-11-12,8165,2.27
2018-11-19,5897,1.64
2018-11-26,5899,1.64
2018-12-03,6337,1.76
2018-12-10,7640,2.12
2018-12-17,6217,1.73
2018-12-24,4725,1.31
2018-12-31,4826,1.34
2019-01-07,4377,1.22
2019-01-14,5799,1.61
2019-01-21,5293,1.47
2019-01-28,5482,1.52
2019-02-04,6472,1.8
2019-02-11,6547,1.82
2019-02-18,7219,2.01
2019-02-25,7228,2.01
2019-03-04,6338,1.76
2019-03-11,5736,1.59
2019-03-18,7200,2.0
2019-03-25,6390,1.78
2019-04-01,5616,1.56
2019-04-08,6548,1.82
2019-04-15,7066,1.96
2019-04-22,6317,1.76
2019-04-29,9654,2.68
2019-05-06,9494,2.64
2019-05-13,17396,4.84
2019-05-20,29564,8.22
2019-05-27,19507,5.42
2019-06-03,10553,2.93
2019-06-10,8012,2.23
2019-06-17,26715,7.43
2019-06-24,56159,15.61
2019-07-01,27146,7.55
2019-07-08,16011,4.45
2019-07-15,12493,3.47
2019-07-22,15941,4.43
2019-07-29,11711,3.26
2019-08-05,8148,2.26
2019-08-12,7239,2.01
2019-08-19,6809,1.89
2019-08-26,10890,3.03
2019-09-02,6694,1.86
2019-09-09,7302,2.03
2019-09-16,10263,2.85
2019-09-23,16495,4.59
