date,views,score
2018-01-01,206,1.93
2018-01-08,2711,25.35
2018-01-15,2939,27.48
2018-01-22,3526,32.97
2018-01-29,4128,38.6
2018-02-05,3925,36.7
2018-02-12,3939,36.83
2018-02-19,3836,35.87
2018-02-26,4817,45.04
2018-03-05,4854,45.39
2018-03-12,4852,45.37
2018-03-19,4411,41.25
2018-03-26,3829,35.81
2018-04-02,3530,33.01
2018-04-09,4064,38.0
2018-04-16,4378,40.94
2018-04-23,4166,38.96
2018-04-30,4165,38.95
2018-05-07,4757,44.48
2018-05-14,4500,42.08
2018-05-21,4140,38.71
2018-05-28,4159,38.89
2018-06-04,3601,33.67
2018-06-11,3058,28.6
2018-06-18,2677,25.03
2018-06-25,2551,23.85
2018-07-02,2728,25.51
2018-07-09,2424,22.67
2018-07-16,2681,25.07
2018-07-23,3067,28.68
2018-07-30,2875,26.88
2018-08-06,3907,36.53
2018-08-13,3208,30.0
2018-08-20,2900,27.12
2018-08-27,3367,31.48
2018-09-03,3433,32.1
2018-09-10,4108,38.41
2018-09-17,4353,40.71
2018-09-24,3776,35.31
2018-10-01,4516,42.23
2018-10-08,3934,36.79
2018-10-15,3479,32.53
2018-10-22,6814,63.72
2018-10-29,4244,39.69
2018-11-05,4246,39.7
2018-11-12,4373,40.89
2018-11-19,4428,41.41
2018-11-26,4773,44.63
2018-12-03,4380,40.96
2018-12-10,5644,52.78
2018-12-17,5483,51.27
2018-12-24,3699,34.59
2018-12-31,2545,23.8
2019-01-07,3637,34.01
2019-01-14,4887,45.7
2019-01-21,5666,52.98
2019-01-28,5775,54.0
2019-02-04,4996,46.72
2019-02-11,5143,48.09
2019-02-18,5308,49.64
2019-02-25,4568,42.72
2019-03-04,4174,39.03
2019-03-11,4069,38.05
2019-03-18,3993,37.34
2019-03-25,3395,31.75
2019-04-01,4237,39.62
2019-04-08,3890,36.38
2019-04-15,4751,44.43
2019-04-22,3853,36.03
2019-04-29,4279,40.01
2019-05-06,4470,41.8
2019-05-13,4429,41.42
2019-05-20,3731,34.89
2019-05-27,3701,34.61
2019-06-03,3384,31.64
2019-06-10,3558,33.27
2019-06-17,3847,35.97
2019-06-24,3359,31.41
2019-07-01,3073,28.74
2019-07-08,2743,25.65
2019-07-15,3085,28.85
2019-07-22,3282,30.69
2019-07-29,3323,31.07
2019-08-05,4540,42.45
2019-08-12,3236,30.26
2019-08-19,3441,32.18
2019-08-26,3523,32.94
2019-09-02,3617,33.82
2019-09-09,3843,35.94
2019-09-16,4623,43.23
2019-09-23,5059,47.31
2019-09-30,5668,53.0
2019-10-07,4918,45.99
2019-10-14,4431,41.43
2019-10-21,6402,59.87
2019-10-28,4306,40.27
2019-11-04,4482,41.91
2019-11-11,4931,46.11
2019-11-18,5521,51.63
2019-11-25,5455,51.01
2019-12-02,4704,43.99
2019-12-09,5649,52.82
2019-12-16,4351,40.69
2019-12-23,3774,35.29
2019-12-30,2294,21.45
2020-01-06,2509,23.46
2020-01-13,3719,34.78
2020-01-20,3484,32.58
2020-01-27,3850,36.0
2020-02-03,4024,37.63
2020-02-10,4302,40.23
2020-02-17,4000,37.4
2020-02-24,4325,40.44
2020-03-02,4073,38.09
2020-03-09,3919,36.65
2020-03-16,3564,33.33
2020-03-23,3503,32.76
2020-03-30,3803,35.56
2020-04-06,4341,40.59
2020-04-13,3768,35.23
2020-04-20,3587,33.54
2020-04-27,3465,32.4
2020-05-04,3858,36.08
2020-05-11,3295,30.81
2020-05-18,2593,24.25
2020-05-25,2315,21.65
2020-06-01,2764,25.85
2020-06-08,2913,27.24
2020-06-15,2539,23.74
2020-06-22,2643,24.71
2020-06-29,2033,19.01
2020-07-06,1946,18.2
2020-07-13,1996,18.66
2020-07-20,2098,19.62
2020-07-27,2189,20.47
2020-08-03,2061,19.27
2020-08-10,2305,21.55
2020-08-17,2848,26.63
2020-08-24,2520,23.56
2020-08-31,4122,38.54
2020-09-07,2962,27.7
2020-09-14,3291,30.77
2020-09-21,2992,27.98
2020-09-28,3221,30.12
2020-10-05,2890,27.02
2020-10-12,3728,34.86
2020-10-19,3177,29.71
2020-10-26,3054,28.56
2020-11-02,3147,29.43
2020-11-09,2928,27.38
2020-11-16,10694,100.0
2020-11-23,3323,31.07
2020-11-30,2986,27.92
2020-12-07,3122,29.19
2020-12-14,3202,29.94
2020-12-21,2737,25.59
2020-12-28,1871,17.5
2021-01-04,1929,18.04
2021-01-11,2680,25.06
2021-01-18,2413,22.56
2021-01-25,2716,25.4
2021-02-01,2669,24.96
2021-02-08,2963,27.71
2021-02-15,3388,31.68
2021-02-22,2905,27.16
2021-03-01,3154,29.49
2021-03-08,2928,27.38
2021-03-15,2944,27.53
2021-03-22,2885,26.98
2021-03-29,2920,27.31
2021-04-05,2514,23.51
2021-04-12,2739,25.61
2021-04-19,2585,24.17
