date,views,score
2018-01-01,6836,0.07
2018-01-08,54550,0.58
2018-01-15,48428,0.51
2018-01-22,49070,0.52
2018-01-29,44451,0.47
2018-02-05,45677,0.49
2018-02-12,47334,0.5
2018-02-19,41705,0.44
2018-02-26,39793,0.42
2018-03-05,41416,0.44
2018-03-12,38372,0.41
2018-03-19,39443,0.42
2018-03-26,42754,0.45
2018-04-02,76719,0.82
2018-04-09,82916,0.88
2018-04-16,69420,0.74
2018-04-23,58222,0.62
2018-04-30,50954,0.54
2018-05-07,46901,0.5
2018-05-14,151703,1.61
2018-05-21,390095,4.15
2018-05-28,81983,0.87
2018-06-04,81357,0.87
2018-06-11,67058,0.71
2018-06-18,46418,0.49
2018-06-25,43500,0.46
2018-07-02,35446,0.38
2018-07-09,34419,0.37
2018-07-16,43327,0.46
2018-07-23,57461,0.61
2018-07-30,44704,0.48
2018-08-06,40328,0.43
2018-08-13,48873,0.52
2018-08-20,40594,0.43
2018-08-27,37626,0.4
2018-09-03,38115,0.41
2018-09-10,40110,0.43
2018-09-17,37297,0.4
2018-09-24,35252,0.37
2018-10-01,35435,0.38
2018-10-08,33772,0.36
2018-10-15,43361,0.46
2018-10-22,42413,0.45
2018-10-29,45853,0.49
2018-11-05,41908,0.45
2018-11-12,51039,0.54
2018-11-19,87468,0.93
2018-11-26,44858,0.48
2018-12-03,48903,0.52
2018-12-10,47010,0.5
2018-12-17,45898,0.49
2018-12-24,34754,0.37
2018-12-31,35558,0.38
2019-01-07,40475,0.43
2019-01-14,46200,0.49
2019-01-21,46164,0.49
2019-01-28,43802,0.47
2019-02-04,43091,0.46
2019-02-11,43534,0.46
2019-02-18,48368,0.51
2019-02-25,46895,0.5
2019-03-04,51216,0.54
2019-03-11,60319,0.64
2019-03-18,68143,0.72
2019-03-25,74393,0.79
2019-04-01,94519,1.0
2019-04-08,57388,0.61
2019-04-15,56829,0.6
2019-04-22,44049,0.47
2019-04-29,43571,0.46
2019-05-06,115521,1.23
2019-05-13,85627,0.91
2019-05-20,103528,1.1
2019-05-27,49990,0.53
2019-06-03,44127,0.47
2019-06-10,38871,0.41
2019-06-17,37919,0.4
2019-06-24,38677,0.41
2019-07-01,42958,0.46
2019-07-08,29918,0.32
2019-07-15,33256,0.35
2019-07-22,38826,0.41
2019-07-29,35957,0.38
2019-08-05,37466,0.4
2019-08-12,38503,0.41
2019-08-19,54515,0.58
2019-08-26,46676,0.5
2019-09-02,39448,0.42
2019-09-09,39193,0.42
2019-09-16,52024,0.55
2019-09-23,45900,0.49
2019-09-30,37831,0.4
2019-10-07,42415,0.45
2019-10-14,40553,0.43
2019-10-21,37425,0.4
2019-10-28,36495,0.39
2019-11-04,43668,0.46
2019-11-11,40966,0.44
2019-11-18,83141,0.88
2019-11-25,58863,0.63
2019-12-02,44631,0.47
2019-12-09,44436,0.47
2019-12-16,42122,0.45
2019-12-23,33990,0.36
2019-12-30,36914,0.39
2020-01-06,69824,0.74
2020-01-13,65169,0.69
2020-01-20,42334,0.45
2020-01-27,41253,0.44
2020-02-03,85686,0.91
2020-02-10,44263,0.47
2020-02-17,40248,0.43
2020-02-24,41435,0.44
2020-03-02,41033,0.44
2020-03-09,38773,0.41
2020-03-16,30737,0.33
2020-03-23,37267,0.4
2020-03-30,40384,0.43
2020-04-06,45659,0.49
2020-04-13,53082,0.56
2020-04-20,100716,1.07
2020-04-27,103347,1.1
2020-05-04,91296,0.97
2020-05-11,73247,0.78
2020-05-18,71730,0.76
2020-05-25,64278,0.68
2020-06-01,52874,0.56
2020-06-08,51331,0.55
2020-06-15,46395,0.49
2020-06-22,45547,0.48
2020-06-29,54245,0.58
2020-07-06,56166,0.6
2020-07-13,48730,0.52
2020-07-20,71858,0.76
2020-07-27,48700,0.52
2020-08-03,43389,0.46
2020-08-10,68168,0.72
2020-08-17,70818,0.75
2020-08-24,66883,0.71
2020-08-31,51129,0.54
2020-09-07,46097,0.49
2020-09-14,44673,0.47
2020-09-21,54714,0.58
2020-09-28,40526,0.43
2020-10-05,36058,0.38
2020-10-12,37121,0.39
2020-10-19,38327,0.41
2020-10-26,40924,0.44
2020-11-02,44239,0.47
2020-11-09,43904,0.47
2020-11-16,45168,0.48
2020-11-23,47095,0.5
2020-11-30,44810,0.48
2020-12-07,44416,0.47
2020-12-14,44923,0.48
2020-12-21,39401,0.42
2020-12-28,43945,0.47
2021-01-04,48922,0.52
2021-01-11,41975,0.45
2021-01-18,44627,0.47
2021-01-25,46317,0.49
2021-02-01,44471,0.47
2021-02-08,41629,0.44
2021-02-15,41098,0.44
2021-02-22,45510,0.48
2021-03-01,48006,0.51
2021-03-08,52281,0.56
2021-03-15,47753,0.51
2021-03-22,47534,0.51
2021-03-29,50647,0.54
2021-04-05,46026,0.49
2021-04-12,55287,0.59
2021-04-19,47221,0.5
2021-04-26,52539,0.56
2021-05-03,53962,0.57
2021-05-10,182522,1.94
2021-05-17,4763907,50.65
2021-05-24,1809940,19.24
2021-05-31,359720,3.82
2021-06-07,163441,1.74
2021-06-14,112940,1.2
2021-06-21,96375,1.02
2021-06-28,58601,0.62
2021-07-05,49431,0.53
2021-07-12,43279,0.46
2021-07-19,40180,0.43
2021-07-26,46192,0.49
2021-08-02,39075,0.42
2021-08-09,38834,0.41
2021-08-16,50301,0.53
2021-08-23,58714,0.62
2021-08-30,46671,0.5
2021-09-06,40584,0.43
2021-09-13,41921,0.45
2021-09-20,38197,0.41
2021-09-27,39458,0.42
2021-10-04,42286,0.45
2021-10-11,32001,0.34
2021-10-18,32950,0.35
2021-10-25,32300,0.34
2021-11-01,32381,0.34
2021-11-08,30382,0.32
2021-11-15,33833,0.36
2021-11-22,43922,0.47
2021-11-29,33769,0.36
2021-12-06,33664,0.36
2021-12-13,36214,0.39
2021-12-20,32298,0.34
2021-12-27,38730,0.41
2022-01-03,46962,0.5
