date,views,score
2018-01-01,384,0.08
2018-01-08,4422,0.95
2018-01-15,5214,1.12
2018-01-22,5761,1.24
2018-01-29,5210,1.12
2018-02-05,5622,1.21
2018-02-12,6937,1.49
2018-02-19,5089,1.09
2018-02-26,5853,1.26
2018-03-05,6144,1.32
2018-03-12,6255,1.34
2018-03-19,5839,1.26
2018-03-26,6431,1.38
2018-04-02,4998,1.07
2018-04-09,5373,1.16
2018-04-16,5704,1.23
2018-04-23,6608,1.42
2018-04-30,6575,1.41
2018-05-07,5932,1.28
2018-05-14,6072,1.31
2018-05-21,5887,1.27
2018-05-28,5426,1.17
2018-06-04,4942,1.06
2018-06-11,5114,1.1
2018-06-18,5102,1.1
2018-06-25,6040,1.3
2018-07-02,6176,1.33
2018-07-09,4894,1.05
2018-07-16,4590,0.99
2018-07-23,4934,1.06
2018-07-30,4970,1.07
2018-08-06,5558,1.2
2018-08-13,5068,1.09
2018-08-20,5321,1.14
2018-08-27,5323,1.14
2018-09-03,5465,1.18
2018-09-10,9846,2.12
2018-09-17,9438,2.03
2018-09-24,6630,1.43
2018-10-01,6097,1.31
2018-10-08,6167,1.33
2018-10-15,7479,1.61
2018-10-22,6895,1.48
2018-10-29,7675,1.65
2018-11-05,7242,1.56
2018-11-12,6724,1.45
2018-11-19,7882,1.69
2018-11-26,8117,1.75
2018-12-03,8125,1.75
2018-12-10,13512,2.91
2018-12-17,11388,2.45
2018-12-24,12303,2.65
2018-12-31,8522,1.83
2019-01-07,8514,1.83
2019-01-14,7991,1.72
2019-01-21,8486,1.82
2019-01-28,9402,2.02
2019-02-04,9462,2.03
2019-02-11,8671,1.86
2019-02-18,7765,1.67
2019-02-25,8163,1.76
2019-03-04,8848,1.9
2019-03-11,9456,2.03
2019-03-18,7804,1.68
2019-03-25,11882,2.55
2019-04-01,10593,2.28
2019-04-08,8610,1.85
2019-04-15,8602,1.85
2019-04-22,7476,1.61
2019-04-29,7825,1.68
2019-05-06,7962,1.71
2019-05-13,7448,1.6
2019-05-20,8276,1.78
2019-05-27,6041,1.3
2019-06-03,6963,1.5
2019-06-10,7319,1.57
2019-06-17,6983,1.5
2019-06-24,6264,1.35
2019-07-01,6145,1.32
2019-07-08,6425,1.38
2019-07-15,6490,1.4
2019-07-22,6453,1.39
2019-07-29,6803,1.46
2019-08-05,8236,1.77
2019-08-12,12598,2.71
2019-08-19,67576,14.53
2019-08-26,34568,7.43
2019-09-02,21865,4.7
2019-09-09,20202,4.34
2019-09-16,16674,3.59
2019-09-23,14573,3.13
2019-09-30,12468,2.68
2019-10-07,14082,3.03
2019-10-14,12076,2.6
2019-10-21,10839,2.33
2019-10-28,9556,2.05
2019-11-04,11255,2.42
2019-11-11,9593,2.06
2019-11-18,10059,2.16
2019-11-25,8486,1.82
2019-12-02,9612,2.07
2019-12-09,8608,1.85
2019-12-16,7715,1.66
2019-12-23,6824,1.47
2019-12-30,5299,1.14
2020-01-06,5979,1.29
2020-01-13,6763,1.45
2020-01-20,6627,1.42
2020-01-27,7692,1.65
2020-02-03,6818,1.47
2020-02-10,6815,1.47
2020-02-17,7035,1.51
2020-02-24,7522,1.62
2020-03-02,15729,3.38
2020-03-09,23161,4.98
2020-03-16,70038,15.06
2020-03-23,86238,18.54
2020-03-30,62680,13.48
2020-04-06,46103,9.91
2020-04-13,38367,8.25
2020-04-20,34433,7.4
2020-04-27,21618,4.65
2020-05-04,22153,4.76
2020-05-11,20685,4.45
2020-05-18,27358,5.88
2020-05-25,14820,3.19
2020-06-01,9515,2.05
2020-06-08,20899,4.49
2020-06-15,14674,3.16
2020-06-22,7062,1.52
2020-06-29,6135,1.32
2020-07-06,5354,1.15
2020-07-13,5545,1.19
2020-07-20,7709,1.66
2020-07-27,7208,1.55
2020-08-03,9017,1.94
2020-08-10,9313,2.0
2020-08-17,35049,7.54
2020-08-24,6942,1.49
2020-08-31,6456,1.39
2020-09-07,10923,2.35
2020-09-14,5950,1.28
2020-09-21,6894,1.48
2020-09-28,5942,1.28
2020-10-05,5231,1.12
2020-10-12,6186,1.33
2020-10-19,5515,1.19
2020-10-26,5608,1.21
2020-11-02,5537,1.19
2020-11-09,6449,1.39
2020-11-16,7419,1.6
2020-11-23,7320,1.57
2020-11-30,8325,1.79
2020-12-07,6259,1.35
2020-12-14,5343,1.15
2020-12-21,4440,0.95
2020-12-28,3275,0.7
2021-01-04,3655,0.79
2021-01-11,4714,1.01
2021-01-18,4256,0.92
2021-01-25,4021,0.86
2021-02-01,5703,1.23
2021-02-08,4306,0.93
2021-02-15,4379,0.94
2021-02-22,4494,0.97
2021-03-01,6638,1.43
2021-03-08,5120,1.1
2021-03-15,4363,0.94
2021-03-22,3893,0.84
2021-03-29,3539,0.76
2021-04-05,3216,0.69
2021-04-12,3550,0.76
2021-04-19,3345,0.72
2021-04-26,3235,0.7
2021-05-03,3295,0.71
2021-05-10,3178,0.68
2021-05-17,3312,0.71
2021-05-24,3076,0.66
2021-05-31,2882,0.62
2021-06-07,2802,0.6
2021-06-14,2686,0.58
2021-06-21,2645,0.57
2021-06-28,2554,0.55
2021-07-05,2965,0.64
2021-07-12,2989,0.64
2021-07-19,2987,0.64
2021-07-26,3002,0.65
2021-08-02,2991,0.64
2021-08-09,2732,0.59
2021-08-16,2514,0.54
2021-08-23,3302,0.71
2021-08-30,2949,0.63
2021-09-06,3063,0.66
2021-09-13,3212,0.69
2021-09-20,3731,0.8
2021-09-27,3605,0.78
2021-10-04,4247,0.91
2021-10-11,4584,0.99
2021-10-18,4021,0.86
2021-10-25,4112,0.88
2021-11-01,3731,0.8
2021-11-08,3373,0.73
2021-11-15,4034,0.87
2021-11-22,3881,0.83
2021-11-29,3843,0.83
2021-12-06,3761,0.81
2021-12-13,3915,0.84
2021-12-20,3367,0.72
2021-12-27,2580,0.55
2022-01-03,3224,0.69
2022-01-10,3460,0.74
2022-01-17,3799,0.82
2022-01-24,5358,1.15
2022-01-31,5564,1.2
2022-02-07,4677,1.01
2022-02-14,5689,1.22
2022-02-21,5469,1.18
2022-02-28,5901,1.27
2022-03-07,8200,1.76
2022-03-14,15076,3.24
2022-03-21,11709,2.52
2022-03-28,8623,1.85
2022-04-04,11679,2.51
2022-04-11,19134,4.11
2022-04-18,16580,3.56
2022-04-25,10633,2.29
2022-05-02,26785,5.76
2022-05-09,20588,4.43
2022-05-16,24679,5.31
2022-05-23,42919,9.23
2022-05-30,19912,4.28
2022-06-06,23787,5.11
2022-06-13,44599,9.59
2022-06-20,100253,21.56
2022-06-27,43671,9.39
2022-07-04,26473,5.69
2022-07-11,31389,6.75
2022-07-18,26791,5.76
2022-07-25,31526,6.78
2022-08-01,465101,100.0
2022-08-08,139810,30.06
2022-08-15,31009,6.67
2022-08-22,19103,4.11
2022-08-29,36985,7.95
2022-09-05,16159,3.47
2022-09-12,14009,3.01
2022-09-19,18675,4.02
2022-09-26,30422,6.54
2022-10-03,24903,5.35
2022-10-10,19908,4.28
2022-10-17,31109,6.69
2022-10-24,27114,5.83
2022-10-31,19939,4.29
2022-11-07,26863,5.78
2022-11-14,27965,6.01
2022-11-21,27916,6.0
2022-11-28,19195,4.13
2022-12-05,15007,3.23
2022-12-12,14237,3.06
2022-12-19,13063,2.81
2022-12-26,10351,2.23
2023-01-02,10449,2.25
2023-01-09,13891,2.99
2023-01-16,13642,2.93
2023-01-23,17231,3.7
2023-01-30,14273,3.07
2023-02-06,11541,2.48
2023-02-13,9875,2.12
2023-02-20,7901,1.7
2023-02-27,9683,2.08
2023-03-06,9667,2.08
2023-03-13,10149,2.18
2023-03-20,11523,2.48
2023-03-27,10604,2.28
2023-04-03,7697,1.65
