date,views,score
2018-01-01,8,0.0
2018-01-08,28,0.0
2018-01-15,28,0.0
2018-01-22,26,0.0
2018-01-29,34,0.0
2018-02-05,24,0.0
2018-02-12,26,0.0
2018-02-19,29,0.0
2018-02-26,31,0.0
2018-03-05,43,0.0
2018-03-12,40,0.0
2018-03-19,28,0.0
2018-03-26,31,0.0
2018-04-02,40,0.0
2018-04-09,39,0.0
2018-04-16,43,0.0
2018-04-23,37,0.0
2018-04-30,26,0.0
2018-05-07,33,0.0
2018-05-14,36,0.0
2018-05-21,24,0.0
2018-05-28,48,0.0
2018-06-04,38,0.0
2018-06-11,36,0.0
2018-06-18,30,0.0
2018-06-25,39,0.0
2018-07-02,28,0.0
2018-07-09,31,0.0
2018-07-16,32,0.0
2018-07-23,43,0.0
2018-07-30,42,0.0
2018-08-06,40,0.0
2018-08-13,35,0.0
2018-08-20,27,0.0
2018-08-27,33,0.0
2018-09-03,38,0.0
2018-09-10,35,0.0
2018-09-17,33,0.0
2018-09-24,29,0.0
2018-10-01,25,0.0
2018-10-08,24,0.0
2018-10-15,26,0.0
2018-10-22,21,0.0
2018-10-29,34,0.0
2018-11-05,25,0.0
2018-11-12,21,0.0
2018-11-19,31,0.0
2018-11-26,127,0.0
2018-12-03,138,0.0
2018-12-10,40,0.0
2018-12-17,23,0.0
2018-12-24,17,0.0
2018-12-31,14,0.0
2019-01-07,22,0.0
2019-01-14,17,0.0
2019-01-21,18,0.0
2019-01-28,15,0.0
2019-02-04,30,0.0
2019-02-11,20,0.0
2019-02-18,24,0.0
2019-02-25,18,0.0
2019-03-04,21,0.0
2019-03-11,25,0.0
2019-03-18,19,0.0
2019-03-25,29,0.0
2019-04-01,21,0.0
2019-04-08,34,0.0
2019-04-15,20,0.0
2019-04-22,24,0.0
2019-04-29,30,0.0
2019-05-06,20,0.0
2019-05-13,21,0.0
2019-05-20,23,0.0
2019-05-27,15,0.0
2019-06-03,32,0.0
2019-06-10,16,0.0
2019-06-17,31,0.0
2019-06-24,24,0.0
2019-07-01,14,0.0
2019-07-08,26,0.0
2019-07-15,33,0.0
2019-07-22,26,0.0
2019-07-29,19,0.0
2019-08-05,18,0.0
2019-08-12,22,0.0
2019-08-19,27,0.0
2019-08-26,34,0.0
2019-09-02,20,0.0
2019-09-09,13,0.0
2019-09-16,17,0.0
2019-09-23,22,0.0
2019-09-30,37,0.0
2019-10-07,28,0.0
2019-10-14,19,0.0
2019-10-21,29,0.0
2019-10-28,31,0.0
2019-11-04,37,0.0
2019-11-11,24,0.0
2019-11-18,66,0.0
2019-11-25,56,0.0
2019-12-02,41,0.0
2019-12-09,27,0.0
2019-12-16,27,0.0
2019-12-23,35,0.0
2019-12-30,23,0.0
2020-01-06,30,0.0
2020-01-13,46,0.0
2020-01-20,45,0.0
2020-01-27,55,0.0
2020-02-03,33,0.0
2020-02-10,48,0.0
2020-02-17,43,0.0
2020-02-24,49,0.0
2020-03-02,52,0.0
2020-03-09,37,0.0
2020-03-16,43,0.0
2020-03-23,31,0.0
2020-03-30,80,0.0
2020-04-06,63,0.0
2020-04-13,62,0.0
2020-04-20,65,0.0
2020-04-27,51,0.0
2020-05-04,74,0.0
2020-05-11,55,0.0
2020-05-18,38,0.0
2020-05-25,39,0.0
2020-06-01,37,0.0
2020-06-08,41,0.0
2020-06-15,96,0.0
2020-06-22,4372,0.09
2020-06-29,6753,0.15
2020-07-06,7535,0.16
2020-07-13,7531,0.16
2020-07-20,7968,0.17
2020-07-27,8571,0.18
2020-08-03,8069,0.17
2020-08-10,8134,0.17
2020-08-17,12473,0.27
2020-08-24,10354,0.22
2020-08-31,8968,0.19
2020-09-07,8102,0.17
2020-09-14,8087,0.17
2020-09-21,7766,0.17
2020-09-28,8568,0.18
2020-10-05,9518,0.2
2020-10-12,9376,0.2
2020-10-19,9584,0.21
2020-10-26,11187,0.24
2020-11-02,8765,0.19
2020-11-09,8621,0.19
2020-11-16,8646,0.19
2020-11-23,8596,0.18
2020-11-30,9684,0.21
2020-12-07,10883,0.23
2020-12-14,8750,0.19
2020-12-21,8278,0.18
2020-12-28,7362,0.16
2021-01-04,8014,0.17
2021-01-11,9183,0.2
2021-01-18,9848,0.21
2021-01-25,11214,0.24
2021-02-01,10251,0.22
2021-02-08,10358,0.22
2021-02-15,10000,0.21
2021-02-22,10893,0.23
2021-03-01,12767,0.27
2021-03-08,14805,0.32
2021-03-15,17162,0.37
2021-03-22,15899,0.34
2021-03-29,13963,0.3
2021-04-05,42517,0.91
2021-04-12,64217,1.38
2021-04-19,69667,1.5
2021-04-26,47133,1.01
2021-05-03,19059,0.41
2021-05-10,15712,0.34
2021-05-17,15414,0.33
2021-05-24,13731,0.3
2021-05-31,12219,0.26
2021-06-07,11980,0.26
2021-06-14,15063,0.32
2021-06-21,14401,0.31
2021-06-28,12318,0.26
2021-07-05,17360,0.37
2021-07-12,9591,0.21
2021-07-19,9173,0.2
2021-07-26,9061,0.19
2021-08-02,8762,0.19
2021-08-09,9736,0.21
2021-08-16,10966,0.24
2021-08-23,12333,0.27
2021-08-30,12414,0.27
2021-09-06,10911,0.23
2021-09-13,11595,0.25
2021-09-20,10747,0.23
2021-09-27,10506,0.23
2021-10-04,10933,0.24
2021-10-11,10869,0.23
2021-10-18,10875,0.23
2021-10-25,11782,0.25
2021-11-01,12615,0.27
2021-11-08,12865,0.28
2021-11-15,26460,0.57
2021-11-22,32847,0.71
2021-11-29,35491,0.76
2021-12-06,56528,1.22
2021-12-13,85451,1.84
2021-12-20,41252,0.89
2021-12-27,39676,0.85
2022-01-03,33139,0.71
2022-01-10,30766,0.66
2022-01-17,57621,1.24
2022-01-24,215616,4.64
2022-01-31,208700,4.49
2022-02-07,108362,2.33
