date,views,score
2018-01-01,1348,4.25
2018-01-08,13634,42.95
2018-01-15,14300,45.05
2018-01-22,16036,50.52
2018-01-29,15739,49.58
2018-02-05,17127,53.96
2018-02-12,15829,49.87
2018-02-19,15872,50.0
2018-02-26,18726,58.99
2018-03-05,19354,60.97
2018-03-12,19053,60.02
2018-03-19,17023,53.63
2018-03-26,15229,47.98
2018-04-02,12153,38.29
2018-04-09,13431,42.31
2018-04-16,14022,44.17
2018-04-23,14833,46.73
2018-04-30,14436,45.48
2018-05-07,18773,59.14
2018-05-14,15734,49.57
2018-05-21,15492,48.81
2018-05-28,14892,46.92
2018-06-04,16164,50.92
2018-06-11,14441,45.49
2018-06-18,13177,41.51
2018-06-25,14054,44.28
2018-07-02,14477,45.61
2018-07-09,14363,45.25
2018-07-16,13911,43.83
2018-07-23,15007,47.28
2018-07-30,14450,45.52
2018-08-06,16021,50.47
2018-08-13,15665,49.35
2018-08-20,14364,45.25
2018-08-27,13654,43.02
2018-09-03,15168,47.79
2018-09-10,18595,58.58
2018-09-17,16801,52.93
2018-09-24,16556,52.16
2018-10-01,17551,55.29
2018-10-08,19297,60.79
2018-10-15,18996,59.85
2018-10-22,17449,54.97
2018-10-29,18512,58.32
2018-11-05,18186,57.29
2018-11-12,17571,55.36
2018-11-19,18896,59.53
2018-11-26,17184,54.14
2018-12-03,20393,64.25
2018-12-10,20291,63.92
2018-12-17,16846,53.07
2018-12-24,12954,40.81
2018-12-31,12339,38.87
2019-01-07,14891,46.91
2019-01-14,16284,51.3
2019-01-21,16813,52.97
2019-01-28,19361,60.99
2019-02-04,20565,64.79
2019-02-11,21958,69.18
2019-02-18,18906,59.56
2019-02-25,21310,67.14
2019-03-04,22114,69.67
2019-03-11,21822,68.75
2019-03-18,18988,59.82
2019-03-25,18427,58.05
2019-04-01,18987,59.82
2019-04-08,20736,65.33
2019-04-15,19796,62.37
2019-04-22,17220,54.25
2019-04-29,19749,62.22
2019-05-06,21899,68.99
2019-05-13,20297,63.94
2019-05-20,19132,60.27
2019-05-27,17047,53.7
2019-06-03,15113,47.61
2019-06-10,15741,49.59
2019-06-17,15871,50.0
2019-06-24,16416,51.72
2019-07-01,15473,48.75
2019-07-08,15678,49.39
2019-07-15,14694,46.29
2019-07-22,15460,48.71
2019-07-29,15276,48.13
2019-08-05,14278,44.98
2019-08-12,12640,39.82
2019-08-19,12913,40.68
2019-08-26,13694,43.14
2019-09-02,13943,43.93
