date,views,score
2018-01-01,437,0.18
2018-01-08,4539,1.9
2018-01-15,5450,2.28
2018-01-22,5904,2.47
2018-01-29,10291,4.31
2018-02-05,5887,2.47
2018-02-12,5919,2.48
2018-02-19,5455,2.29
2018-02-26,5575,2.34
2018-03-05,27226,11.41
2018-03-12,32289,13.53
2018-03-19,9522,3.99
2018-03-26,14668,6.15
2018-04-02,10970,4.6
2018-04-09,28550,11.97
2018-04-16,8812,3.69
2018-04-23,6976,2.92
2018-04-30,6322,2.65
2018-05-07,6522,2.73
2018-05-14,5820,2.44
2018-05-21,5550,2.33
2018-05-28,5487,2.3
2018-06-04,23039,9.66
2018-06-11,22084,9.26
2018-06-18,25237,10.58
2018-06-25,21573,9.04
2018-07-02,20004,8.39
2018-07-09,23950,10.04
2018-07-16,14686,6.16
2018-07-23,9992,4.19
2018-07-30,17172,7.2
2018-08-06,10914,4.57
2018-08-13,11162,4.68
2018-08-20,8873,3.72
2018-08-27,9509,3.99
2018-09-03,8070,3.38
2018-09-10,8942,3.75
2018-09-17,9397,3.94
2018-09-24,16324,6.84
2018-10-01,10485,4.4
2018-10-08,7550,3.16
2018-10-15,7805,3.27
2018-10-22,7192,3.01
2018-10-29,8245,3.46
2018-11-05,7094,2.97
2018-11-12,7192,3.01
2018-11-19,7549,3.16
2018-11-26,7135,2.99
2018-12-03,10710,4.49
2018-12-10,12811,5.37
2018-12-17,8045,3.37
2018-12-24,4896,2.05
2018-12-31,3989,1.67
2019-01-07,7238,3.03
2019-01-14,7372,3.09
2019-01-21,6913,2.9
2019-01-28,7276,3.05
2019-02-04,6574,2.76
2019-02-11,7290,3.06
2019-02-18,7346,3.08
2019-02-25,7182,3.01
2019-03-04,7329,3.07
2019-03-11,7962,3.34
2019-03-18,7117,2.98
2019-03-25,6142,2.57
2019-04-01,6443,2.7
2019-04-08,7601,3.19
2019-04-15,7329,3.07
2019-04-22,5812,2.44
2019-04-29,6520,2.73
2019-05-06,8682,3.64
2019-05-13,31850,13.35
2019-05-20,21589,9.05
2019-05-27,11535,4.84
2019-06-03,21305,8.93
2019-06-10,18824,7.89
2019-06-17,9844,4.13
2019-06-24,7470,3.13
2019-07-01,7556,3.17
2019-07-08,5550,2.33
2019-07-15,5519,2.31
2019-07-22,4640,1.94
2019-07-29,5085,2.13
2019-08-05,11125,4.66
2019-08-12,6922,2.9
2019-08-19,8291,3.48
2019-08-26,13199,5.53
