date,views,score
2018-01-01,4474,0.21
2018-01-08,33374,1.6
2018-01-15,38874,1.86
2018-01-22,44341,2.12
2018-01-29,37079,1.78
2018-02-05,34951,1.67
2018-02-12,39785,1.9
2018-02-19,46257,2.21
2018-02-26,50457,2.42
2018-03-05,44050,2.11
2018-03-12,46776,2.24
2018-03-19,43971,2.11
2018-03-26,42825,2.05
2018-04-02,47789,2.29
2018-04-09,40853,1.96
2018-04-16,40876,1.96
2018-04-23,39826,1.91
2018-04-30,43491,2.08
2018-05-07,44722,2.14
2018-05-14,50515,2.42
2018-05-21,70959,3.4
2018-05-28,68490,3.28
2018-06-04,45392,2.17
2018-06-11,39501,1.89
2018-06-18,41519,1.99
2018-06-25,46506,2.23
2018-07-02,52971,2.54
2018-07-09,61912,2.96
2018-07-16,39699,1.9
2018-07-23,40567,1.94
2018-07-30,59565,2.85
2018-08-06,86626,4.15
2018-08-13,57898,2.77
2018-08-20,68858,3.3
2018-08-27,117582,5.63
2018-09-03,70057,3.35
2018-09-10,57927,2.77
2018-09-17,54440,2.61
2018-09-24,55825,2.67
2018-10-01,51842,2.48
2018-10-08,44825,2.15
2018-10-15,51994,2.49
2018-10-22,52290,2.5
2018-10-29,51353,2.46
2018-11-05,50746,2.43
2018-11-12,46652,2.23
2018-11-19,41785,2.0
2018-11-26,39509,1.89
2018-12-03,51936,2.49
2018-12-10,50375,2.41
2018-12-17,49876,2.39
2018-12-24,41911,2.01
2018-12-31,46094,2.21
2019-01-07,42320,2.03
2019-01-14,78232,3.75
2019-01-21,56675,2.71
2019-01-28,365377,17.49
2019-02-04,216227,10.35
2019-02-11,138318,6.62
2019-02-18,87115,4.17
2019-02-25,138334,6.62
2019-03-04,88840,4.25
2019-03-11,85151,4.08
2019-03-18,85187,4.08
2019-03-25,64485,3.09
2019-04-01,86013,4.12
2019-04-08,66957,3.21
2019-04-15,66965,3.21
2019-04-22,51190,2.45
2019-04-29,48301,2.31
2019-05-06,164811,7.89
2019-05-13,57098,2.73
2019-05-20,48051,2.3
2019-05-27,41613,1.99
2019-06-03,43565,2.09
2019-06-10,44031,2.11
2019-06-17,41383,1.98
2019-06-24,40287,1.93
2019-07-01,40455,1.94
2019-07-08,38486,1.84
2019-07-15,35536,1.7
2019-07-22,37867,1.81
2019-07-29,38513,1.84
2019-08-05,34522,1.65
2019-08-12,41739,2.0
2019-08-19,34264,1.64
2019-08-26,38309,1.83
2019-09-02,34899,1.67
2019-09-09,40619,1.94
2019-09-16,39041,1.87
2019-09-23,38488,1.84
2019-09-30,39155,1.87
2019-10-07,38284,1.83
2019-10-14,37153,1.78
2019-10-21,39923,1.91
2019-10-28,36633,1.75
2019-11-04,105407,5.05
2019-11-11,92709,4.44
2019-11-18,72445,3.47
2019-11-25,52977,2.54
2019-12-02,46535,2.23
2019-12-09,42441,2.03
2019-12-16,41547,1.99
2019-12-23,63532,3.04
2019-12-30,35303,1.69
2020-01-06,43017,2.06
2020-01-13,46401,2.22
2020-01-20,41823,2.0
2020-01-27,40923,1.96
2020-02-03,40366,1.93
2020-02-10,46482,2.23
2020-02-17,43343,2.08
2020-02-24,44514,2.13
2020-03-02,44283,2.12
2020-03-09,42866,2.05
2020-03-16,37098,1.78
2020-03-23,37927,1.82
2020-03-30,53514,2.56
2020-04-06,55099,2.64
2020-04-13,52430,2.51
2020-04-20,50551,2.42
2020-04-27,49242,2.36
2020-05-04,49353,2.36
2020-05-11,60152,2.88
2020-05-18,42811,2.05
2020-05-25,45194,2.16
2020-06-01,40397,1.93
2020-06-08,34581,1.66
2020-06-15,40325,1.93
2020-06-22,36173,1.73
2020-06-29,38935,1.86
2020-07-06,38798,1.86
2020-07-13,35597,1.7
2020-07-20,35566,1.7
2020-07-27,34975,1.67
2020-08-03,35459,1.7
2020-08-10,35903,1.72
2020-08-17,35544,1.7
2020-08-24,36544,1.75
2020-08-31,34542,1.65
2020-09-07,34676,1.66
2020-09-14,35120,1.68
2020-09-21,35817,1.71
2020-09-28,35347,1.69
2020-10-05,33702,1.61
2020-10-12,39072,1.87
2020-10-19,38947,1.86
2020-10-26,39644,1.9
2020-11-02,36873,1.77
2020-11-09,44212,2.12
2020-11-16,40181,1.92
2020-11-23,43380,2.08
2020-11-30,38644,1.85
2020-12-07,40971,1.96
2020-12-14,39988,1.91
2020-12-21,34537,1.65
2020-12-28,29958,1.43
2021-01-04,34731,1.66
2021-01-11,42390,2.03
2021-01-18,36521,1.75
2021-01-25,41261,1.98
2021-02-01,36782,1.76
2021-02-08,37276,1.78
2021-02-15,35450,1.7
2021-02-22,37503,1.8
2021-03-01,41372,1.98
2021-03-08,47706,2.28
2021-03-15,43458,2.08
2021-03-22,38849,1.86
2021-03-29,41410,1.98
2021-04-05,39283,1.88
2021-04-12,39563,1.89
2021-04-19,41387,1.98
2021-04-26,40526,1.94
2021-05-03,40509,1.94
2021-05-10,44312,2.12
2021-05-17,43199,2.07
2021-05-24,42674,2.04
2021-05-31,41048,1.97
2021-06-07,41373,1.98
2021-06-14,41075,1.97
2021-06-21,38813,1.86
2021-06-28,37796,1.81
2021-07-05,39038,1.87
2021-07-12,43740,2.09
2021-07-19,39337,1.88
2021-07-26,36658,1.76
2021-08-02,39619,1.9
2021-08-09,38269,1.83
2021-08-16,36193,1.73
2021-08-23,35751,1.71
2021-08-30,34395,1.65
2021-09-06,34134,1.63
2021-09-13,35010,1.68
2021-09-20,34879,1.67
2021-09-27,36251,1.74
2021-10-04,39600,1.9
2021-10-11,36333,1.74
2021-10-18,37198,1.78
2021-10-25,34935,1.67
2021-11-01,34313,1.64
2021-11-08,32601,1.56
2021-11-15,31990,1.53
2021-11-22,33720,1.61
2021-11-29,33495,1.6
2021-12-06,34120,1.63
2021-12-13,34732,1.66
2021-12-20,33532,1.61
2021-12-27,29832,1.43
2022-01-03,30707,1.47
2022-01-10,32646,1.56
2022-01-17,34645,1.66
2022-01-24,33141,1.59
2022-01-31,37063,1.77
2022-02-07,35957,1.72
2022-02-14,33927,1.62
2022-02-21,36134,1.73
2022-02-28,56779,2.72
2022-03-07,55938,2.68
2022-03-14,72166,3.45
2022-03-21,42712,2.04
2022-03-28,39646,1.9
2022-04-04,38891,1.86
2022-04-11,39060,1.87
2022-04-18,34198,1.64
2022-04-25,35628,1.71
2022-05-02,34146,1.63
2022-05-09,32680,1.56
2022-05-16,33535,1.61
2022-05-23,35928,1.72
2022-05-30,33631,1.61
2022-06-06,34395,1.65
2022-06-13,42720,2.05
2022-06-20,37896,1.81
2022-06-27,34064,1.63
2022-07-04,41019,1.96
2022-07-11,34889,1.67
2022-07-18,36352,1.74
2022-07-25,34107,1.63
2022-08-01,33309,1.59
2022-08-08,34166,1.64
2022-08-15,35285,1.69
2022-08-22,35313,1.69
2022-08-29,35757,1.71
2022-09-05,36277,1.74
2022-09-12,37958,1.82
2022-09-19,51535,2.47
2022-09-26,48748,2.33
2022-10-03,43303,2.07
2022-10-10,46905,2.25
2022-10-17,49723,2.38
2022-10-24,43920,2.1
2022-10-31,42253,2.02
2022-11-07,43317,2.07
2022-11-14,37999,1.82
2022-11-21,39793,1.91
2022-11-28,46097,2.21
2022-12-05,42128,2.02
2022-12-12,41882,2.01
2022-12-19,41378,1.98
2022-12-26,42270,2.02
2023-01-02,45030,2.16
2023-01-09,43106,2.06
2023-01-16,42509,2.04
2023-01-23,40830,1.95
2023-01-30,37802,1.81
2023-02-06,37463,1.79
2023-02-13,35438,1.7
2023-02-20,33807,1.62
2023-02-27,51405,2.46
2023-03-06,38715,1.85
2023-03-13,41855,2.0
