date,views,score
2018-01-01,26,0.52
2018-01-08,400,7.96
2018-01-15,442,8.8
2018-01-22,443,8.82
2018-01-29,446,8.88
2018-02-05,365,7.27
2018-02-12,394,7.85
2018-02-19,392,7.81
2018-02-26,474,9.44
2018-03-05,442,8.8
2018-03-12,524,10.43
2018-03-19,550,10.95
2018-03-26,574,11.43
2018-04-02,509,10.14
2018-04-09,631,12.56
2018-04-16,680,13.54
2018-04-23,677,13.48
2018-04-30,694,13.82
2018-05-07,772,15.37
2018-05-14,777,15.47
2018-05-21,752,14.97
2018-05-28,578,11.51
2018-06-04,457,9.1
2018-06-11,468,9.32
2018-06-18,461,9.18
2018-06-25,458,9.12
2018-07-02,336,6.69
2018-07-09,323,6.43
2018-07-16,351,6.99
2018-07-23,412,8.2
2018-07-30,425,8.46
2018-08-06,334,6.65
2018-08-13,316,6.29
2018-08-20,407,8.1
2018-08-27,470,9.36
2018-09-03,520,10.35
2018-09-10,671,13.36
2018-09-17,661,13.16
2018-09-24,717,14.28
2018-10-01,709,14.12
2018-10-08,806,16.05
2018-10-15,811,16.15
2018-10-22,776,15.45
2018-10-29,919,18.3
2018-11-05,898,17.88
2018-11-12,790,15.73
2018-11-19,913,18.18
2018-11-26,878,17.48
2018-12-03,1244,24.77
2018-12-10,1210,24.09
2018-12-17,1097,21.84
2018-12-24,688,13.7
2018-12-31,481,9.58
2019-01-07,631,12.56
2019-01-14,762,15.17
2019-01-21,711,14.16
2019-01-28,647,12.88
2019-02-04,747,14.87
2019-02-11,777,15.47
2019-02-18,722,14.38
2019-02-25,913,18.18
2019-03-04,958,19.08
2019-03-11,1008,20.07
2019-03-18,929,18.5
2019-03-25,1052,20.95
2019-04-01,1089,21.68
2019-04-08,1238,24.65
2019-04-15,1015,20.21
2019-04-22,901,17.94
2019-04-29,1124,22.38
2019-05-06,1066,21.23
2019-05-13,1048,20.87
2019-05-20,1192,23.74
2019-05-27,897,17.86
2019-06-03,705,14.04
2019-06-10,706,14.06
2019-06-17,684,13.62
2019-06-24,541,10.77
2019-07-01,582,11.59
2019-07-08,516,10.27
2019-07-15,447,8.9
2019-07-22,540,10.75
2019-07-29,573,11.41
2019-08-05,502,10.0
2019-08-12,480,9.56
2019-08-19,488,9.72
2019-08-26,587,11.69
2019-09-02,631,12.56
2019-09-09,480,9.56
2019-09-16,657,13.08
2019-09-23,735,14.64
2019-09-30,795,15.83
2019-10-07,818,16.29
2019-10-14,765,15.23
2019-10-21,790,15.73
2019-10-28,767,15.27
2019-11-04,827,16.47
2019-11-11,953,18.98
2019-11-18,1219,24.27
2019-11-25,1119,22.28
2019-12-02,856,17.05
2019-12-09,1210,24.09
2019-12-16,845,16.83
2019-12-23,542,10.79
2019-12-30,312,6.21
2020-01-06,416,8.28
2020-01-13,603,12.01
2020-01-20,520,10.35
2020-01-27,781,15.55
2020-02-03,644,12.82
2020-02-10,685,13.64
2020-02-17,566,11.27
2020-02-24,593,11.81
2020-03-02,660,13.14
2020-03-09,864,17.2
2020-03-16,819,16.31
